tai buvo tiesiog sudėtingesnė tautinės sąmonės forma , būdinga tokiems žmonėms kaip mykolas riomeris .	tai būti tiesiog sudėtingas tautinis sąmonė forma , būdingas toks žmogus kaip mykolas riomeris .	PRO 3;ACT;FIN;IND;POS;PST;SG;V ADV ADJ;CMPR;FEM;INDF;NOM;SG ADJ;FEM;GEN;INDF;SG FEM;GEN;N;SG FEM;N;NOM;SG _ ADJ;FEM;INDF;NOM;SG DAT;DET;MASC;PL DAT;MASC;N;PL CONJ MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG _
į tai man bus atsakyta : „ čia ne mes vieni kalti “ .	į tai aš būti atsakyti : „ čia ne mes vienas kaltas “ .	ADP PRO 1;DAT;PRO;SG 3;ACT;FIN;FUT;IND;POS;SG;V FEM;INDF;NOM;PASS;POS;PST;SG;V;V.PTCP _ _ CONJ NEG;PART 1;NOM;PL;PRO DET;MASC;NOM;PL ADJ;INDF;MASC;NOM;PL _ _
du sodiečiai sėdi ant potvynio apsemtų namų stogo .	du sodietis sėdėti ant potvynis apsemti namai stogas .	MASC;NOM;NUM MASC;N;NOM;PL 3;ACT;FIN;IND;PL;POS;PRS;V ADP GEN;MASC;N;SG GEN;INDF;MASC;PASS;POS;PST;SG;V;V.PTCP GEN;MASC;N;PL GEN;MASC;N;SG _
o ištraukti nepažeistus – dar sunkiau .	o ištraukti pažeisti – dar sunkiai .	CONJ ACT;NFIN;POS;V ACC;ACT;INDF;MASC;NEG;PL;PST;V;V.PTCP _ ADV ADV;CMPR _
be to , ji būtinai turi turėti priešų .	be tas , ji būtinai turėti turėti priešas .	ADP GEN;MASC;PRO;SG _ 3;FEM;NOM;PRO;SG ADV 3;ACT;FIN;IND;POS;PRS;SG;V ACT;NFIN;POS;V GEN;MASC;N;PL _
„ tie , kurie pas jus vadinami kairiaisiais , pas mus vadinami dešiniaisiais .	„ tas , kuris pas jūs vadinti kairys , pas mes vadinti dešinys .	_ 3;DET;NOM;PL _ MASC;NOM;PL;PRO ADP 2;ACC;PL;PRO ACT;INDF;MASC;NOM;PL;POS;PRS;V;V.PTCP ADJ;DEF;INS;MASC;PL _ ADP 1;ACC;PL;PRO ACT;INDF;MASC;NOM;PL;POS;PRS;V;V.PTCP ADJ;DEF;INS;MASC;PL _
bet kad ir ką sakysi , vienas skirtumas yra akivaizdus – sokratas nebūtų padegęs strepsiado namų ir nebūtų jo įskundinėjęs valdžiai .	bet kad ir kas sakyti , vienas skirtumas būti akivaizdus – sokratas būti padegti strepsiadas namai ir būti jis įskundinėti valdžia .	CONJ CONJ CONJ ACC;PRO 2;ACT;FIN;FUT;IND;POS;SG;V _ ADJ;INDF;MASC;NOM;SG MASC;N;NOM;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;INDF;MASC;NOM;SG _ MASC;NOM;PROPN;SG 3;ACT;COND;FIN;NEG;SG;V ACT;INDF;MASC;NOM;POS;SG;V;V.PTCP GEN;MASC;PROPN;SG GEN;MASC;N;PL CONJ 3;ACT;COND;FIN;NEG;SG;V 3;GEN;MASC;PRO;SG ACT;INDF;MASC;NOM;POS;SG;V;V.PTCP DAT;FEM;N;SG _
paskutiniai žemyn smingančio tu-154 kapitono padėjėjo žodžiai fiksuoti lietuvišku prietaisu	paskutinis žemyn smigti tu-154 kapitonas padėjėjas žodis fiksuoti lietuviškas prietaisas	ADJ;INDF;MASC;NOM;PL ADV ACT;GEN;INDF;MASC;POS;PRS;SG;V;V.PTCP GEN;MASC;PROPN;SG GEN;MASC;N;SG GEN;MASC;N;SG MASC;N;NOM;PL INDF;MASC;NOM;PASS;PL;POS;PST;V;V.PTCP ADJ;INDF;INS;MASC;SG INS;MASC;N;SG
tapatinti ją su tsrs yra piktybiška demagogija – šiaip ar taip , kiekvienas lietuvis žino , kuo skiriasi kolyma nuo dublino ar londono .	tapatinti ji su tsrs būti piktybiškas demagogija – šiaip ar taip , kiekvienas lietuvis žinoti , kuo skirtis kolyma nuo dublinas ar londonas .	ACT;NFIN;POS;V 3;ACC;FEM;PRO;SG ADP PROPN 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;FEM;INDF;NOM;SG FEM;N;NOM;SG _ ADJ CONJ PART _ DET;MASC;NOM;SG ADJ;INDF;MASC;NOM;SG 3;ACT;FIN;IND;POS;PRS;SG;V _ CONJ 3;ACT;FIN;IND;POS;PRS;REFL;SG;V GEN;MASC;PROPN;SG ADP GEN;MASC;PROPN;SG CONJ GEN;MASC;PROPN;SG _
grįžkime prie aristofano .	grįžti prie aristofano .	1;ACT;FIN;IMP;PL;POS;V ADP GEN;MASC;PROPN;SG _
juo daugiau tolerancijos , juo mažiau lietuvos , - sako filosofas arvydas juozaitis : jei būsime tolerantiški , mus paskandins svetimos kultūros ir rasės , mūsų šventą gintarinį pajūrį užplūs visokie perėjūnai , nuo kurių desperatiškai gynėmės ir daugmaž ( nors , žinoma , ne visai ) apsigynėme sovietmečiu .	juo daug tolerancija , juo mažai lietuva , - sakyti filosofas arvydas juozaitis : jei būti tolerantiškas , mes paskandinti svetimas kultūra ir rasė , mūsų šventas gintarinis pajūris užplūsti visoks perėjūnas , nuo kuris desperatiškai gintis ir daugmaž ( nors , žinoti , ne visai ) apsiginti sovietmečiu .	CONJ ADV;CMPR FEM;GEN;N;SG _ CONJ ADV;CMPR FEM;GEN;PROPN;SG _ _ 3;ACT;FIN;IND;POS;PRS;SG;V MASC;N;NOM;SG MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG _ CONJ 1;ACT;FIN;FUT;IND;PL;POS;V ADJ;INDF;MASC;NOM;PL _ 1;ACC;PL;PRO 3;ACT;FIN;FUT;IND;POS;SG;V ADJ;FEM;INDF;NOM;PL FEM;N;NOM;PL CONJ FEM;N;NOM;PL _ DET ACC;ADJ;INDF;MASC;SG ACC;ADJ;INDF;MASC;SG ACC;MASC;N;SG 3;ACT;FIN;FUT;IND;PL;POS;V ADJ;INDF;MASC;NOM;PL MASC;N;NOM;PL _ ADP GEN;MASC;PL;PRO ADV 1;ACT;FIN;IND;PL;POS;PST;REFL;V CONJ ADV _ CONJ _ INDF;NEUT;PASS;POS;PRS;V;V.PTCP _ NEG;PART ADV _ 1;ACT;FIN;IND;PL;POS;PST;REFL;V ESS;MASC;N;PL _
pétaine‘as irgi buvo patriotas , nusipelnęs prancūzijai karo lauke , ir norėjo išsaugoti jos nepriklausomybę , nors ir sąjungos su hitleriu kaina .	pétaine‘as irgi būti patriotas , nusipelnyti prancūzija karas laukas , ir norėti išsaugoti jos nepriklausomybė , nors ir sąjunga su hitler kaina .	MASC;NOM;PROPN;SG ADV 3;ACT;FIN;IND;POS;PST;SG;V MASC;N;NOM;SG _ ACT;INDF;MASC;NOM;POS;PST;REFL;SG;V;V.PTCP DAT;FEM;PROPN;SG GEN;MASC;N;SG ESS;MASC;N;SG _ CONJ 3;ACT;FIN;IND;POS;PST;SG;V ACT;NFIN;POS;V DET ACC;FEM;N;NEG;SG _ CONJ CONJ FEM;GEN;N;SG ADP GEN;MASC;PROPN;SG FEM;N;NOM;SG _
mes irgi dažnai netikime , kad lietuva gali išlikti laisvės sąlygomis , neturėdama ir pati nesikurdama sau priešų .	mes irgi dažnai tikėti , kad lietuva galėti išlikti laisvė sąlyga , turėti ir pats kurtis savęs priešas .	1;NOM;PL;PRO ADV ADV 1;ACT;FIN;IND;PL;POS;PRS;V _ CONJ FEM;NOM;PROPN;SG 3;ACT;FIN;IND;POS;PRS;SG;V ACT;NFIN;POS;V FEM;GEN;N;SG FEM;INS;N;PL _ ACT;FEM;NEG;SG;V CONJ FEM;NOM;PRO;SG ACT;FEM;NEG;REFL;SG;V DAT;PRO GEN;MASC;N;PL _
„ užsparniai , su*a ! vade , krentame ! “ , – tokie buvo paskutiniai lėktuvo tu-154 kapitono padėjėjo aleksandro rovenskio žodžiai , kuriuos įrašė savirašis prietaisas mars bm .	„ užsparnis , su*a ! vadas , kristi ! “ , – toks būti paskutinis lėktuvas tu-154 kapitonas padėjėjas aleksandras rovenskis žodis , kuris įrašyti savirašis prietaisas mars bm .	_ MASC;N;NOM;PL _ INTJ _ ESS;MASC;PROPN;SG _ 1;ACT;FIN;IND;PL;POS;PRS;V _ _ _ _ MASC;NOM;PL;PRO 3;ACT;FIN;IND;PL;POS;PST;V ADJ;INDF;MASC;NOM;PL GEN;MASC;N;SG MASC;NOM;PROPN;SG GEN;MASC;N;SG GEN;MASC;N;SG GEN;MASC;PROPN;SG GEN;MASC;PROPN;SG MASC;N;NOM;PL _ ACC;MASC;PL;PRO 3;ACT;FIN;IND;POS;PST;SG;V ADJ;INDF;MASC;NOM;SG MASC;N;NOM;SG PROPN PROPN _
ir nors oficialios „ tu-154 “ tragedijos priežastys iki šiol neįvardytos , realiausia versija laikoma pilotų klaida .	ir nors oficialus „ tu-154 “ tragedija priežastis iki%šiol iki%šiol įvardyti , realus versija laikyti pilotas klaida .	CONJ PART ADJ;FEM;GEN;INDF;SG _ GEN;MASC;PROPN;SG _ FEM;GEN;N;SG FEM;N;NOM;PL ADV ADV ACT;FEM;GEN;INDF;NEG;PST;SG;V;V.PTCP _ ADJ;FEM;INDF;NOM;RL;SG FEM;N;NOM;SG FEM;INDF;NOM;PASS;POS;PRS;SG;V;V.PTCP GEN;MASC;N;PL FEM;N;NOM;SG _
be abejonės , lietuviai nėra žydšaudžių tauta .	be abejonė , lietuvis būti žydšaudys tauta .	ADP FEM;GEN;N;SG _ ADJ;DAT;INDF;MASC;SG 3;ACT;FIN;IND;NEG;PRS;SG;V GEN;MASC;N;PL FEM;N;NOM;SG _
ir toliau pykstama ant efraimo zuroffo , bandoma pagrįsti „ dvigubo genocido “ teorija , ir reikalaujama : „ nedrįskite mūsų vadinti žydšaudžių tauta “ .	ir toli pykti ant efraimas zuroffas , bandyti pagrįsti „ dvigubas genocidas “ teorija , ir reikalauti : „ drįsti mes vadinti žydšaudys tauta “ .	CONJ ADV;CMPR INDF;NEUT;PASS;POS;PRS;V;V.PTCP ADP GEN;MASC;PROPN;SG GEN;MASC;PROPN;SG _ INDF;NEUT;PASS;POS;PRS;V;V.PTCP ACT;NFIN;POS;V _ ADJ;GEN;INDF;MASC;SG GEN;MASC;N;SG _ FEM;N;NOM;SG _ CONJ INDF;NEUT;PASS;POS;PRS;V;V.PTCP _ _ 2;ACT;FIN;IMP;NEG;PL;V 1;ACC;PL;PRO ACT;NFIN;POS;V GEN;MASC;N;PL FEM;N;NOM;SG _ _
„ nėra prasmės įrašinėti daugiau , nes jei kas atsitinka , tai nutinka greitai ir svarbiausios būna minutės ar net sekundės “ , – teigė buvęs „ vilmos “ darbuotojas .	„ nebūti prasmė įrašinėti daug , nes jei kas atsitikti , tai nutikti greitai ir svarbus būti minutė ar net sekundė “ , – teigti būti „ vilma “ darbuotojas .	_ 3;ACT;FIN;IND;NEG;PL;PRS;V FEM;GEN;N;SG ACT;NFIN;POS;V ADV;CMPR _ CONJ CONJ NOM;PRO 3;ACT;FIN;IND;POS;PRS;REFL;SG;V _ PRO 3;ACT;FIN;IND;POS;PRS;SG;V ADV CONJ ADJ;FEM;GEN;INDF;RL;SG 3;ACT;FIN;IND;POS;PRS;SG;V FEM;GEN;N;SG CONJ PART FEM;GEN;N;SG _ _ _ 3;ACT;FIN;IND;POS;PST;SG;V ACT;INDF;MASC;NOM;POS;PST;SG;V;V.PTCP _ FEM;GEN;PROPN;SG _ MASC;N;NOM;SG _
kiti , kaip žinoma , aiškios tautinės sąmonės iš vis neturėjo .	kitas , kaip žinoti , aiškus tautinis sąmonė iš vis turėti .	MASC;NOM;PL;PRO _ CONJ INDF;NEUT;PASS;POS;PRS;V;V.PTCP _ ADJ;FEM;GEN;INDF;SG ADJ;FEM;GEN;INDF;SG FEM;GEN;N;SG ADP ADV 3;ACT;FIN;IND;NEG;PL;PST;V _
tiesa , aš dirbau ne „ specialiame “ , o tiesiog realizavimo skyriuje , tad pačių magnetofonų nesurinkinėjau ir tiesiogiai susidurti su gamyba neteko .	tiesa , aš dirbti ne „ specialus “ , o tiesiog realizavimas skyrius , tad pats magnetofonas surinkinėti ir tiesiogiai susidurti su gamyba tekti .	FEM;N;NOM;SG _ 1;NOM;PRO;SG 1;ACT;FIN;IND;POS;PST;SG;V NEG;PART _ ADJ;ESS;INDF;MASC;SG _ _ CONJ ADV GEN;MASC;N;SG ESS;MASC;N;SG _ CONJ DET;GEN;MASC;PL GEN;MASC;N;PL 1;ACT;FIN;IND;NEG;PST;SG;V CONJ ADV ACT;NFIN;POS;REFL;V ADP FEM;INS;N;SG 3;ACT;FIN;IND;NEG;PST;SG;V _
jam viskas yra aišku , jis lengvai skiria gėrį ir blogį , juodą ir baltą .	jis viskas būti aiškus , jis lengvai skirti gėris ir blogis , juodas ir baltas .	3;DAT;MASC;PRO;SG MASC;NOM;PRO;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;INDF;NEUT;POS _ 3;MASC;NOM;PRO;SG ADV 3;ACT;FIN;IND;POS;PRS;SG;V ACC;MASC;N;SG CONJ ACC;MASC;N;SG _ ACC;MASC;N;SG CONJ ACC;MASC;N;SG _
santykiuose su žydais nematyti nieko naujo .	santykis su žydas matyti niekas naujas .	ESS;MASC;N;PL ADP INS;MASC;N;PL ACT;NEG;NFIN;V GEN;MASC;PRO;SG ADJ;GEN;INDF;MASC;SG _
sudėtingiausias yra santykių su rusija klausimas , nes šių dienų rusija duoda pagrindo ja nepasitikėti .	sudėtingas būti santykis su rusija klausimas , nes šis diena rusija duoti pagrindas ji pasitikėti .	ADJ;INDF;MASC;NOM;RL;SG 3;ACT;FIN;IND;POS;PRS;SG;V GEN;MASC;N;PL ADP FEM;NOM;PROPN;SG MASC;N;NOM;SG _ CONJ DET FEM;GEN;N;PL FEM;NOM;PROPN;SG 3;ACT;FIN;IND;POS;PRS;SG;V GEN;MASC;N;SG 3;FEM;INS;PRO;SG ACT;NEG;NFIN;V _
423 metais prieš kristaus gimimą , per didžiųjų dionizijų šventę , atėnuose buvo pastatyta aristofano komedija „ debesys “ .	423 metai prieš kristus gimimas , per didis dionizius šventė , atėnai būti pastatyti aristofano komedija „ debesis “ .	ADJ INS;MASC;N;PL ADP GEN;MASC;PROPN;SG ACC;MASC;N;SG _ ADP ADJ;DEF;GEN;MASC;PL FEM;GEN;PL;PROPN ACC;FEM;N;SG _ ESS;MASC;PL;PROPN 3;ACT;FIN;IND;POS;PST;SG;V FEM;INDF;NOM;PASS;POS;PST;SG;V;V.PTCP GEN;MASC;PROPN;SG FEM;N;NOM;SG _ MASC;N;NOM;PL _ _
„ matote , pas jus iš viso nėra kairiųjų , “ sako toji europietė .	„ matyti , pas jūs iš visas būti kairys , “ sakyti tas europietė .	_ 2;ACT;FIN;IND;PL;POS;PRS;V _ ADP 2;ACC;PL;PRO ADP GEN;MASC;PRO;SG 3;ACT;FIN;IND;NEG;PRS;SG;V ADJ;GEN;INDF;MASC;PL _ _ 3;ACT;FIN;IND;POS;PRS;SG;V DET;FEM;NOM;SG FEM;N;NOM;SG _
antra , ji gėdingai varžė žodį , mintį ir sąžinę , skatino melą bei konformizmą .	antra , ji gėdingai varžyti žodis , mintis ir sąžinė , skatinti melas bei konformizmas .	ADV _ 3;FEM;NOM;PRO;SG ADV 3;ACT;FIN;IND;POS;PST;SG;V ACC;MASC;N;SG _ ACC;FEM;N;SG CONJ ACC;FEM;N;SG _ 3;ACT;FIN;IND;POS;PST;SG;V ACC;MASC;N;SG CONJ ACC;MASC;N;SG _
tikras lietuvis yra tik tas , kuris nemėgsta , o dar geriau nekenčia rusų , lenkų , žydų , taip pat ir vakariečių , mėgsta nebent palestiniečius ( beje , nesunku įsivaizduoti , ką mūsų patriotai pradėtų sakyti apie palestiniečius , jeigu su jais susidurtų kasdienybėje , kaip susidūrė su čečėnais ) .	tikras lietuvis būti tik tas , kuris mėgti , o dar gerai nekęsti rusas , lenkas , žydas , taip pat ir vakarietis , mėgti nebent palestinietis ( beje , nesunkus įsivaizduoti , kas mūsų patriotas pradėti sakyti apie palestinietis , jeigu su jie susidurti kasdienybė , kaip susidurti su čečėnas ) .	ADJ;INDF;MASC;NOM;SG ADJ;INDF;MASC;NOM;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADV MASC;NOM;PRO;SG _ MASC;NOM;PRO;SG 3;ACT;FIN;IND;NEG;PRS;SG;V _ CONJ ADV ADV;CMPR 3;ACT;FIN;IND;NEG;PRS;SG;V GEN;MASC;N;PL _ GEN;MASC;N;PL _ GEN;MASC;N;PL _ CONJ PART PART GEN;MASC;N;PL _ 3;ACT;FIN;IND;POS;PRS;SG;V CONJ ACC;MASC;N;PL _ PART _ ADJ;INDF;NEG;NEUT ACT;NFIN;POS;V _ ACC;PRO DET MASC;N;NOM;PL 3;ACT;COND;FIN;PL;POS;V ACT;NFIN;POS;V ADP ACC;MASC;N;PL _ CONJ ADP 3;INS;PL;PRO 3;ACT;COND;FIN;PL;POS;REFL;V ESS;FEM;N;SG _ ADV 3;ACT;FIN;IND;POS;PST;SG;V ADP INS;MASC;N;PL _ _
beje , be imigrantų daugelis jų seniai būtų žlugusios ekonomiškai , taigi ir valstybiškai , ir tautiškai .	beje , be imigrantas daugelis jie seniai būti žlugti ekonomiškai , taigi ir valstybiškai , ir tautiškai .	PART _ ADP GEN;MASC;N;PL MASC;N;NOM;SG 3;GEN;PL;PRO ADV 3;ACT;COND;FIN;PL;POS;V ACT;FEM;INDF;NOM;PL;POS;V;V.PTCP ADV _ PART CONJ ADV _ CONJ ADV _
pirmoji klaida liečia 1941 metų laikinąją vyriausybę .	pirmas klaida liesti 1941 metai laikinas vyriausybė .	ADJ;DEF;FEM;NOM;SG FEM;N;NOM;SG 3;ACT;FIN;IND;POS;PRS;SG;V ADJ GEN;MASC;N;PL ACC;ADJ;DEF;FEM;SG ACC;FEM;N;SG _
tokios grupės ne tik dalija šalies gyventojus į lietuvius ir nelietuvius , bet ir pačius lietuvius – į gerus ir blogus , tikrus ir kosmopolitinius , net „ genetiškus patriotus “ ir „ genetiškus išdavikus “ .	toks grupė ne tik dalyti šalis gyventojas į lietuvis ir nelietuvis , bet ir pats lietuvis – į geras ir blogas , tikras ir kosmopolitinis , net „ genetiškas patriotas “ ir „ genetiškas išdavikas “ .	DET;FEM;NOM;PL FEM;N;NOM;PL CONJ;NEG ADV 3;ACT;FIN;IND;PL;POS;PRS;V FEM;GEN;N;SG ACC;MASC;N;PL ADP ACC;ADJ;INDF;MASC;PL CONJ ACC;MASC;N;PL _ CONJ CONJ ACC;DET;MASC;PL ACC;ADJ;INDF;MASC;PL _ ADP ACC;ADJ;INDF;MASC;PL CONJ ACC;ADJ;INDF;MASC;PL _ ACC;ADJ;INDF;MASC;PL CONJ ACC;ADJ;INDF;MASC;PL _ PART _ ACC;ADJ;INDF;MASC;PL ACC;MASC;N;PL _ CONJ _ ACC;ADJ;INDF;MASC;PL ACC;MASC;N;PL _ _
gyvename epochoje , kada pradeda keistis pati tautos sąvoka .	gyventi epocha , kada pradėti keistis pats tauta sąvoka .	1;ACT;FIN;IND;PL;POS;PRS;V ESS;FEM;N;SG _ ADV 3;ACT;FIN;IND;POS;PRS;SG;V ACT;NFIN;POS;REFL;V FEM;NOM;PRO;SG FEM;GEN;N;SG FEM;N;NOM;SG _
filosofas romualdas ozolas laimina ksenofobų grupes .	filosofas romualdas ozolas laiminti ksenofobas grupė .	MASC;N;NOM;SG MASC;NOM;PROPN;SG MASC;NOM;PROPN;SG 3;ACT;FIN;IND;POS;PRS;SG;V GEN;MASC;N;PL ACC;FEM;N;PL _
apdovanojimą teikia „ sugiharos fondas – diplomatai už gyvybę “ .	apdovanojimas teikti „ sugihara fondas – diplomatas už gyvybė “ .	ACC;MASC;N;SG 3;ACT;FIN;IND;POS;PRS;SG;V _ FEM;GEN;PROPN;SG MASC;N;NOM;SG _ MASC;N;NOM;PL ADP ACC;FEM;N;SG _ _
kitas dalykas – tavo mentalitetas ir moralė : juos mes suksime tokia linkme , kokia mums paranki .	kitas dalykas – tavo mentalitetas ir moralė : jie mes sukti toks linkmė , koks mes parakti .	ADJ;INDF;MASC;NOM;SG MASC;N;NOM;SG _ DET MASC;N;NOM;SG CONJ FEM;N;NOM;SG _ 3;ACC;PL;PRO 1;NOM;PL;PRO 1;ACT;FIN;FUT;IND;PL;POS;V DET;FEM;INS;SG FEM;INS;N;SG _ DET;FEM;NOM;SG 1;DAT;PL;PRO 2;ACT;FIN;IND;POS;PRS;SG;V _
sutinku , bet polinkis kalbėti , juo labiau šaukti apie kitų kaltes ( nors tai psichologiškai suprantama reakcija ) tik sunkina problemą .	sutikti , bet polinkis kalbėti , juo labai šaukti apie kitas kaltė ( nors tai psichologiškai suprasti reakcija ) tik sunkinti problema .	1;ACT;FIN;IND;POS;PRS;SG;V _ CONJ MASC;N;NOM;SG ACT;NFIN;POS;V _ PART ADV;CMPR ACT;NFIN;POS;V ADP ADJ;GEN;INDF;MASC;PL ACC;FEM;N;PL _ CONJ PRO ADV FEM;INDF;NOM;PASS;POS;PRS;SG;V;V.PTCP FEM;N;NOM;SG _ ADV 3;ACT;FIN;IND;POS;PRS;SG;V ACC;FEM;N;SG _
įrašuose esą negirdėti jokių pašalinių garsų , kurie galėtų reikšti bombos sprogimą arba lėktuvo užgrobimą .	įrašas būti girdėti joks pašalinis garsas , kuris galėti reikšti bomba sprogimas arba lėktuvas užgrobimas .	ESS;MASC;N;PL ACT;INDF;NEUT;POS;PRS;V;V.PTCP ACT;NEG;NFIN;V DET;GEN;MASC;PL GEN;MASC;N;PL GEN;MASC;N;PL _ MASC;NOM;PL;PRO 3;ACT;COND;FIN;PL;POS;V ACT;NFIN;POS;V FEM;GEN;N;SG ACC;MASC;N;SG CONJ GEN;MASC;N;SG ACC;MASC;N;SG _
vienintelis dalykas , kurį galiu rekomenduoti – nepilkime benzino į ugnį .	vienintelis dalykas , kuris galėti rekomenduoti – pilti benzinas į ugnis .	ADJ;INDF;MASC;NOM;SG MASC;N;NOM;SG _ ACC;MASC;PRO;SG 1;ACT;FIN;IND;POS;PRS;SG;V ACT;NFIN;POS;V _ 1;ACT;FIN;IMP;NEG;PL;V GEN;MASC;N;SG ADP ACC;FEM;N;SG _
atėniečiai juo , tiesą sakant , pernelyg nesibaisėjo , bet aristofanas jo nemėgsta – vadina „ nešvankia šlykštybe “ .	atėnietis jis , tiesa sakyti , pernelyg nesibaisėti , bet aristofanas jis mėgti – vadinti „ nešvankus šlykštybė “ .	MASC;N;NOM;PL 3;INS;MASC;PRO;SG _ ACC;FEM;N;SG ACT;POS;PRS;V _ ADV 3;ACT;FIN;IND;NEG;PL;PST;REFL;V _ CONJ MASC;NOM;PROPN;SG 3;GEN;MASC;PRO;SG 3;ACT;FIN;IND;NEG;PRS;SG;V _ 3;ACT;FIN;IND;POS;PRS;SG;V _ ADJ;FEM;INDF;INS;NEG;SG FEM;INS;N;SG _ _
nesame pribrendę tam , kad suvoktume : neleistina teisinti ir remti nusikaltėlio tik todėl , kad jis etninis lietuvis ( laikąs save patriotu ) , o jo aukos ir ieškovai – nelietuviai .	būti pribręsti tam , kad suvokti : leisti teisinti ir remti nusikaltėlis tik todėl , kad jis etninis lietuvis ( laikyti savęs patriotas ) , o jis auka ir ieškovas – nelietuvis .	1;ACT;FIN;IND;NEG;PL;PRS;V ACT;INDF;MASC;NOM;PL;POS;PST;V;V.PTCP ADV _ CONJ 1;COND;FIN;PASS;PL;POS;V _ INDF;NEG;NEUT;V;V.PTCP ACT;NFIN;POS;V CONJ ACT;NFIN;POS;V GEN;MASC;N;SG ADV ADV _ CONJ 3;MASC;NOM;PRO;SG ADJ;INDF;MASC;NOM;SG ADJ;INDF;MASC;NOM;SG _ ACT;INDF;MASC;NEG;NOM;PRS;REFL;SG;V;V.PTCP ACC;PRO INS;MASC;N;SG _ _ CONJ DET MASC;N;NOM;PL CONJ MASC;N;NOM;PL _ MASC;N;NEG;NOM;PL _
iš tikrųjų reikalas nebuvo toks paprastas .	iš tikras reikalas būti toks paprastas .	ADP ADJ;DEF;GEN;MASC;PL MASC;N;NOM;SG 3;ACT;FIN;IND;NEG;PST;SG;V ADV ADJ;INDF;MASC;NOM;SG _
jis neslėpė žinojęs , kad dirbo slaptame adrese , kuris buvo žinomas įvairiais pavadinimais , pavyzdžiui , „ pašto dėžutė 4151 “ bei „ pašto dėžutė 52 “ .	jis slėpti žinoti , kad dirbti slaptas adresas , kuris būti žinoti įvairus pavadinimas , pavyzdys , „ paštas dėžutė 4151 “ bei „ paštas dėžutė 52 “ .	3;MASC;NOM;PRO;SG 3;ACT;FIN;IND;NEG;PST;SG;V ACT;INDF;MASC;NOM;POS;SG;V;V.PTCP _ CONJ 3;ACT;FIN;IND;POS;PST;SG;V ADJ;ESS;INDF;MASC;SG ESS;MASC;N;SG _ MASC;NOM;PRO;SG 3;ACT;FIN;IND;POS;PST;SG;V ACT;INDF;MASC;NOM;POS;PRS;SG;V;V.PTCP ADJ;INDF;INS;MASC;PL INS;MASC;N;PL _ DAT;MASC;N;SG _ _ GEN;MASC;N;SG FEM;N;NOM;SG NUM _ CONJ _ GEN;MASC;N;SG FEM;N;NOM;SG NUM _ _
tiesa , lenkijoje gajesnis ir protestas prieš tuos reiškinius – yra stipri , net galinga intelektualių grupė , nuo adamo michniko ligi andrzejaus wajdos , kuri puikiai analizuoja ir stabdo .	tiesa , lenkija gajus ir protestas prieš tuos reiškinys – būti stiprus , net galingas intelektualus grupė , nuo adamo michniko ligi andrzejus wajda , kuris puikiai analizuoti ir stabdyti .	FEM;N;NOM;SG _ ESS;FEM;PROPN;SG ADJ;CMPR;INDF;MASC;NOM;SG PART MASC;N;NOM;SG ADP DET ACC;MASC;N;PL _ 3;ACT;FIN;IND;POS;PRS;SG;V ADJ;FEM;INDF;NOM;SG _ PART ADJ;FEM;INDF;NOM;SG GEN;MASC;N;PL FEM;N;NOM;SG _ ADP GEN;MASC;PROPN;SG GEN;MASC;PROPN;SG ADP GEN;MASC;PROPN;SG GEN;MASC;PROPN;SG _ FEM;NOM;PRO;SG ADV 3;ACT;FIN;IND;POS;PRS;SG;V CONJ 3;ACT;FIN;IND;POS;PRS;SG;V _
bet turbūt nebus nekuklu , jei pasakysime , kad turime būti lietuviškais faidonais , faidrais arba kritonais – mokiniais , atsakingais už savo mokytojo minčių sklaidą ir už jo atminimą .	bet turbūt būti nekuklus , jei pasakyti , kad turėti būti lietuviškas faidonais , faidrais arba kritonais – mokinys , atsakingas už savo mokytojas mintis sklaida ir už jo atminimas .	CONJ PART 3;ACT;FIN;FUT;IND;NEG;SG;V ADJ;INDF;NEG;NEUT _ CONJ 1;ACT;FIN;FUT;IND;PL;POS;V _ CONJ 1;ACT;FIN;IND;PL;POS;PRS;V ACT;NFIN;POS;V ADJ;INDF;INS;MASC;PL INS;MASC;PL;PROPN _ FEM;INS;PL;PROPN CONJ INS;MASC;PL;PROPN _ INS;MASC;N;PL _ ADJ;INDF;INS;MASC;PL ADP DET GEN;MASC;N;SG FEM;GEN;N;PL ACC;FEM;N;SG CONJ ADP DET ACC;MASC;N;SG _
