w tutej dobje rozłama jednota duchowneje a swětneje mocy .	w tutón doba rozłamać jednota duchowny a swětny moc .	ADP DET;ESS;FEM;SG ESS;FEM;N;SG 3;FIN;IND;PST;SG;V FEM;N;NOM;SG ADJ;FEM;GEN;SG CONJ ADJ;FEM;GEN;SG FEM;GEN;N;SG _
na zapadźe je pobrjóh arabskeho morja přirodna hranica .	na zapad być pobrjóh arabski morjo přirodny hranica .	ADP ESS;INAN;MASC;N;SG 3;FIN;IND;PRS;SG;V INAN;MASC;N;NOM;SG ADJ;GEN;NEUT;SG GEN;N;NEUT;SG ADJ;FEM;NOM;SG FEM;N;NOM;SG _
kamera : tadas šlajus	kamera : tadas šlajus	FEM;N;NOM;SG _ ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG
tu přestajowana systematika bazuje na w oktobrje 2009 předstajenej třećej wersiji apg .	tu přestajowany systematika bazować na w oktober 2009 předstajeny třeći wersija apg .	ADV ADJ;FEM;NOM;PASS;SG;V.PTCP FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ADP ADP ESS;INAN;MASC;N;SG NUM ADJ;ESS;FEM;PASS;SG;V.PTCP ADJ;ESS;FEM;SG ESS;FEM;N;SG _ _
raimundas eimontas je tež přinošował pozadkowu hudźbu .	raimundas eimontas być tež přinošować pozadkowy hudźba .	ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG 3;FIN;IND;PRS;SG;V ADV ACT;ANIM;MASC;PST;SG;V;V.PTCP ACC;ADJ;FEM;SG ACC;FEM;N;SG _
mnichow ( němsce münchen ) je stolica zwjazkoweho kraja bayerskeje a kulturelne kaž tež ekonomiske srjedźišćo južneje němskeje .	mnichow ( němsce münchen ) być stolica zwjazkowy kraj bayerska a kulturelny kaž tež ekonomiski srjedźišćo južny němska .	INAN;MASC;NOM;PROPN;SG _ ADV INAN;MASC;NOM;PROPN;SG _ 3;FIN;IND;PRS;SG;V FEM;N;NOM;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG FEM;GEN;PROPN;SG CONJ ADJ;NEUT;NOM;SG CONJ ADV ADJ;NEUT;NOM;SG N;NEUT;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;PROPN;SG _
wodowy molekul wobsteji z dweju wodźikoweju atomow a jedneho kislikoweho atoma .	wodowy molekul wobstać z dwaj wodźikowy atom a jedyn kislikowy atom .	ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ADP DU;GEN;INAN;MASC;NUM ADJ;DU;GEN;MASC DU;GEN;INAN;MASC;N CONJ GEN;INAN;MASC;NUM;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
biblioteka je woprawnjena wupožčene informaciske žórła kóždy čas , tež před wotběhom wupožčenskeho časa sebi wróćo žadać .	biblioteka być woprawnjeny wupožčeny informaciski žórło kóždy čas , tež před wotběh wupožčenski čas so wróćo žadać .	FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;FEM;NOM;PASS;SG;V.PTCP ACC;ADJ;NEUT;PASS;PL;V.PTCP ACC;ADJ;NEUT;PL ACC;N;NEUT;PL ACC;DET;INAN;MASC;SG ACC;INAN;MASC;N;SG _ ADV ADP INAN;INS;MASC;N;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG DAT;PRO;REFL ADV NFIN;V _
słuša do skupiny romaniskich rěčow .	słušeć do skupina romaniski rěč .	3;FIN;IND;PRS;SG;V ADP FEM;GEN;N;SG ADJ;FEM;GEN;PL FEM;GEN;N;PL _
płodowe łopješka su zwjetša nic zrosćene .	płodowy łopješko być zwjetša nic zrosćeny .	ADJ;NEUT;NOM;PL N;NEUT;NOM;PL 3;FIN;IND;PL;PRS;V ADV NEG;PART ADJ;NEUT;NOM;PASS;PL;V.PTCP _
twarjenje bě prěnjotnje klóšterska cyrkej .	twarjenje być prěnjotnje klóšterski cyrkej .	N;NEUT;NOM;SG 3;FIN;IND;PST;SG;V ADV ADJ;FEM;NOM;SG FEM;N;NOM;SG _
přeměnjenja kultury - kajke wone we łužicy wupadaja , kak so wone formuja a kak so z nimi wobchadźa ?	přeměnjenje kultura - kajki wón w łužica wupadać , kak so wón formować a kak so z wón wobchadźeć ?	N;NEUT;NOM;PL FEM;GEN;N;SG _ DET;NEUT;NOM;PL 3;NEUT;NOM;PL;PRO ADP ESS;FEM;PROPN;SG 3;FIN;IND;PL;PRS;V _ ADV ACC;PRO;REFL 3;NEUT;NOM;PL;PRO 3;FIN;IND;PL;PRS;V CONJ ADV ACC;PRO;REFL ADP 3;INS;NEUT;PL;PRO 3;FIN;IND;PRS;SG;V _
klinowe pismo bu 2500 lět w mezopotamiskej nałožene a namaka so tež w syriskej a pola hetitow kaž tež w diplomatiskich archiwach egyptowskeje .	klinowy pismo być 2500 lěto w mezopotamiska nałoženy a namakać so tež w syriska a pola hetit kaž tež w diplomatiski archiw egyptowska .	ADJ;NEUT;NOM;SG N;NEUT;NOM;SG 3;FIN;IND;PASS;PST;SG;V NUM GEN;N;NEUT;PL ADP ESS;FEM;PROPN;SG ADJ;NEUT;NOM;PASS;SG;V.PTCP CONJ 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADV ADP ESS;FEM;PROPN;SG CONJ ADP ANIM;GEN;MASC;PL;PROPN CONJ ADV ADP ADJ;ESS;MASC;PL ESS;INAN;MASC;N;PL FEM;GEN;PROPN;SG _
poda nam wjele rozsudźenjow jednotliwych padow , kotrež so často přez wulku krutosć wuznamjenjachu .	podać ja wjele rozsudźenje jednotliwy pad , kotryž so často přez wulki krutosć wuznamjenjeć .	3;FIN;IND;PST;SG;V 1;DAT;PL;PRO DET GEN;N;NEUT;PL ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL _ DET;INAN;MASC;NOM;PL ACC;PRO;REFL ADV ADP ACC;ADJ;FEM;SG ACC;FEM;N;SG 3;FIN;IND;PL;PST;V _
kak móžeš so wobdźělić ?	kak móc so wobdźělić ?	ADV 2;FIN;IND;PRS;SG;V ACC;PRO;REFL NFIN;V _
wot urukoweje doby ( 4000 - 3100 př . n . l . ) namakachu města a spočatki pisma , kotrež so ze systema piktogramow k sumeriskemu klinowemu pismu wuwiwaše .	wot urukowy doba ( 4000 - 3100 před . naš . lětoličba . ) namakać město a spočatk pismo , kotryž so z system piktogram k sumeriski klinowy pismo wuwiwać .	ADP ADJ;FEM;GEN;SG FEM;GEN;N;SG _ NUM _ NUM ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ _ 3;FIN;IND;PL;PST;V ACC;N;NEUT;PL CONJ ACC;INAN;MASC;N;PL GEN;N;NEUT;SG _ DET;NEUT;NOM;SG ACC;PRO;REFL ADP GEN;INAN;MASC;N;SG GEN;INAN;MASC;N;PL ADP ADJ;DAT;NEUT;SG ADJ;DAT;NEUT;SG DAT;N;NEUT;SG 3;FIN;IND;PL;PST;V _
encyklopedije hodźa so z pomocu kajkosćow předmjet , zaměr , metoda , rozrjadowanje a proces nastaća definować .	encyklopedija hodźeć so z pomoc kajkosć předmjet , zaměr , metoda , rozrjadowanje a proces nastaće definować .	FEM;N;NOM;PL 3;FIN;IND;PL;PRS;V ACC;PRO;REFL ADP FEM;INS;N;SG FEM;GEN;N;PL INAN;MASC;N;NOM;SG _ INAN;MASC;N;NOM;SG _ FEM;N;NOM;SG _ N;NEUT;NOM;SG CONJ INAN;MASC;N;NOM;SG GEN;N;NEUT;SG NFIN;V _
španisce so rěči we španiskej , w južnej americe a sewjernej americe a w ekwatorialnej gineji w africe .	španisce so rěčeć w španiska , w južny amerika a sewjerny amerika a w ekwatorialny gineja w afrika .	ADV ACC;PRO;REFL 3;FIN;IND;PRS;SG;V ADP ESS;FEM;PROPN;SG _ ADP ADJ;ESS;FEM;SG ESS;FEM;PROPN;SG CONJ ADJ;ESS;FEM;SG ESS;FEM;PROPN;SG CONJ ADP ADJ;ESS;FEM;SG ESS;FEM;PROPN;SG ADP ESS;FEM;PROPN;SG _
oceanija je woznamjenjenje za kulturelne a hospodarske zjeće kupoweho swěta pacifika ke kontinentej .	oceanija być woznamjenjenje za kulturelny a hospodarski zjeće kupowy swět pacifik k kontinent .	FEM;NOM;PROPN;SG 3;FIN;IND;PRS;SG;V N;NEUT;NOM;SG ADP ACC;ADJ;NEUT;SG CONJ ACC;ADJ;NEUT;SG ACC;N;NEUT;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG GEN;INAN;MASC;PROPN;SG ADP DAT;INAN;MASC;N;PL _
druhdy w srjedźišću wokołka je ćmowočerwjenje abo čornopurpurowje barbjene kćenje , při čimž wono rědšo hač při dźiwjej morchwi wustupuje .	druhdy w srjedźišćo wokołk być ćmowočerwjenje abo čornopurpurowje barbjeny kćenje , při štož wón rědko hač při dźiwi morchwja wustupować .	ADV ADP ESS;N;NEUT;SG GEN;INAN;MASC;N;SG 3;FIN;IND;PRS;SG;V ADV CONJ ADV ADJ;NEUT;NOM;PASS;SG;V.PTCP N;NEUT;NOM;SG _ ADP ESS;NEUT;PRO;SG 3;NEUT;NOM;PRO;SG ADV;CMPR CONJ ADP ADJ;ESS;FEM;SG ESS;FEM;N;SG 3;FIN;IND;PRS;SG;V _
mjez krajemi starowěka , kotrež njesłušeja k historisce definowanym geografiskim kónčinam mezopotamiskej , su mj . dr . armenska , urartu , mittani , mediska , elam a zažne persiske mócnarstwo , prjedy hač wot lěta 539 př . n . l . prěni naslědny stat stareje mezopotamiskeje tworješe .	mjez kraj starowěk , kotryž słušeć k historisce definowany geografiski kónčina mezopotamiska , być mj . dr . armenska , urartu , mittani , mediska , elam a zažny persiski mócnarstwo , prjedy hač wot lěto 539 před . naš . lětoličba . prěni naslědny stat stary mezopotamiska tworić .	ADP INAN;INS;MASC;N;PL GEN;INAN;MASC;N;SG _ DET;INAN;MASC;NOM;PL 3;FIN;IND;NEG;PRS;SG;V ADP ADV ADJ;DAT;FEM;PASS;PL;V.PTCP ADJ;DAT;FEM;PL DAT;FEM;N;PL FEM;GEN;PROPN;SG _ 3;FIN;IND;PL;PRS;V _ _ _ _ FEM;NOM;PROPN;SG _ NEUT;NOM;PROPN;SG _ NEUT;NOM;PROPN;SG _ FEM;NOM;PROPN;SG _ INAN;MASC;NOM;PROPN;SG CONJ ADJ;NEUT;NOM;SG ADJ;NEUT;NOM;SG N;NEUT;NOM;SG _ ADV ADV ADP GEN;N;NEUT;SG NUM ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ ADJ;MASC;NOM;SG ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;PROPN;SG 3;FIN;IND;PST;SG;V _
25 % su drawidske rěče .	25 % być drawidski rěč .	NUM _ 3;FIN;IND;PL;PRS;V ADJ;FEM;NOM;PL FEM;N;NOM;PL _
tuchwilu wobsahuje serbska wikipedija 6 . 730 nastawkow .	tuchwilu wobsahować serbski wikipedija 6 . 730 nastawk .	ADV 3;FIN;IND;PRS;SG;V ADJ;FEM;NOM;SG FEM;N;NOM;SG NUM _ NUM GEN;INAN;MASC;N;PL _
nimo wokalow a / ā , i / ī , u / ū a diftongow o / au a e / ai so tež połwokale y a v jewja , nimo toho sanskrit sonantnej likwidaj ṛ a ḷ wužiwa , a tež nazalaj m a n móžetej wokalisku funkciju měć .	nimo wokal a / ā , i / ī , u / ū a diftong o / au a e / ai so tež połwokal y a v jewić , nimo to sanskrit sonantny likwid ṛ a ḷ wužiwać , a tež nazal m a n móc wokaliski funkcija měć .	ADP GEN;INAN;MASC;N;PL _ _ _ _ _ _ _ _ _ _ _ CONJ GEN;INAN;MASC;N;PL _ _ _ CONJ _ _ _ ACC;PRO;REFL ADV INAN;MASC;N;NOM;PL _ CONJ _ 3;FIN;IND;PL;PRS;V _ ADP GEN;NEUT;PRO;SG INAN;MASC;N;NOM;SG ACC;ADJ;DU;INAN;MASC ACC;DU;INAN;MASC;N _ CONJ _ 3;FIN;IND;PRS;SG;V _ CONJ ADV ACC;DU;INAN;MASC;N _ CONJ _ 3;DU;FIN;INAN;IND;PRS;V ACC;ADJ;FEM;SG ACC;FEM;N;SG NFIN;V _
wone su tačelojte , zelenojće - brune hač čorne abo čerwjenojte a přinjesu na bělkowinach a wuhlowych hydratach bohatu zeleninu .	wón być tačelojty , zelenojći - bruny hač čorny abo čerwjenojty a přinjesć na bělkowina a wuhlowy hydrat bohaty zelenina .	3;NEUT;NOM;PL;PRO 3;FIN;IND;PL;PRS;V ADJ;NEUT;NOM;PL _ ADJ;NEUT;NOM;PL _ ADJ;NEUT;NOM;PL CONJ ADJ;NEUT;NOM;PL CONJ ADJ;NEUT;NOM;PL CONJ 3;FIN;IND;PL;PRS;V ADP ESS;FEM;N;PL CONJ ADJ;ESS;MASC;PL ESS;INAN;MASC;N;PL ACC;ADJ;FEM;SG ACC;FEM;N;SG _
ratarjo w 2 . a 1 . lěttysacu př . n . l . wšak wuměnjachu swoje produkty za trěbne žiwidła a tekstilije .	ratar w 2 . a 1 . lěttysac před . naš . lětoličba . wšak wuměnjeć swój produkt za trěbny žiwidło a tekstilija .	ANIM;MASC;N;NOM;PL ADP NUM _ CONJ NUM _ ESS;INAN;MASC;N;SG ADP _ 1;DET;FEM;INS;PSSP;SG _ FEM;INS;N;SG _ CONJ 3;FIN;IND;PL;PST;V ACC;DET;INAN;MASC;PL;REFL ACC;INAN;MASC;N;PL ADP ACC;ADJ;NEUT;PL ACC;N;NEUT;PL CONJ ACC;FEM;N;PL _
w lětomaj 1918 - 1919 bě předsydka strony kpd .	w lěto 1918 - 1919 być předsydka strona kpd .	ADP DU;ESS;N;NEUT NUM _ NUM 3;FIN;IND;PST;SG;V FEM;N;NOM;SG FEM;GEN;N;SG PROPN _
wot aramejčanow bu tež pismikowe pismo , kotrež su wot feničanow přewzali , zawjedźene .	wot aramejčan być tež pismikowy pismo , kotryž być wot feničan přewzać , zawjedźeny .	ADP ANIM;GEN;MASC;PL;PROPN 3;FIN;IND;PASS;PST;SG;V ADV ADJ;NEUT;NOM;SG N;NEUT;NOM;SG _ DET;NEUT;NOM;SG 3;FIN;IND;PL;PRS;V ADP ANIM;GEN;MASC;PL;PROPN ACT;ANIM;MASC;PL;PST;V;V.PTCP _ ADJ;NEUT;NOM;PASS;SG;V.PTCP _
kraj podleži hač do 1960 francoskemu kolonialnemu knjejstwu .	kraj podležeć hač do 1960 francoski kolonialny knjejstwo .	INAN;MASC;N;NOM;SG 3;FIN;IND;PST;SG;V ADV ADP NUM ADJ;DAT;NEUT;SG ADJ;DAT;NEUT;SG DAT;N;NEUT;SG _
nimo toho hesło nastawka so dyrbi do delnjeho kapitla " lisćina ekscelentnych nastawkow " přidać .	nimo to hesło nastawk so dyrbjeć do delni kapitl " lisćina ekscelentny nastawk " přidać .	ADP GEN;NEUT;PRO;SG N;NEUT;NOM;SG GEN;INAN;MASC;N;SG ACC;PRO;REFL 3;FIN;IND;PRS;SG;V ADP ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ FEM;N;NOM;SG ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL _ NFIN;V _
salzburgske stare město ( altstadt ) z barokowu architekturu słuša wot lěta 1997 oficielnje k swětowemu namrěwstwu unesco .	salzburgski stary město ( altstadt ) z barokowy architektura słušeć wot lěto 1997 oficielnje k swětowy namrěwstwo unesco .	ADJ;NEUT;NOM;SG ADJ;NEUT;NOM;SG N;NEUT;NOM;SG _ INAN;MASC;NOM;PROPN;SG _ ADP ADJ;FEM;INS;SG FEM;INS;N;SG 3;FIN;IND;PRS;SG;V ADP GEN;N;NEUT;SG NUM ADV ADP ADJ;DAT;NEUT;SG DAT;N;NEUT;SG NEUT;NOM;PROPN;SG _
korjeń je tołsty a mjasny , mjeztym zo barba wariěruje : běły , žołty , wioletny , oranžočerwjeny .	korjeń być tołsty a mjasny , mjeztym zo barba wariěrować : běły , žołty , wioletny , oranžočerwjeny .	INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ADJ;MASC;NOM;SG CONJ ADJ;MASC;NOM;SG _ ADV CONJ FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V _ ADJ;MASC;NOM;SG _ ADJ;MASC;NOM;SG _ ADJ;MASC;NOM;SG _ ADJ;MASC;NOM;SG _
wot 10 . lěttysaca př . n . l . hodźa so wumodelowane žónske figuriny namakać .	wot 10 . lěttysac před . naš . lětoličba . hodźeć so wumodelowany žónski figurina namakać .	ADP NUM _ GEN;INAN;MASC;N;SG ADP _ 1;DET;INAN;INS;MASC;PSSP;SG _ FEM;INS;N;SG _ 3;FIN;IND;PL;PRS;V ACC;PRO;REFL ADJ;FEM;NOM;PASS;PL;V.PTCP ADJ;FEM;NOM;PL FEM;N;NOM;PL NFIN;V _
prošu wobeńć proste wulkosće wobrazow , dokelž hewak wužiwarske nastajenja njefunguja .	prasyć wobeńć prosty wulkosć wobraz , dokelž hewak wužiwarski nastajenje fungować .	1;FIN;IND;PRS;SG;V NFIN;V ACC;ADJ;FEM;PL ACC;FEM;N;PL GEN;INAN;MASC;N;PL _ CONJ ADV ADJ;NEUT;NOM;PL N;NEUT;NOM;PL 3;FIN;IND;NEG;PL;PRS;V _
jich rozpad je přez zańdźenje mocy městow wuznamjeny .	jich rozpad być přez zańdźenje moc město wuznamjeny .	3;DET;PSSP INAN;MASC;N;NOM;SG 3;FIN;IND;PRS;SG;V ADP ACC;N;NEUT;SG FEM;GEN;N;SG GEN;N;NEUT;PL ADJ;MASC;NOM;PASS;SG;V.PTCP _
jeho znutřkowna cona je tróšku jasniši hač zwonkowny .	jeho znutřkowny cona być tróšku jasny hač zwonkowny .	3;DET;PSSS ADJ;FEM;NOM;SG FEM;N;NOM;SG 3;FIN;IND;PRS;SG;V ADV ADJ;CMPR;FEM;NOM;SG CONJ ADJ;MASC;NOM;SG _
orbity druhich planetow słónca njejsu runje w ekliptice , ale tež nic přejara daloke wot toho .	orbit druhi planet słónco być runje w ekliptika , ale tež nic přejara daloki wot to .	INAN;MASC;N;NOM;PL ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL GEN;N;NEUT;SG 3;FIN;IND;NEG;PL;PRS;V ADV ADP ESS;FEM;N;SG _ CONJ ADV NEG;PART ADV ADJ;INAN;MASC;NOM;PL ADP GEN;NEUT;PRO;SG _
klemenowe basnje su so před krótkim do japanšćiny , chinšćiny , francošćiny , jendźelšćiny , hindišćiny , šwedšćiny , italšćiny a španšćiny přełožili .	klemenowy baseń być so před krótki do japanšćina , chinšćina , francošćina , jendźelšćina , hindišćina , šwedšćina , italšćina a španšćina přełožilić .	ACC;ADJ;FEM;PL ACC;FEM;N;PL 3;FIN;IND;PL;PRS;V ACC;PRO;REFL ADP ADJ;INS;MASC;SG ADP FEM;GEN;N;SG _ FEM;GEN;N;SG _ FEM;GEN;N;SG _ FEM;GEN;N;SG _ FEM;GEN;N;SG _ FEM;GEN;N;SG _ FEM;GEN;N;SG CONJ FEM;GEN;N;SG ACT;FEM;PL;PST;V;V.PTCP _
załoži so w lěće 1575 .	załožić so w lěto 1575 .	3;FIN;IND;PST;SG;V ACC;PRO;REFL ADP ESS;N;NEUT;SG NUM _
woni dachu wšě opoziciske strony zakazować , politiske přećiwnicy přesćěhać a zamordować .	wón dać wšě opoziciski strona zakazować , politiski přećiwnik přesćěhać a zamordować .	3;ANIM;MASC;NOM;PL;PRO 3;FIN;IND;PL;PST;V ACC;DET;FEM;PL ACC;ADJ;FEM;PL ACC;FEM;N;PL NFIN;V _ ACC;ADJ;ANIM;MASC;PL ACC;ANIM;MASC;N;PL NFIN;V CONJ NFIN;V _
potom narysowa kruh prajo : » w tutym kruhu dyrbiš wostać .	potom narysować kruh prajić : » w tutón kruh dyrbjeć wostać .	ADV 3;FIN;IND;PST;SG;V ACC;INAN;MASC;N;SG PRS;V;V.CVB _ _ ADP DET;ESS;INAN;MASC;SG ESS;INAN;MASC;N;SG 2;FIN;IND;PRS;SG;V NFIN;V _
rozeznawa so mjez kwalitatiwnym ablawtom ( změna wokala ) a kwantitatiwnym ablawtom ( změna wokaloweje dołhosće ) .	rozeznawać so mjez kwalitatiwny ablawt ( změna wokal ) a kwantitatiwny ablawt ( změna wokalowy dołhosć ) .	3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADP ADJ;INS;MASC;SG INAN;INS;MASC;N;SG _ FEM;N;NOM;SG GEN;INAN;MASC;N;SG _ CONJ ADJ;INS;MASC;SG INAN;INS;MASC;N;SG _ FEM;N;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;N;SG _ _
leži 11 kilometrow na sewjer wot sardiniskeje , 170 kilometrow na juhowuchod wot francoskeje , a 90 kilometrow wot italskeje .	ležeć 11 kilometer na sewjer wot sardiniska , 170 kilometer na juhowuchod wot francoska , a 90 kilometer wot italska .	3;FIN;IND;PRS;SG;V NUM GEN;INAN;MASC;N;PL ADP ACC;INAN;MASC;N;SG ADP FEM;GEN;PROPN;SG _ NUM GEN;INAN;MASC;N;PL ADP ACC;INAN;MASC;N;SG ADP FEM;GEN;PROPN;SG _ CONJ NUM GEN;INAN;MASC;N;PL ADP FEM;GEN;PROPN;SG _
w dólnych runinach srjedźneje mezopotamiskeje ležachu jako najwuznamniše městnosće sippar , dur - kurigalzu a opis .	w dólny runina srjedźny mezopotamiska ležeć jako wuznamny městnosć sippar , dur - kurigalzu a opis .	ADP ADJ;ESS;FEM;PL ESS;FEM;N;PL ADJ;FEM;GEN;SG FEM;GEN;PROPN;SG 3;FIN;IND;PL;PST;V CONJ ADJ;FEM;NOM;PL;RL FEM;N;NOM;PL INAN;MASC;NOM;PROPN;SG _ INAN;MASC;NOM;PROPN;SG _ NEUT;NOM;PROPN;SG CONJ INAN;MASC;NOM;PROPN;SG _
tute prěnje wulke mócnarstwo zwosta w mytach regiona žiwe .	tutón prěni wulki mócnarstwo zwostać w myt region žiwy .	DET;NEUT;NOM;SG ADJ;NEUT;NOM;SG ADJ;NEUT;NOM;SG N;NEUT;NOM;SG 3;FIN;IND;PST;SG;V ADP ESS;INAN;MASC;N;PL GEN;INAN;MASC;N;SG ADJ;NEUT;NOM;SG _
mnoholičbne zběžki a předewšěm přupućowacy hórski lud gutejčanow skónčichu tutu epochu .	mnoholičbny zběžk a předewšěm přupućowacy hórski lud gutejčan skónčić tutón epocha .	ADJ;INAN;MASC;NOM;PL INAN;MASC;N;NOM;PL CONJ ADV ACT;ADJ;MASC;NOM;PRS;SG;V.PTCP ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG ANIM;GEN;MASC;PL;PROPN 3;FIN;IND;PL;PST;V ACC;DET;FEM;SG ACC;FEM;N;SG _
wopytowarjam zarjadowanja w serbskim domje steji nimo toho runje wućišćana " dźěłowa rozprawa lěta 2008 " k dispoziciji .	wopytowar zarjadowanje w serbski dom stać nimo to runje wućišćany " dźěłowy rozprawa lěto 2008 " k dispozicija .	ANIM;DAT;MASC;N;PL GEN;N;NEUT;SG ADP ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG 3;FIN;IND;PRS;SG;V ADP GEN;NEUT;PRO;SG ADV ADJ;FEM;NOM;PASS;SG;V.PTCP _ ADJ;FEM;NOM;SG FEM;N;NOM;SG GEN;N;NEUT;SG NUM _ ADP DAT;FEM;N;SG _
přirjadowanje kćenjowych organow je šrubikojte abo tež často w třiličbnych kružkach .	přirjadowanje kćenjowy organ być šrubikojty abo tež často w třiličbny kružk .	N;NEUT;NOM;SG ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL 3;FIN;IND;PRS;SG;V ADJ;NEUT;NOM;SG CONJ ADV ADV ADP ADJ;ESS;MASC;PL ESS;INAN;MASC;N;PL _
2 leži zwjetša w africe .	2 ležeć zwjetša w afrika .	NUM 3;FIN;IND;PL;PRS;V ADV ADP ESS;FEM;PROPN;SG _
srjedu , 25 . 11 . 2009 wotměje so we wobłuku zarjadowanjow wojerowskeho wuměłskeho zwjazka přednošk a po tym diskusija k temje : " skerje so rozbije atom hač předsudk - stereotypy wo serbach " .	srjeda , 25 . 11 . 2009 wotměć so w wobłuk zarjadowanje wojerowski wuměłski zwjazk přednošk a po to diskusija k tema : " skerje so rozbić atom hač předsudk - stereotyp wo serb " .	ACC;FEM;N;SG _ NUM _ NUM _ NUM 3;FIN;IND;PRS;SG;V ACC;PRO;REFL ADP ESS;INAN;MASC;N;SG GEN;N;NEUT;PL ADJ;GEN;MASC;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG INAN;MASC;N;NOM;SG CONJ ADP ESS;NEUT;PRO;SG FEM;N;NOM;SG ADP DAT;FEM;N;SG _ _ ADV ACC;PRO;REFL 3;FIN;IND;PRS;SG;V INAN;MASC;N;NOM;SG CONJ INAN;MASC;N;NOM;SG _ INAN;MASC;N;NOM;PL ADP ANIM;ESS;MASC;PL;PROPN _ _
korsika ( francosce corse , korsiksce corsica ) je štwórta najwjetša kupa srjedźneho morja .	korsika ( francosce corse , korsiksce corsica ) być štwórty wulki kupa srjedźny morjo .	FEM;NOM;PROPN;SG _ ADV FEM;NOM;PROPN;SG _ ADV FEM;NOM;PROPN;SG _ 3;FIN;IND;PRS;SG;V ADJ;FEM;NOM;SG ADJ;FEM;NOM;RL;SG FEM;N;NOM;SG ADJ;GEN;NEUT;SG GEN;N;NEUT;SG _
město ma wokoło 500 . 000 wobydlerjow , z předměstami wjace hač 2 , 8 milionow .	město měć wokoło 500 . 000 wobydler , z předměsto wjele hač 2 , 8 milion .	N;NEUT;NOM;SG 3;FIN;IND;PRS;SG;V ADV NUM _ NUM ANIM;GEN;MASC;N;PL _ ADP INS;N;NEUT;PL ADV;CMPR CONJ NUM _ NUM GEN;INAN;MASC;N;PL _
bazalne ćělesa šwikacych prućikow wobsedźa charakteristisku wjeleworštowu strukturu z mikrotubulijow ale tež zakótwjenje w cytoskeleće .	bazalny ćěleso šwikacy prućik wobsedźeć charakteristiski wjeleworštowy struktura z mikrotubulij ale tež zakótwjenje w cytoskelet .	ADJ;NEUT;NOM;PL N;NEUT;NOM;PL ADJ;GEN;PL GEN;INAN;MASC;N;PL 3;FIN;IND;PL;PRS;V ACC;ADJ;FEM;SG ACC;ADJ;FEM;SG ACC;FEM;N;SG ADP GEN;INAN;MASC;N;PL CONJ ADV ACC;N;NEUT;SG ADP ESS;INAN;MASC;N;SG _
internetowa wersija serbskeje bibliografije skića přistup na kompletny wobsah knižnych zwjazkow 1986 - 1990 , 1991 - 1995 , 1996 - 2000 , 2001 - 2005 a wuběrk aktualnych sorabistiskich titlow .	internetowy wersija serbski bibliografija skićić přistup na kompletny wobsah knižny zwjazk 1986 - 1990 , 1991 - 1995 , 1996 - 2000 , 2001 - 2005 a wuběrk aktualny sorabistiski titl .	ADJ;FEM;NOM;SG FEM;N;NOM;SG ADJ;FEM;GEN;SG FEM;GEN;N;SG 3;FIN;IND;PRS;SG;V ACC;INAN;MASC;N;SG ADP ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL NUM _ NUM _ NUM _ NUM _ NUM _ NUM _ NUM _ NUM CONJ ACC;INAN;MASC;N;SG ADJ;GEN;MASC;PL ADJ;GEN;MASC;PL GEN;INAN;MASC;N;PL _
