1 quaffle ( volleyball , frisbee , soccer ball , etc . )	1 quaffle ( volleyball , frisbee , soccer ball , etc . )	NUM N;SG _ N;SG _ N;SG _ N;SG N;SG _ _ _ _
whitmore stated to la weekly that the alleged crime involved five hard drives each of $ 200 in value .	whitmore state to la weekly that the alleged crime involve five hard drive each of $ @card@ in value .	PROPN;SG FIN;IND;PST;V ADP PROPN;SG PROPN;SG CONJ DEF;DET ADJ N;SG FIN;IND;PST;V NUM ADJ N;PL PRO ADP _ NUM ADP N;SG _
built during the safavid period , it is an excellent example of islamic architecture of iran , and regarded as one of the masterpieces of persian architecture .	build during the safavid period , it be an excellent example of islamic architecture of iran , and regard as one of the masterpiece of persian architecture .	PST;V;V.PTCP ADP DEF;DET PROPN;SG N;SG _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG ADP ADJ N;SG ADP PROPN;SG _ CONJ PST;V;V.PTCP ADP NUM ADP DEF;DET N;PL ADP ADJ N;SG _
it can be purchased at the airport in cuba on arrival , however it should be noted that many airlines will require a valid tourist visa card before boarding flights .	it can be purchase at the airport in cuba on arrival , however it should be note that many airline will require a valid tourist visa card before board flight .	3;NEUT;NOM;PRO;SG FIN;V NFIN;V PST;V;V.PTCP ADP DEF;DET PROPN;SG ADP PROPN;SG ADP N;SG _ ADV 3;NEUT;NOM;PRO;SG FIN;V NFIN;V PST;V;V.PTCP CONJ ADJ N;PL FIN;V NFIN;V DET;INDF ADJ N;SG N;SG N;SG CONJ V;V.MSDR N;PL _
co-founder of google , sergey brin , personally met with mohamed during his visit to google .	co-founder of google , sergey brin , personally meet with mohamed during his visit to google .	N;SG ADP PROPN;SG _ PROPN;SG PROPN;SG _ ADV FIN;IND;PST;V ADP PROPN;SG ADP 3;MASC;PRO;SG N;SG ADP PROPN;SG _
the origin of the city 's name is unknown , however , the word łódź translates to " boat " in english .	the origin of the city 's name be unknown , however , the word łódź translate to " boat " in english .	DEF;DET N;SG ADP DEF;DET N;SG PART N;SG 3;FIN;IND;PRS;SG;V ADJ _ ADV _ DEF;DET N;SG _ 3;FIN;IND;PRS;SG;V ADP _ N;SG _ ADP PROPN;SG _
could be i give so many talks i ca n’t remember .	could be i give so many talk i ca n't remember .	FIN;V NFIN;V 1;NOM;PRO;SG FIN;IND;PRS;V ADV ADJ N;PL 1;NOM;PRO;SG FIN;V NEG;PART NFIN;V _
or you could just scoop them out when the color dissolves .	or you could just scoop them out when the color dissolve .	CONJ 2;NOM;PRO FIN;V ADV NFIN;V 3;ACC;PL;PRO ADP CONJ DEF;DET N;SG 3;FIN;IND;PRS;SG;V _
the theme of this years lantern festival revolves around the 12 year chinese zodiac cycles year of the pig .	the theme of this year lantern festival revolve around the @card@ year chinese zodiac cycle year of the pig .	DEF;DET N;SG ADP DET;SG N;PL N;SG N;SG 3;FIN;IND;PRS;SG;V ADP DEF;DET NUM N;SG ADJ N;SG N;PL N;SG ADP DEF;DET N;SG _
wikinews has learned that according to an internet posting made just over 24 hours ago , the church of scientology 's website is being attacked by hackers , causing the site to shut down .	wikinews have learn that accord to an internet posting make just over @card@ hour ago , the church of scientology 's website be be attack by hacker , cause the site to shut down .	PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP CONJ V;V.MSDR ADP DET;INDF PROPN;SG N;SG PST;V;V.PTCP ADV ADP NUM N;PL ADV _ DEF;DET PROPN;SG ADP PROPN;SG PART N;SG 3;FIN;IND;PRS;SG;V V;V.MSDR PST;V;V.PTCP ADP N;PL _ V;V.MSDR DEF;DET N;SG PART NFIN;V ADP _
find multiple methods for making skittles vodka after the jump -- and soon you 'll be tasting the rainbow !	find multiple method for make skittle vodka after the jump -- and soon you will be taste the rainbow !	NFIN;V ADJ N;PL CONJ V;V.MSDR PL;PROPN N;SG ADP DEF;DET N;SG _ CONJ ADV 2;NOM;PRO FIN;V NFIN;V PRS;V;V.PTCP DEF;DET N;SG _
i hope to lead the republican party in a new direction for working class americans .	i hope to lead the republican party in a new direction for working class americans .	1;NOM;PRO;SG FIN;IND;PRS;V PART NFIN;V DEF;DET ADJ N;SG ADP DET;INDF ADJ N;SG ADP ADJ N;SG PL;PROPN _
meydan kohne .	meydan kohne .	PROPN;SG PROPN;SG _
the new zealand government intends to hold two referendums to reach a verdict on the flag , at an estimated cost of nz $ 26 million , although a recent poll found only a quarter of citizens favoured changing the flag .	the new zealand government intend to hold two referendum to reach a verdict on the flag , at an estimate cost of nz $ @card@ million , although a recent poll find only a quarter of citizen favour change the flag .	DEF;DET PROPN;SG PROPN;SG N;SG 3;FIN;IND;PRS;SG;V PART NFIN;V NUM N;PL PART NFIN;V DET;INDF N;SG ADP DEF;DET N;SG _ ADP DET;INDF PST;V;V.PTCP N;SG ADP PROPN;SG _ NUM NUM _ CONJ DET;INDF ADJ N;SG FIN;IND;PST;V ADV DET;INDF N;SG ADP N;PL FIN;IND;PST;V V;V.MSDR DEF;DET N;SG _
april is the most ideal month .	april be the most ideal month .	PROPN;SG 3;FIN;IND;PRS;SG;V DEF;DET ADV ADJ N;SG _
hopefully , we all learn from past mistakes .	hopefully , we all learn from past mistake .	ADV _ 1;NOM;PL;PRO PRO FIN;IND;PRS;V ADP ADJ N;PL _
published	publish	PST;V;V.PTCP
though its original readers would have had a certain amount of context for the truly bizarre and surprising events it tells of , it ’s possible that the chemical wedding is now more enjoyable without knowing that context , and experiencing the book unmediated .	though its original reader would have have a certain amount of context for the truly bizarre and surprising event it tell of , it be possible that the chemical wedding be now more enjoyable without know that context , and experience the book unmediated .	CONJ 3;NEUT;PRO;SG ADJ N;PL FIN;V NFIN;V PST;V;V.PTCP DET;INDF ADJ N;SG ADP N;SG ADP DEF;DET ADV ADJ CONJ ADJ N;PL 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADP _ 3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V ADJ CONJ DEF;DET PROPN;SG PROPN;SG 3;FIN;IND;PRS;SG;V ADV ADV ADJ CONJ V;V.MSDR DET;SG N;SG _ CONJ V;V.MSDR DEF;DET N;SG ADJ _
driving into the city centre itself is something to avoid .	drive into the city centre itself be something to avoid .	V;V.MSDR ADP DEF;DET N;SG N;SG 3;ACC;NEUT;PRO;REFL;SG 3;FIN;IND;PRS;SG;V N;SG PART NFIN;V _
three methods : starting seeds caring for basil harvesting and using basil	three method : start seed care for basil harvest and use basil	NUM N;PL _ V;V.MSDR N;PL V;V.MSDR ADP N;SG V;V.MSDR CONJ V;V.MSDR N;SG
stir this well and then put to one side .	stir this well and then put to one side .	NFIN;V PRO;SG ADV CONJ ADV NFIN;V ADP NUM N;SG _
of course you do , you 're a mets fan caught in a do-or-die moment in late september at shea	of course you do , you be a met fan catch in a do-or-die moment in late september at shea	ADP N;SG 2;NOM;PRO FIN;IND;PRS;V _ 2;NOM;PRO FIN;IND;PRS;V DET;INDF PL;PROPN N;SG PST;V;V.PTCP ADP DET;INDF ADJ N;SG ADP ADJ PROPN;SG ADP PROPN;SG
the area is famous for its world war ii wreck diving , and the site has been named in many lists of top dive spots in the world .	the area be famous for its world war ii wreck diving , and the site have be name in many list of top dive spot in the world .	DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADJ ADP 3;NEUT;PRO;SG PROPN;SG PROPN;SG NUM N;SG N;SG _ CONJ DEF;DET N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP ADP ADJ N;PL ADP ADJ N;SG N;PL ADP DEF;DET N;SG _
i think that in this kind of structure there is a very gradual clarification of the relationship and the forth going on .	i think that in this kind of structure there be a very gradual clarification of the relationship and the forth go on .	1;NOM;PRO;SG FIN;IND;PRS;V CONJ ADP DET;SG N;SG ADP N;SG PRO 3;FIN;IND;PRS;SG;V DET;INDF ADV ADJ N;SG ADP DEF;DET N;SG CONJ DEF;DET N;SG V;V.MSDR ADP _
maybe she meant if she made herself .	maybe she mean if she make herself .	ADV 3;FEM;NOM;PRO;SG FIN;IND;PST;V CONJ 3;FEM;NOM;PRO;SG FIN;IND;PST;V 3;ACC;FEM;PRO;REFL;SG _
her mother had spoken out against scientology on french television after her ex-husband and paris 's father , albert jaquier , committed suicide after he lost his fortune to scientology .	her mother have speak out against scientology on french television after her ex-husband and paris 's father , albert jaquier , committed suicide after he lose his fortune to scientology .	3;FEM;PRO;SG N;SG FIN;IND;PST;V PST;V;V.PTCP ADP ADP PROPN;SG ADP ADJ N;SG CONJ 3;FEM;PRO;SG N;SG CONJ PROPN;SG PART N;SG _ PROPN;SG PROPN;SG _ FIN;IND;PST;V N;SG CONJ 3;MASC;NOM;PRO;SG FIN;IND;PST;V 3;MASC;PRO;SG N;SG ADP PROPN;SG _
it 's opened up a new fan base , so to speak .	it be open up a new fan base , so to speak .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP DET;INDF ADJ N;SG N;SG _ ADV PART NFIN;V _
the remodelling of some roads near bottleneck junctions to accommodate bicycle lanes has made traffic jams even worse still in recent years , and parking in the city centre is very expensive .	the remodelling of some road near bottleneck junction to accommodate bicycle lane have make traffic jam even worse still in recent year , and parking in the city centre be very expensive .	DEF;DET N;SG ADP DET N;PL ADP N;SG N;PL PART NFIN;V N;SG N;PL 3;FIN;IND;PRS;SG;V PST;V;V.PTCP N;SG N;PL ADV ADV;CMPR ADV ADP ADJ N;PL _ CONJ N;SG ADP DEF;DET N;SG N;SG 3;FIN;IND;PRS;SG;V ADV ADJ _
there is a minuscule chance that your impact will result in non-life-threatening injuries ;	there be a minuscule chance that your impact will result in non-life-threatening injury ;	PRO 3;FIN;IND;PRS;SG;V DET;INDF ADJ N;SG CONJ 2;PRO N;SG FIN;V NFIN;V ADP ADJ N;PL _
l'enfant was promoted by brevet to major in the corps of engineers on may 2 , 1783 , in recognition of his service to the cause of american liberty .	l'enfant be promote by brevet to major in the corps of engineers on may 2 , @card@ , in recognition of his service to the cause of american liberty .	PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP N;SG ADP PROPN;SG ADP DEF;DET PROPN;SG ADP PL;PROPN ADP PROPN;SG NUM _ NUM _ ADP N;SG ADP 3;MASC;PRO;SG N;SG ADP DEF;DET N;SG ADP ADJ N;SG _
scientology defector arrested after attempting to leave organization	scientology defector arrest after attempt to leave organization	PROPN;SG N;SG PST;V;V.PTCP CONJ V;V.MSDR PART NFIN;V N;SG
neuroscientists have examined the neurobiological underpinnings of discrimination [ 7 – 9 ] ;	neuroscientists have examine the neurobiological underpinning of discrimination [ 7 – 9 ] ;	N;PL FIN;IND;PRS;V PST;V;V.PTCP DEF;DET ADJ N;PL ADP N;SG _ NUM ADP NUM _ _
you wo n’t work , you wo n’t party , you ’ll be defriended by every one of your tribes .	you wo n't work , you wo n't party , you will be defriended by every one of your tribe .	2;NOM;PRO FIN;V NEG;PART NFIN;V _ 2;NOM;PRO FIN;V NEG;PART NFIN;V _ 2;NOM;PRO FIN;V NFIN;V PST;V;V.PTCP ADP DET NUM ADP 2;PRO N;PL _
by 1859 , norton had become completely disgruntled with what he considered the inadequacies of the legal and political structures of the united states .	by @card@ , norton have become completely disgruntled with what he consider the inadequacy of the legal and political structure of the united states .	ADP NUM _ PROPN;SG FIN;IND;PST;V PST;V;V.PTCP ADV ADJ ADP PRO 3;MASC;NOM;PRO;SG FIN;IND;PST;V DEF;DET N;PL ADP DEF;DET ADJ CONJ ADJ N;PL ADP DEF;DET PROPN;SG PL;PROPN _
" you come here from earth ? " i asked .	'' you come here from earth ? '' i ask .	_ 2;NOM;PRO FIN;IND;PRS;V ADV ADP PROPN;SG _ _ 1;NOM;PRO;SG FIN;IND;PST;V _
the moves themselves are relatively straightforward , but the positing , the timing , and the elegance required takes a lifetime of practice .	the move themselves be relatively straightforward , but the positing , the timing , and the elegance require take a lifetime of practice .	DEF;DET N;PL 3;PL;PRO FIN;IND;PRS;V ADV ADJ _ CONJ DEF;DET N;SG _ DEF;DET N;SG _ CONJ DEF;DET N;SG PST;V;V.PTCP 3;FIN;IND;PRS;SG;V DET;INDF N;SG ADP N;SG _
it 's like from the sky .	it be like from the sky .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V CONJ ADP DEF;DET N;SG _
port hutt .	port hutt .	PROPN;SG PROPN;SG _
" pregnant women in australia are getting about half as much as what they require on a daily basis .	" pregnant woman in australia be get about half as much as what they require on a daily basis .	_ ADJ N;PL ADP PROPN;SG FIN;IND;PRS;V PRS;V;V.PTCP ADV N;SG ADV ADJ CONJ PRO 3;NOM;PL;PRO FIN;IND;PRS;V ADP DET;INDF ADJ N;SG _
the exaggeration can be slight or considerable —	the exaggeration can be slight or considerable —	DEF;DET N;SG FIN;V NFIN;V ADJ CONJ ADJ _
try growing peppermint plants near the entryways .	try grow peppermint plant near the entryway .	NFIN;V V;V.MSDR N;SG N;PL ADP DEF;DET N;PL _
mérida is the capital of the state of yucatán in mexico .	mérida be the capital of the state of yucatán in mexico .	PROPN;SG 3;FIN;IND;PRS;SG;V DEF;DET N;SG ADP DEF;DET N;SG ADP PROPN;SG ADP PROPN;SG _
yeah , exactly .	yeah , exactly .	INTJ _ ADV _
for the pro-beijing camp , elizabeth quat of dab was elected with 58,825 votes , the highest in the constituency .	for the pro-beijing camp , elizabeth quat of dab be elect with @card@ vote , the high in the constituency .	ADP DEF;DET ADJ N;SG _ PROPN;SG PROPN;SG ADP PROPN;SG 3;FIN;IND;PST;SG;V PST;V;V.PTCP ADP NUM N;PL _ DEF;DET ADJ;RL ADP DEF;DET N;SG _
in the 21st century this book is still used as one of the basic texts in modern structural linguistics .	in the 21st century this book be still use as one of the basic text in modern structural linguistics .	ADP DEF;DET ADJ N;SG DET;SG N;SG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP ADP NUM ADP DEF;DET ADJ N;PL ADP ADJ ADJ N;SG _
once the cycle has finished , shake all bottles vigorously again .	once the cycle have finish , shake all bottle vigorously again .	CONJ DEF;DET N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP _ NFIN;V DET N;PL ADV ADV _
herrick at recentchangescamp 2008 image : shakataganai .	herrick at recentchangescamp @card@ image : shakataganai .	PROPN;SG ADP PROPN;SG NUM N;SG _ PROPN;SG _
bantu languages are not included in studies of acquisition often enough despite the numerous languages in this linguistic grouping and the millions of people using them .	bantu language be not include in study of acquisition often enough despite the numerous language in this linguistic grouping and the million of people use them .	ADJ N;PL FIN;IND;PRS;V NEG;PART PST;V;V.PTCP ADP N;PL ADP N;SG ADV ADV ADP DEF;DET ADJ N;PL ADP DET;SG ADJ N;SG CONJ DEF;DET N;PL ADP N;PL V;V.MSDR 3;ACC;PL;PRO _
1 1/2 cups ( 350 ml ) plain soy milk	1 @card@ cup ( @card@ ml ) plain soy milk	NUM NUM N;PL _ NUM N;PL _ ADJ N;SG N;SG
when tulsa expanded beyond the bounds of its original plat , the expanded areas were platted in alignment with the points of the compass .	when tulsa expand beyond the bound of its original plat , the expanded area be platted in alignment with the point of the compass .	CONJ PROPN;SG FIN;IND;PST;V ADP DEF;DET N;PL ADP 3;NEUT;PRO;SG ADJ N;SG _ DEF;DET ADJ N;PL FIN;IND;PST;V PST;V;V.PTCP ADP N;SG ADP DEF;DET N;PL ADP DEF;DET N;SG _
have someone throw something ( the snitch ) on a line into the pool at regular intervals .	have someone throw something ( the snitch ) on a line into the pool at regular interval .	NFIN;V N;SG NFIN;V N;SG _ DEF;DET N;SG _ ADP DET;INDF N;SG ADP DEF;DET N;SG ADP ADJ N;PL _
next to the door was a tall wrought-iron candle holder — the kind that stood at either end of the altar .	next to the door be a tall wrought-iron candle holder — the kind that stand at either end of the altar .	ADJ ADP DEF;DET N;SG 3;FIN;IND;PST;SG;V DET;INDF ADJ ADJ N;SG N;SG _ DEF;DET N;SG PRO FIN;IND;PST;V ADP DET N;SG ADP DEF;DET N;SG _
for many of us , this includes small chores , like taking out the trash or pulling a few weeds , but can include simple tasks in all areas of life .	for many of us , this include small chore , like take out the trash or pull a few weed , but can include simple task in all area of life .	ADP ADJ ADP 1;ACC;PL;PRO _ PRO;SG 3;FIN;IND;PRS;SG;V ADJ N;PL _ CONJ V;V.MSDR ADP DEF;DET N;SG CONJ V;V.MSDR DET;INDF ADJ N;PL _ CONJ FIN;V NFIN;V ADJ N;PL ADP DET N;PL ADP N;SG _
force yourself to work productively for ten minutes , and then go back to whatever it was you were doing .	force yourself to work productively for ten minute , and then go back to whatever it be you be do .	NFIN;V 2;ACC;PRO;REFL;SG PART NFIN;V ADV ADP NUM N;PL _ CONJ ADV NFIN;V ADV ADP PRO 3;NEUT;NOM;PRO;SG 3;FIN;IND;PST;SG;V 2;NOM;PRO FIN;IND;PST;V PRS;V;V.PTCP _
downtown streets were originally platted parallel to the frisco railroad tracks .	downtown street be originally platted parallel to the frisco railroad track .	N;SG N;PL FIN;IND;PST;V ADV PST;V;V.PTCP ADJ ADP DEF;DET PROPN;SG N;SG N;PL _
when i ran ehow , the content was professionally produced and edited .	when i run ehow , the content be professionally produce and edit .	CONJ 1;NOM;PRO;SG FIN;IND;PST;V PROPN;SG _ DEF;DET N;SG 3;FIN;IND;PST;SG;V ADV PST;V;V.PTCP CONJ PST;V;V.PTCP _
the study of how people , as fans , access and manage information within a transmedia system provides valuable insight that contributes not only to practitioners and scholars of the media industry , but to the wider context of cultural studies , by offering findings on this new model of the fan as consumer and information-user .	the study of how people , as fan , access and manage information within a transmedia system provide valuable insight that contribute not only to practitioner and scholar of the media industry , but to the wide context of cultural study , by offer finding on this new model of the fan as consumer and information-user .	DEF;DET N;SG ADP CONJ N;PL _ ADP N;PL _ FIN;IND;PRS;V CONJ FIN;IND;PRS;V N;SG ADP DET;INDF N;SG N;SG 3;FIN;IND;PRS;SG;V ADJ N;SG PRO 3;FIN;IND;PRS;SG;V NEG;PART ADV ADP N;PL CONJ N;PL ADP DEF;DET N;SG N;SG _ CONJ ADP DEF;DET ADJ;CMPR N;SG ADP ADJ N;PL _ CONJ V;V.MSDR N;PL ADP DET;SG ADJ N;SG ADP DEF;DET N;SG ADP N;SG CONJ N;SG _
he served as minister of finance after the overthrow of the monarch after the 1958 iraqi coup d'état for the government of general abd al-karim qasim .	he serve as minister of finance after the overthrow of the monarch after the @card@ iraqi coup d'état for the government of general abd al-karim qasim .	3;MASC;NOM;PRO;SG FIN;IND;PST;V ADP N;SG ADP N;SG ADP DEF;DET N;SG ADP DEF;DET N;SG ADP DEF;DET NUM ADJ _ _ ADP DEF;DET N;SG ADP PROPN;SG PROPN;SG PROPN;SG PROPN;SG _
scientists analyse effects of global warming , atmospheric ozone on crops	scientist analyse effect of global warming , atmospheric ozone on crop	N;PL FIN;IND;PRS;V N;PL ADP ADJ V;V.MSDR _ ADJ N;SG ADP N;PL
two parts :	two part :	NUM N;PL _
librivox was my first experience recording audiobooks .	librivox be my first experience recording audiobooks .	PROPN;SG 3;FIN;IND;PST;SG;V 1;PRO;SG ADJ N;SG V;V.MSDR N;PL _
october is national magic month in the united states .	october be national magic month in the united states .	PROPN;SG 3;FIN;IND;PRS;SG;V PROPN;SG PROPN;SG PROPN;SG ADP DEF;DET PROPN;SG PL;PROPN _
wear shoes that slip on and off easily .	wear shoe that slip on and off easily .	NFIN;V N;PL PRO FIN;IND;PRS;V ADP CONJ ADP ADV _
do n't pack one box full of books or paperwork - you might not be able to carry it at all .	do n't pack one box full of book or paperwork - you might not be able to carry it at all .	NFIN;V NEG;PART NFIN;V NUM N;SG ADJ ADP N;PL CONJ N;SG _ 2;NOM;PRO FIN;V NEG;PART NFIN;V ADJ PART NFIN;V 3;ACC;NEUT;PRO;SG ADP PRO _
if you want to stay with friends or family in cuba you have to go with your intended host within two days after arrival to a migration office and pay 40 cuc for a 30 days family visa .	if you want to stay with friend or family in cuba you have to go with your intended host within two day after arrival to a migration office and pay @card@ cuc for a @card@ day family visa .	CONJ 2;NOM;PRO FIN;IND;PRS;V PART NFIN;V ADP N;PL CONJ N;SG ADP PROPN;SG 2;NOM;PRO FIN;IND;PRS;V PART NFIN;V ADP 2;PRO ADJ N;SG ADP NUM N;PL ADP N;SG ADP DET;INDF N;SG N;SG CONJ NFIN;V NUM N;PL ADP DET;INDF NUM N;PL N;SG N;SG _
these animals are shrouded in mystery .	these animal be shroud in mystery .	DET;PL N;PL FIN;IND;PRS;V PST;V;V.PTCP ADP N;SG _
is the video available to the public ?	be the video available to the public ?	3;FIN;IND;PRS;SG;V DEF;DET N;SG ADJ ADP DEF;DET N;SG _
it is the largest town on the island and has the largest share of accommodations .	it be the large town on the island and have the large share of accommodation .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DEF;DET ADJ;RL N;SG ADP DEF;DET N;SG CONJ 3;FIN;IND;PRS;SG;V DEF;DET ADJ;RL N;SG ADP N;PL _
it has a population of about 750,000 , and is the largest city in the yucatán peninsula .	it have a population of about @card@ , and be the large city in the yucatán peninsula .	3;NEUT;NOM;PRO;SG 3;FIN;IND;PRS;SG;V DET;INDF N;SG ADP ADV NUM _ CONJ 3;FIN;IND;PRS;SG;V DEF;DET ADJ;RL N;SG ADP DEF;DET PROPN;SG PROPN;SG _
with wikinews , sarvis discusses his background , views on mcdonnell 's tenure , keys to campaign success , plan to implement his agenda , and the former virginia governor he most admires .	with wikinews , sarvis discuss his background , view on mcdonnell 's tenure , key to campaign success , plan to implement his agenda , and the former virginia governor he most admire .	ADP PROPN;SG _ PROPN;SG 3;FIN;IND;PRS;SG;V 3;MASC;PRO;SG N;SG _ 3;FIN;IND;PRS;SG;V ADP PROPN;SG PART N;SG _ N;PL ADP N;SG N;SG _ N;SG PART NFIN;V 3;MASC;PRO;SG N;SG _ CONJ DEF;DET ADJ PROPN;SG N;SG 3;MASC;NOM;PRO;SG ADV 3;FIN;IND;PRS;SG;V _
how many samples do you anticipate being found during the course of the project ?	how many sample do you anticipate be find during the course of the project ?	CONJ ADJ N;PL FIN;IND;PRS;V 2;NOM;PRO NFIN;V V;V.MSDR PST;V;V.PTCP ADP DEF;DET N;SG ADP DEF;DET N;SG _
she had spectacular vision .	she have spectacular vision .	3;FEM;NOM;PRO;SG FIN;IND;PST;V ADJ N;SG _
take up as much space as you can to dance until everyone is staring at you . [ 3 ]	take up as much space as you can to dance until everyone be stare at you . [ 3 ]	NFIN;V ADP ADV ADJ N;SG CONJ 2;NOM;PRO FIN;V PART NFIN;V CONJ N;SG 3;FIN;IND;PRS;SG;V PRS;V;V.PTCP ADP 2;NOM;PRO _ _ NUM _
here he identifies two basic orientations in translating based on two different types of equivalence :	here he identify two basic orientation in translate base on two different type of equivalence :	ADV 3;MASC;NOM;PRO;SG 3;FIN;IND;PRS;SG;V NUM ADJ N;PL CONJ V;V.MSDR PST;V;V.PTCP ADP NUM ADJ N;PL ADP N;SG _
finish the hard stuff .	finish the hard stuff .	NFIN;V DEF;DET ADJ N;SG _
stay hydrated and exercise wisely .	stay hydrate and exercise wisely .	NFIN;V PST;V;V.PTCP CONJ NFIN;V ADV _
one thing that i should say ... is that like all research , the outcome of what we are doing is highly uncertain .	one thing that i should say ... be that like all research , the outcome of what we be do be highly uncertain .	NUM N;SG PRO 1;NOM;PRO;SG FIN;V NFIN;V _ 3;FIN;IND;PRS;SG;V CONJ ADP DET N;SG _ DEF;DET N;SG ADP PRO 1;NOM;PL;PRO FIN;IND;PRS;V PRS;V;V.PTCP 3;FIN;IND;PRS;SG;V ADV ADJ _
summer can be extremely hot and dry during heatwaves , but this rarely happens .	summer can be extremely hot and dry during heatwave , but this rarely happen .	N;SG FIN;V NFIN;V ADV ADJ CONJ ADJ ADP N;PL _ CONJ PRO;SG ADV 3;FIN;IND;PRS;SG;V _
i sat in the shadow in my living room for a while , looking at the amorphous mass of the blanket i had been crocheting .	i sit in the shadow in my live room for a while , look at the amorphous mass of the blanket i have be crochet .	1;NOM;PRO;SG FIN;IND;PST;V ADP DEF;DET N;SG ADP 1;PRO;SG V;V.MSDR N;SG ADP DET;INDF N;SG _ V;V.MSDR ADP DEF;DET ADJ N;SG ADP DEF;DET N;SG 1;NOM;PRO;SG FIN;IND;PST;V PST;V;V.PTCP PRS;V;V.PTCP _
leave the containers in a sunny window .	leave the container in a sunny window .	NFIN;V DEF;DET N;PL ADP DET;INDF ADJ N;SG _
the second or third pad will bear some flowers , but wait before harvesting them or you might affect the size of future harvests .	the second or third pad will bear some flower , but wait before harvest them or you might affect the size of future harvest .	DEF;DET ADJ CONJ ADJ N;SG FIN;V NFIN;V DET N;PL _ CONJ NFIN;V CONJ V;V.MSDR 3;ACC;PL;PRO CONJ 2;NOM;PRO FIN;V NFIN;V DEF;DET N;SG ADP ADJ N;PL _
at the initial meeting it became apparent that most participants were there to learn more about digital humanities and were not ( yet ) in the situation where they were able to offer expertise on the subject .	at the initial meeting it become apparent that most participant be there to learn more about digital humanity and be not ( yet ) in the situation where they be able to offer expertise on the subject .	ADP DEF;DET ADJ N;SG 3;NEUT;NOM;PRO;SG FIN;IND;PST;V ADJ CONJ ADJ;RL N;PL FIN;IND;PST;V ADV PART NFIN;V ADJ;CMPR ADP ADJ N;PL CONJ FIN;IND;PST;V NEG;PART _ ADV _ ADP DEF;DET N;SG CONJ 3;NOM;PL;PRO FIN;IND;PST;V ADJ PART NFIN;V N;SG ADP DEF;DET N;SG _
wednesday , april 13 , 2011	wednesday , april @card@ , @card@	PROPN;SG _ PROPN;SG NUM _ NUM
moreover , seeing someone perform on the internet takes away the use of our senses , originality and imagination that reading and thinking about magic can produce .	moreover , see someone perform on the internet take away the use of our sense , originality and imagination that read and think about magic can produce .	ADV _ V;V.MSDR N;SG NFIN;V ADP DEF;DET N;SG 3;FIN;IND;PRS;SG;V ADP DEF;DET N;SG ADP 1;PL;PRO N;PL _ N;SG CONJ N;SG PRO V;V.MSDR CONJ V;V.MSDR ADP N;SG FIN;V NFIN;V _
other than eating , or shopping , or shopping for food , there is not much else to do unless you work in fort lee .	other than eat , or shopping , or shopping for food , there be not much else to do unless you work in fort lee .	ADJ CONJ V;V.MSDR _ CONJ V;V.MSDR _ CONJ V;V.MSDR ADP N;SG _ PRO 3;FIN;IND;PRS;SG;V NEG;PART ADJ ADV PART NFIN;V CONJ 2;NOM;PRO FIN;IND;PRS;V ADP PROPN;SG PROPN;SG _
you could look at yourself , turning to catch different angles and say “ all right , all right , now we ’re talking , ” very loudly .	you could look at yourself , turn to catch different angle and say " all right , all right , now we be talk , " very loudly .	2;NOM;PRO FIN;V NFIN;V ADP 2;ACC;PRO;REFL;SG _ V;V.MSDR PART NFIN;V ADJ N;PL CONJ NFIN;V _ DET N;SG _ DET N;SG _ ADV 1;NOM;PL;PRO FIN;IND;PRS;V V;V.MSDR _ _ ADV ADV _
this past week marked the opening night of an andy warhol exhibit at the university of southern indiana .	this past week mark the opening night of an andy warhol exhibit at the university of southern indiana .	DET;SG ADJ N;SG FIN;IND;PST;V DEF;DET V;V.MSDR N;SG ADP DET;INDF PROPN;SG PROPN;SG N;SG ADP DEF;DET PROPN;SG ADP PROPN;SG PROPN;SG _
she laughed .	she laugh .	3;FEM;NOM;PRO;SG FIN;IND;PST;V _
she was bony and rough-skinned and bent like an old crow , with a blue silk scarf and hanks of hair as black as soot .	she be bony and rough-skinned and bent like an old crow , with a blue silk scarf and hank of hair as black as soot .	3;FEM;NOM;PRO;SG 3;FIN;IND;PST;SG;V ADJ CONJ ADJ CONJ ADJ ADP DET;INDF ADJ N;SG _ ADP DET;INDF ADJ N;SG N;SG CONJ N;PL ADP N;SG ADP ADJ ADP N;SG _
why not add some non latin characters such as ß ?	why not add some non latin character such as ß ?	CONJ NEG;PART NFIN;V DET ADV ADJ N;PL ADJ ADP _ _
