ja vel kor langt uti kunne ein gå ?	ja vel kor lang uti kunne ein gå $?	INTJ ADV ADV ADJ;INDF;NEUT;SG ADP FIN;IND;PST;V HUM;NOM;PRO;SG NFIN;V _
så da vi evakuerte på nytt igjen ## i juli månad ## til kongsfjord .	så da vi evakuere på ny igjen ## i juli månad ## til kongsfjord $.	CONJ CONJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADP ADJ;INDF;NEUT;SG ADV _ ADP INDF;MASC;N;SG INDF;MASC;N;SG _ ADP PROPN _
ja hugsar du nokre sånne ?	ja hugse du nokon sånn $?	INTJ FIN;IND;PRS;V 2;HUM;NOM;PRO;SG DET;PL DET;PL _
gjorde ikkje det .	gjere ikkje det $.	FIN;IND;PST;V NEG;PART 3;NEUT;PRO;SG _
her utanfor ?	her utanfor $?	ADV ADP _
ja .	ja $.	INTJ _
og så var det da e # kor mange var det da så og så mange mann i båt ?	og så vere det da e # kor mange vere det da så og så mange mann i båt $?	CONJ ADV FIN;IND;PST;V 3;NEUT;PRO;SG ADV _ _ ADV ADJ;PL FIN;IND;PST;V 3;NEUT;PRO;SG ADV ADV CONJ ADV ADJ;DEF;SG INDF;MASC;N;SG ADP INDF;MASC;N;SG _
korleis e var arbeidet fordelt når ein kasta kven var det som hadde # kommandoen og kven e ?	korleis e vere arbeid fordele når ein kaste kven vere det som ha # kommando og kven e $?	ADV _ FIN;IND;PST;V DEF;N;NEUT;SG ADJ;INDF;NEUT;SG CONJ HUM;NOM;PRO;SG FIN;IND;PST;V ACC;HUM;PRO FIN;IND;PST;V 3;NEUT;PRO;SG PRO FIN;IND;PST;V _ DEF;MASC;N;SG CONJ ACC;HUM;PRO _ _
kor e korleis bar de dykk åt # når de kasta med den ?	kor e korleis bere de de åt # når de kaste med den $?	ADV _ ADV FIN;IND;PST;V 2;HUM;NOM;PL;PRO 2;ACC;HUM;PL;PRO ADP _ CONJ 2;HUM;NOM;PL;PRO FIN;IND;PST;V ADP 3;ACC;PRO;SG _
og korn og litt ... # ja .	og korn og litt … # ja $.	CONJ INDF;N;NEUT;PL CONJ ADJ;INDF;NEUT;SG _ _ INTJ _
dei var blitt brotne ned av av sjøen antakeleg eller eller skuta eller noko med skuta som har gjort at # .	dei vere bli broten ned av av sjø antakeleg eller eller skute eller noko med skute som ha gjere at # $.	3;HUM;NOM;PL;PRO FIN;IND;PST;V V;V.PTCP ADJ;PL ADP ADP ADP DEF;MASC;N;SG ADJ;INDF;NEUT;SG CONJ CONJ DEF;FEM;N;SG CONJ 3;ACC;NEUT;PRO;SG ADP DEF;FEM;N;SG PRO FIN;IND;PRS;V V;V.PTCP CONJ _ _
det gjer eg # til dels men dei nyheitene da .	det gjere eg # til dels men dei nyheit da $.	3;NEUT;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG _ ADP ADV CONJ DET;PL DEF;FEM;N;PL ADV _
og militær i # # alt og byen var teken så det var ikkje noko tess å reise lenger sa dei .	og militær i # # all og by vere ta så det vere ikkje nokon tess å reise lang seie dei $.	CONJ INDF;N;NEUT;PL ADP _ _ DET;NEUT;SG CONJ DEF;MASC;N;SG FIN;IND;PST;V ADJ;INDF;SG CONJ 3;NEUT;PRO;SG FIN;IND;PST;V NEG;PART DET;NEUT;SG ADJ;INDF;NEUT;SG PART NFIN;V ADJ FIN;IND;PST;V 3;HUM;NOM;PL;PRO _
m .	m $.	INTJ _
ja .	ja $.	INTJ _
ikkje så triveleg .	ikkje så triveleg $.	NEG;PART ADV ADJ;INDF;NEUT;SG _
men eg og han han andre som stod i # styrhuset # e han andre han blei momentant med ein gong drepen .	men eg og han han annan som stå i # styrhus # e han annan han bli momentan med ein gong drepe $.	CONJ 1;HUM;NOM;PRO;SG CONJ 3;MASC;NOM;PRO;SG 3;MASC;NOM;PRO;SG DEF;DET;SG PRO FIN;IND;PST;V ADP _ DEF;N;NEUT;SG _ _ 3;MASC;NOM;PRO;SG DEF;DET;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG ADP DET;MASC;SG INDF;MASC;N;SG FIN;IND;PRS;V _
nei .	nei $.	INTJ _
om om dagen # som vi bar .	om om dag # som vi bere $.	ADP ADP DEF;MASC;N;SG _ PRO 1;HUM;NOM;PL;PRO FIN;IND;PST;V _
det måtte ... .	det måtte … $.	3;NEUT;PRO;SG FIN;IND;PST;V _ _
trur nesten ikkje ikkje for det at dei er uhøflege og slik på langt nær # men det var meir det var ein annan ein annan tone da liksom # ja .	tru nesten ikkje ikkje for det at dei vere uhøfleg og slik på lang nær # men det vere mykje det vere ein annan ein annan tone da liksom # ja $.	FIN;IND;PRS;V ADV NEG;PART NEG;PART CONJ 3;NEUT;PRO;SG CONJ 3;HUM;NOM;PL;PRO FIN;IND;PRS;V ADJ;PL CONJ ADV ADP ADJ;INDF;NEUT;SG ADJ;INDF;SG _ CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ 3;NEUT;PRO;SG FIN;IND;PST;V DET;MASC;SG DET;INDF;MASC;SG DET;MASC;SG DET;INDF;MASC;SG INDF;MASC;N;SG ADV ADV _ INTJ _
han han e # han var eldst utav søskena hennar mamma .	han han e # han vere gammal utav søsken hennar mamma $.	3;MASC;NOM;PRO;SG 3;MASC;NOM;PRO;SG _ _ 3;MASC;NOM;PRO;SG FIN;IND;PST;V ADJ;INDF;RL ADP DEF;N;NEUT;PL PL;PRO FEM;INDF;N;SG _
det var stein du brukte ?	det vere stein du bruke $?	3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;SG 2;HUM;NOM;PRO;SG FIN;IND;PST;V _
og dette gjekk og gjekk # sånn dreiv vi til krigen begynte .	og dette gå og gå # sånn drive vi til krig begynne $.	CONJ 3;NEUT;NOM;PRO;SG FIN;IND;PST;V CONJ FIN;IND;PST;V _ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP DEF;MASC;N;SG FIN;IND;PST;V _
levert og reiste heim og køyrde mjølka til b- e til be- til byen etterpå .	levere og reise heim og køyre mjølk til b- e til be- til by etterpå $.	V;V.PTCP CONJ FIN;IND;PST;V ADP CONJ FIN;IND;PST;V DEF;FEM;N;SG ADP _ _ ADP _ ADP DEF;MASC;N;SG ADV _
mm .	mm $.	INTJ _
dei # dei blei altså ein del sundskotne av granatar # men dei berga seg på den måten .	dei # dei bli altså ein del sundskoten av granat # men dei berge seg på den måte $.	3;HUM;NOM;PL;PRO _ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADV DET;MASC;SG INDF;MASC;N;SG ADJ ADP INDF;MASC;N;PL _ CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V ACC;PRO;REFL ADP DET;MASC;SG DEF;MASC;N;SG _
og når vi skulle flytte i sjuogtretti da kjøpte eg det her huset # da tok vi bar- da bar vi berre .	og når vi skulle flytte i sjuogtretti da kjøpe eg det her hus # da ta vi bar- da bere vi berre $.	CONJ CONJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V NFIN;V ADP NUM;PL ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG 3;NEUT;PRO;SG ADV DEF;N;NEUT;SG _ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO _ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADV _
mhm .	mhm $.	INTJ _
å ja i store båtar det # svære båtar det så du kunne hive doryane på .	å ja i stor båt det # svær båt det så du kunne hive dory på $.	INTJ INTJ ADP ADJ;PL INDF;MASC;N;PL 3;NEUT;PRO;SG _ ADJ;PL INDF;MASC;N;PL 3;NEUT;PRO;SG CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V NFIN;V DEF;MASC;N;PL ADP _
ja .	ja $.	INTJ _
da det var gjerne te- trekkspel det som dei brukte .	da det vere gjerne te- trekkspel det som dei bruke $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV _ INDF;N;NEUT;SG 3;NEUT;PRO;SG PRO 3;HUM;NOM;PL;PRO FIN;IND;PST;V _
å leste mindre .	å lesse liten $.	INTJ FIN;IND;PST;V ADJ _
ja .	ja $.	INTJ _
så det gjekk # måtte bruke alle strekar som var for å få det til å gå veit .	så det gå # måtte bruke all strek som vere for å få det til å gå vite $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V _ FIN;IND;PST;V NFIN;V DET;PL INDF;MASC;N;PL PRO FIN;IND;PST;V CONJ PART NFIN;V 3;NEUT;PRO;SG CONJ PART NFIN;V FIN;IND;PRS;V _
ja .	ja $.	INTJ _
det var slik at det # det var ikkje slike båtar som nå er dei nå er dei # godt utstyrt både med det eine andre det er jo ekkolodd og sendar og radar og .	det vere slik at det # det vere ikkje slik båt som nå vere dei nå vere dei # god utstyre både med det eine andre det vere jo ekkolodd og sendar og radar og $.	3;NEUT;PRO;SG FIN;IND;PST;V ADV CONJ 3;NEUT;PRO;SG _ 3;NEUT;PRO;SG FIN;IND;PST;V NEG;PART DET;PL INDF;MASC;N;PL PRO ADV FIN;IND;PRS;V 3;HUM;NOM;PL;PRO ADV FIN;IND;PRS;V 3;HUM;NOM;PL;PRO _ ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG CONJ ADP DET;NEUT;SG DEF;NUM;SG ADJ;DEF;SG 3;NEUT;PRO;SG FIN;IND;PRS;V ADV INDF;N;NEUT;SG CONJ INDF;MASC;N;SG CONJ INDF;MASC;N;SG ADV _
ja det var # krig- # krigen .	ja det vere # krig- # krig $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V _ _ _ DEF;MASC;N;SG _
ja eg var vel ikkje sørom fiskøya på landnot .	ja eg vere vel ikkje sørom fiskøya på landnot $.	INTJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADV NEG;PART ADP PROPN ADP FEM;INDF;N;SG _
.	$.	_
var dei evakuerte under krigen ?	vere dei evakuere under krig $?	FIN;IND;PST;V 3;HUM;NOM;PL;PRO FIN;IND;PST;V ADP DEF;MASC;N;SG _
ja nærmaste # og der budde vi i ## da vi gifta oss .	ja nær # og der bu vi i ## da vi gifte vi $.	INTJ ADJ;DEF;RL _ CONJ ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO ADP _ ADV 1;HUM;NOM;PL;PRO FIN;IND;PST;V 1;ACC;HUM;PL;PRO _
og # og likeins når dei var # og henta vatn ved vasspringen det var vasspost her nede ## så og ikkje berre her men fleire plassar i byen .	og # og likeins når dei vere # og hente vatn ved vasspring det vere vasspost her nede ## så og ikkje berre her men fleire plass i by $.	CONJ _ CONJ ADJ;INDF;NEUT;SG CONJ 3;HUM;NOM;PL;PRO FIN;IND;PST;V _ CONJ FIN;IND;PST;V INDF;N;NEUT;PL ADP DEF;MASC;N;SG 3;NEUT;PRO;SG FIN;IND;PST;V INDF;MASC;N;SG ADV ADP _ ADV CONJ NEG;PART ADV ADV CONJ ADJ;PL INDF;MASC;N;PL ADP DEF;MASC;N;SG _
men den tid var det jo berre hestar .	men den tid vere det jo berre hest $.	CONJ DET;FEM;SG FEM;INDF;N;SG FIN;IND;PST;V 3;NEUT;PRO;SG ADV ADV INDF;MASC;N;PL _
da måtte vi gjere reint om kvelden når vi kom igjen ja .	da måtte vi gjere rein om kveld når vi komme igjen ja $.	ADV FIN;IND;PST;V 1;HUM;NOM;PL;PRO NFIN;V ADJ;INDF;NEUT;SG ADP DEF;MASC;N;SG CONJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADV INTJ _
ei svær trapp som vi måtte gå opp med spanna .	ein svær trapp som vi måtte gå opp med spann $.	DET;FEM;SG ADJ;INDF;SG FEM;INDF;N;SG PRO 1;HUM;NOM;PL;PRO FIN;IND;PST;V NFIN;V ADP ADP DEF;N;NEUT;PL _
du hugsar du nokre spesielle ting ifrå hærland i den tida der ?	du hugse du nokon spesiell ting ifrå hærland i den tid der $?	2;HUM;NOM;PRO;SG FIN;IND;PRS;V 2;HUM;NOM;PRO;SG DET;PL ADJ;PL INDF;MASC;N;PL ADP PROPN ADP DET;FEM;SG DEF;FEM;N;SG ADV _
det var mykje bly ?	det vere mykje bly $?	3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG INDF;N;NEUT;PL _
ja det var det # # men e du tapte på det veit du .	ja det vere det # # men e du tape på det vite du $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V 3;NEUT;PRO;SG _ _ CONJ _ 2;HUM;NOM;PRO;SG FIN;IND;PST;V ADP 3;NEUT;PRO;SG FIN;IND;PRS;V 2;HUM;NOM;PRO;SG _
dei e arbeidde der og mange .	dei e arbeide der og mange $.	3;HUM;NOM;PL;PRO _ FIN;IND;PST;V ADV CONJ ADJ;PL _
og så måtte du gjere reint om kvelden når du kom heim ?	og så måtte du gjere rein om kveld når du komme heim $?	CONJ ADV FIN;IND;PST;V 2;HUM;NOM;PRO;SG NFIN;V ADJ;INDF;NEUT;SG ADP DEF;MASC;N;SG CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V ADP _
ja .	ja $.	INTJ _
så skulle han ha halvparten i båten # og det gjekk ja det gjekk fort eit par år så # så var det han som eigde ha- # hadde halvparten i båten .	så skulle han ha halvpart i båt # og det gå ja det gå fort ein par år så # så vere det han som eige ha- # ha halvpart i båt $.	ADV FIN;IND;PST;V 3;MASC;NOM;PRO;SG NFIN;V DEF;MASC;N;SG ADP DEF;MASC;N;SG _ CONJ 3;NEUT;PRO;SG FIN;IND;PST;V INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG DET;NEUT;SG INDF;N;NEUT;SG INDF;N;NEUT;PL ADV _ ADV FIN;IND;PST;V 3;NEUT;PRO;SG 3;MASC;NOM;PRO;SG PRO FIN;IND;PST;V _ _ FIN;IND;PST;V DEF;MASC;N;SG ADP DEF;MASC;N;SG _
det skal eg seie deg gitt .	det skulle eg seie du gitt $.	3;NEUT;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG NFIN;V 2;ACC;HUM;PRO;SG ADV _
ja vel nettopp konfirmert ?	ja vel nettopp konfirmere $?	INTJ ADV ADV ADJ;INDF;NEUT;SG _
du budde jo her på denne grensesona du .	du bu jo her på denne grensesone du $.	2;HUM;NOM;PRO;SG FIN;IND;PST;V ADV ADV ADP DET;FEM;SG DEF;FEM;N;SG 2;HUM;NOM;PRO;SG _
den låg bak # i rommet den og .	den ligge bak # i rom den og $.	3;NOM;PRO;SG FIN;IND;PST;V ADP _ ADP DEF;N;NEUT;SG 3;NOM;PRO;SG CONJ _
den her nærmaste ?	den her nær $?	3;NOM;PRO;SG ADV ADJ;DEF;RL _
svigerbroren min var med og og # to tre andre vi var tre fire mann # fire fem mann eller fem mann var vi .	svigerbror min vere med og og # to tre annan vi vere tre fire mann # fire fem mann eller fem mann vere vi $.	DEF;MASC;N;SG MASC;PRO;SG FIN;IND;PST;V ADP CONJ CONJ _ NUM;PL NUM;PL DET;PL 1;HUM;NOM;PL;PRO FIN;IND;PST;V NUM;PL NUM;PL INDF;MASC;N;SG _ NUM;PL NUM;PL INDF;MASC;N;SG CONJ NUM;PL INDF;MASC;N;SG FIN;IND;PST;V 1;HUM;NOM;PL;PRO _
ja .	ja $.	INTJ _
ja # men det var vel helst om sommaren ?	ja # men det vere vel helst om sommar $?	INTJ _ CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADV ADP DEF;MASC;N;SG _
så de brukte doryar da å nota på ?	så de bruke dory da å not på $?	CONJ 2;HUM;NOM;PL;PRO FIN;IND;PST;V INDF;MASC;N;PL ADV PART DEF;FEM;N;SG ADP _
ja .	ja $.	INTJ _
ja vel # men da var ikkje du store karen da du begynte ?	ja vel # men da vere ikkje du stor kar da du begynne $?	INTJ ADV _ CONJ ADV FIN;IND;PST;V NEG;PART 2;HUM;NOM;PRO;SG ADJ;DEF;SG DEF;MASC;N;SG CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V _
tysk og # russisk trur det var russisk # ubåt .	tysk og # russisk tru det vere russisk # ubåt $.	ADJ;INDF;SG CONJ _ ADJ;INDF;SG FIN;IND;PRS;V 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;SG _ INDF;MASC;N;SG _
ja visst # og det gjekk bra det ?	ja visst # og det gå bra det $?	INTJ ADV _ CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG 3;NEUT;PRO;SG _
og det var # så det var da bra .	og det vere # så det vere da bra $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V _ CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG _
ja .	ja $.	INTJ _
det var utkant da .	det vere utkant da $.	3;NEUT;PRO;SG FIN;IND;PST;V INDF;MASC;N;SG ADV _
da kom det bilar ifrå heile austlandet og .	da komme det bil ifrå heil austlandet og $.	ADV FIN;IND;PST;V 3;NEUT;PRO;SG INDF;MASC;N;PL ADP ADJ;PL PROPN CONJ _
.	$.	_
og så var du da handspel ## så vart du sveitt .	og så vere du da handspel ## så bli du sveitt $.	CONJ ADV FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADV INDF;N;NEUT;PL _ ADV FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADJ;INDF;SG _
så begynte jæ- eg å drive med gris # og da .	så begynne jæ- eg å drive med gris # og da $.	ADV FIN;IND;PST;V _ 1;HUM;NOM;PRO;SG PART NFIN;V ADP INDF;MASC;N;SG _ CONJ ADV _
e ## nå e nå kva gjer du på nå ?	e ## nå e nå kva gjere du på nå $?	_ _ ADV _ ADV PRO FIN;IND;PRS;V 2;HUM;NOM;PRO;SG ADP ADV _
ja .	ja $.	INTJ _
når du kom heim om kvelden ifrå bykjøringa di da var du # å gå til sengs da nesten .	når du komme heim om kveld ifrå bykjøring din da vere du # å gå til seng da nesten $.	CONJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V ADP ADP DEF;MASC;N;SG ADP DEF;FEM;N;SG FEM;PRO;SG ADV FIN;IND;PST;V 2;HUM;NOM;PRO;SG _ PART NFIN;V ADP FEM;INDF;N;SG ADV ADV _
hærlandstuer å .	hærlandstuer å $.	PROPN INTJ _
em # kva yrke har du hatt ?	em # kva yrke ha du ha $?	_ _ DET INDF;N;NEUT;PL FIN;IND;PRS;V 2;HUM;NOM;PRO;SG V;V.PTCP _
mm .	mm $.	INTJ _
å da køyrde eg nokså lenge med den eine bilen .	å da køyre eg nokså lenge med den eine bil $.	INTJ ADV FIN;IND;PST;V 1;HUM;NOM;PRO;SG ADV ADJ ADP DET;MASC;SG DEF;NUM;SG DEF;MASC;N;SG _
dei brukte hestar ja # vognmennene brukte hestar .	dei bruke hest ja # vognmann bruke hest $.	3;HUM;NOM;PL;PRO FIN;IND;PST;V INDF;MASC;N;PL INTJ _ DEF;MASC;N;PL FIN;IND;PST;V INDF;MASC;N;PL _
nei e1 han e leverte aldri mjølk # så lenge ... # nei .	nei e1 han e levere aldri mjølk # så lenge … # nei $.	INTJ PROPN 3;MASC;NOM;PRO;SG _ FIN;IND;PST;V ADV FEM;INDF;N;SG _ ADV ADJ _ _ INTJ _
er det hen da ?	vere det hen da $?	FIN;IND;PRS;V 3;NEUT;PRO;SG ADP ADV _
og det syntest eg var fint og det var ein # fin misjon .	og det synast eg vere fin og det vere ein # fin misjon $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG CONJ 3;NEUT;PRO;SG FIN;IND;PST;V DET;MASC;SG _ ADJ;INDF;SG INDF;MASC;N;SG _
laurdagskveldar ?	laurdagskveld $?	INDF;MASC;N;PL _
ja .	ja $.	INTJ _
som spelte på dans .	som spele på dans $.	PRO FIN;IND;PST;V ADP INDF;MASC;N;SG _
og da # kj- hadde eg forden # eg hadde forden da au .	og da # kj- ha eg forden # eg ha forden da au $.	CONJ ADV _ _ FIN;IND;PST;V 1;HUM;NOM;PRO;SG PROPN _ 1;HUM;NOM;PRO;SG FIN;IND;PST;V PROPN ADV ADV _
det var jo ingen som kunne greie han anna enn eg måtte til byen # for å få greidd den derre der .	det vere jo ingen som kunne greie han annan enn eg måtte til by # for å få greie den derre der $.	3;NEUT;PRO;SG FIN;IND;PST;V ADV 3;NEG;NOM;PL;PRO PRO FIN;IND;PST;V INDF;N;NEUT;SG 3;ACC;MASC;PRO;SG DET;INDF;NEUT;SG CONJ 1;HUM;NOM;PRO;SG FIN;IND;PST;V ADP DEF;MASC;N;SG _ CONJ PART NFIN;V V;V.PTCP 3;ACC;PRO;SG ADV ADV _
med to bilar .	med to bil $.	ADP NUM;PL INDF;MASC;N;PL _
ja .	ja $.	INTJ _
hadde du med slakta gris inn ?	ha du med slakte gris inn $?	FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADP ADJ;INDF;SG INDF;MASC;N;SG ADP _
ja .	ja $.	INTJ _
hadde du med deg nokon varer heim ?	ha du med du nokon vare heim $?	FIN;IND;PST;V 2;HUM;NOM;PRO;SG ADP 2;ACC;HUM;PRO;SG DET;MASC;SG FEM;INDF;N;PL ADP _
og det var da tungvint greie .	og det vere da tungvinn greie $.	CONJ 3;NEUT;PRO;SG FIN;IND;PST;V ADV ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _
når du kjøpte den bilen i .	når du kjøpe den bil i $.	ADV 2;HUM;NOM;PRO;SG FIN;IND;PST;V DET;MASC;SG DEF;MASC;N;SG ADP _
skummamjølk og ost og .	skummamjølk og ost og $.	FEM;INDF;N;SG CONJ INDF;MASC;N;SG CONJ _
mm ## ja vel .	mm ## ja vel $.	INTJ _ INTJ ADV _
ja .	ja $.	INTJ _
å s- å sat på heile tida berre for å få komme til byen .	å s- å sitte på heil tid berre for å få komme til by $.	INTJ _ INTJ FIN;IND;PST;V ADP ADJ;DEF;SG DEF;FEM;N;SG ADV CONJ PART NFIN;V NFIN;V ADP DEF;MASC;N;SG _
for å køyre mjølka og køyre rute til oslo sånn som eg gjorde # kombinert rute .	for å køyre mjølk og køyre rute til oslo sånn som eg gjere # kombinere rute $.	ADP PART NFIN;V DEF;FEM;N;SG CONJ NFIN;V FEM;INDF;N;SG ADP PROPN ADV PRO 1;HUM;NOM;PRO;SG FIN;IND;PST;V _ ADJ;INDF;SG FEM;INDF;N;SG _
.	$.	_
kven var det du kjøpte opp den av av her da ?	kven vere det du kjøpe opp den av av her da $?	ACC;HUM;PRO FIN;IND;PST;V 3;NEUT;PRO;SG 2;HUM;NOM;PRO;SG FIN;IND;PST;V ADP 3;ACC;PRO;SG ADP ADP ADV ADV _
eller på når dei så da hadde brislingbruk dei ville ha deg med om # sommaren på brislingen .	eller på når dei så da ha brislingbruk dei vilje ha du med om # sommar på brisling $.	CONJ ADP CONJ 3;HUM;NOM;PL;PRO ADV ADV FIN;IND;PST;V INDF;N;NEUT;PL 3;HUM;NOM;PL;PRO FIN;IND;PST;V NFIN;V 2;ACC;HUM;PRO;SG ADP ADP _ DEF;MASC;N;SG ADP DEF;MASC;N;SG _
femtiliteren for å køyre mjølka .	femtiliter for å køyre mjølk $.	DEF;MASC;N;SG CONJ PART NFIN;V DEF;FEM;N;SG _
du var glad den dagen du kunne skifte ut den # generatoren ?	du vere glad den dag du kunne skifte ut den # generator $?	2;HUM;NOM;PRO;SG FIN;IND;PST;V ADJ;INDF;SG DET;MASC;SG DEF;MASC;N;SG 2;HUM;NOM;PRO;SG FIN;IND;PST;V NFIN;V ADP DET;MASC;SG _ DEF;MASC;N;SG _
ja det var merkeleg gitt # korleis prisane har forandra seg .	ja det vere merkeleg gitt # korleis pris ha forandre seg $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;NEUT;SG ADV _ ADV DEF;MASC;N;PL FIN;IND;PRS;V V;V.PTCP ACC;PRO;REFL _
nei da det er heilt fint ja # jada .	nei da det vere heil fin ja # jada $.	INTJ ADV 3;NEUT;PRO;SG FIN;IND;PRS;V ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG INTJ _ INTJ _
dagsnytt .	dagsnytt $.	PROPN _
ja .	ja $.	INTJ _
ja .	ja $.	INTJ _
var var det berre de to ?	vere vere det berre de to $?	FIN;IND;PST;V FIN;IND;PST;V 3;NEUT;PRO;SG ADV 2;HUM;NOM;PL;PRO NUM;PL _
ja .	ja $.	INTJ _
.	$.	_
på slutten ja du slutta å køyre til oslo ?	på slutt ja du slutte å køyre til oslo $?	ADP DEF;MASC;N;SG INTJ 2;HUM;NOM;PRO;SG FIN;IND;PST;V PART NFIN;V ADP PROPN _
m5 og .	m5 og $.	PROPN CONJ _
nei det var stein # stein ja vi brukte i dei dagar .	nei det vere stein # stein ja vi bruke i dei dag $.	INTJ 3;NEUT;PRO;SG FIN;IND;PST;V ADJ;INDF;SG _ ADJ;INDF;SG INTJ 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADP DET;PL INDF;MASC;N;PL _
jaha .	jaha $.	INTJ _
hende det at ein drog vest til island av og til ?	hende det at ein dra vest til island av og til $?	FIN;IND;PST;V 3;NEUT;PRO;SG CONJ HUM;NOM;PRO;SG FIN;IND;PST;V ADP ADP PROPN ADP CONJ ADP _
jau det # var det # ei dokke ja eg veit ikkje kalla det for .	jau det # vere det # ein dokke ja eg vite ikkje kalle det for $.	INTJ 3;NEUT;PRO;SG _ FIN;IND;PST;V 3;NEUT;PRO;SG _ DET;FEM;SG FEM;INDF;N;SG INTJ 1;HUM;NOM;PRO;SG FIN;IND;PRS;V NEG;PART FIN;IND;PST;V 3;NEUT;PRO;SG ADP _
jaha .	jaha $.	INTJ _
som vi leste opp det mjølka .	som vi lesse opp det mjølk $.	PRO 1;HUM;NOM;PL;PRO FIN;IND;PST;V ADP DET;NEUT;SG DEF;FEM;N;SG _
ja det synest eg # det var såleis at eg e # såg stundom og let det vere .	ja det synast eg # det vere såleis at eg e # sjå stundom og la det vere $.	INTJ 3;NEUT;PRO;SG FIN;IND;PRS;V 1;HUM;NOM;PRO;SG _ 3;NEUT;PRO;SG FIN;IND;PST;V ADV CONJ 1;HUM;NOM;PRO;SG _ _ FIN;IND;PST;V ADV CONJ FIN;IND;PST;V 3;NEUT;PRO;SG NFIN;V _
det gav eg fjorten tusen for da .	det gi eg fjorten tusen for da $.	3;NEUT;PRO;SG FIN;IND;PST;V 1;HUM;NOM;PRO;SG NUM;PL NUM;PL ADP ADV _
det var ein kjekk kar å komme til for han han skratta og spurde etter mykje rart .	det vere ein kjekk kar å komme til for han han skratte og spørje etter mykje rar $.	3;NEUT;PRO;SG FIN;IND;PST;V DET;MASC;SG ADJ;INDF;SG INDF;MASC;N;SG PART NFIN;V ADP CONJ 3;MASC;NOM;PRO;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V CONJ FIN;IND;PST;V ADP ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG _
nei # ja .	nei # ja $.	INTJ _ INTJ _
det var jo alle slags folk det han måtte vere i saman med .	det vere jo all slags folk det han måtte vere i saman med $.	3;NEUT;PRO;SG FIN;IND;PST;V ADV DET;PL N;NEUT INDF;N;NEUT;PL 3;NEUT;PRO;SG 3;MASC;NOM;PRO;SG FIN;IND;PST;V NFIN;V ADP ADV ADP _
og .	og $.	CONJ _
ja .	ja $.	INTJ _
jaha ja # ja .	jaha ja # ja $.	INTJ INTJ _ INTJ _
ja .	ja $.	INTJ _
jaha .	jaha $.	INTJ _
