в ингушетии нет улицы хучбарова , и многих достойных вайнахов .	в ингушетия нет улица хучбаров , и много достойный вайнах .	ADP ESS;FEM;INAN;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V FEM;GEN;INAN;N;SG ANIM;GEN;MASC;PROPN;SG _ CONJ GEN;NUM ADJ;GEN;PL GEN;INAN;MASC;N;PL _
серёжа , возьми карту .	сережа , взять карта .	ANIM;MASC;NOM;PROPN;SG _ 2;ACT;FIN;IMP;PFV;SG;V ACC;FEM;INAN;N;SG _
трампа поставили для контраста , как клоуна с желтой мочалкой на голове , который несет пургу и ересь .	трамп поставить для контраст , как клоун с желтый мочалка на голова , который нести пурга и ересь .	ACC;ANIM;MASC;PROPN;SG ACT;FIN;IND;PFV;PL;PST;V ADP GEN;INAN;MASC;N;SG _ CONJ ANIM;GEN;MASC;N;SG ADP ADJ;FEM;INS;SG FEM;INAN;INS;N;SG ADP ESS;FEM;INAN;N;SG _ NOM;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V ACC;FEM;INAN;N;SG CONJ ACC;FEM;INAN;N;SG _
яблочники , когда у вас юсб-шнур умирает , вы оригинальный покупаете или нет	яблочник , когда у вы юсб-шнур умирать , вы оригинальный покупать или нет	ANIM;MASC;N;NOM;PL _ CONJ ADP 2;GEN;PL;PRO INAN;MASC;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _ 2;NOM;PL;PRO ACC;ADJ;INAN;MASC;SG 2;ACT;FIN;IND;IPFV;PL;PRS;V CONJ PART
вам должно быть стыдно , евгений , что вы сомневаетесь в анне .	вы должен быть стыдный , евгений , что вы сомневаться в анна .	2;DAT;PL;PRO ADJ;NEUT;SG ACT;IPFV;NFIN;V ADJ;NEUT;SG _ ANIM;MASC;NOM;PROPN;SG _ CONJ 2;NOM;PL;PRO 2;FIN;IND;IPFV;MID;PL;PRS;V ADP ANIM;ESS;FEM;PROPN;SG _
среди разных сыновей был один , который звал себя сыном божьим .	среди разный сын быть один , который звать себя сын божий .	ADP ADJ;GEN;PL ANIM;GEN;MASC;N;PL ACT;FIN;IND;IPFV;MASC;PST;SG;V DET;MASC;NOM;SG _ NOM;PRO ACT;FIN;IND;IPFV;MASC;PST;SG;V ACC;PRO ANIM;INS;MASC;N;SG ADJ;INS;MASC;SG _
ржу )	ржать )	1;ACT;FIN;FUT;IND;PFV;SG;V _
@yabloko @xxxxxx а что , приличные люди к вам в партию вообще не идут неужели даже пару кандидатур уговорить не смогли	@yabloko @xxxxxx а что , приличный человек к вы в партия вообще не идти неужели даже пара кандидатура уговорить не смочь	PROPN _ CONJ INAN;NEUT;NOM;PRO;SG _ ADJ;NOM;PL ANIM;MASC;N;NOM;PL ADP 2;DAT;PL;PRO ADP ACC;FEM;INAN;N;SG ADV NEG;PART 3;ACT;FIN;IND;IPFV;PL;PRS;V PART PART ACC;FEM;INAN;N;SG FEM;GEN;INAN;N;PL ACT;NFIN;PFV;V NEG;PART ACT;FIN;IND;PFV;PL;PST;V
екатерина усакова	екатерина усакова	ANIM;FEM;NOM;PROPN;SG ANIM;FEM;NOM;PROPN;SG
но с апельсином мне понравилось больше всего !	но с апельсин я понравиться много всё !	CONJ ADP INAN;INS;MASC;N;SG 1;DAT;PRO;SG FIN;IND;MID;NEUT;PFV;PST;SG;V ADV;CMPR GEN;INAN;NEUT;PRO;SG _
надавить подбородком на руки 3 раза по 7 секунд .	надавить подбородок на рука 3 раз по 7 секунда .	ACT;NFIN;PFV;V INAN;INS;MASC;N;SG ADP ACC;FEM;INAN;N;PL NUM GEN;INAN;MASC;N;SG ADP NUM FEM;GEN;INAN;N;PL _
у меня высшее образование , но я - безработная .	у я высший образование , но я - безработный .	ADP 1;GEN;PRO;SG ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG _ CONJ 1;NOM;PRO;SG _ ADJ;FEM;NOM;SG _
за 23 года ни разу по ингушскому тв ни сказано ни слова о зеламхе , суламбеке гороводжеве , хасухе , хучбарове .	за 23 год ни раз по ингушский тв ни сказать ни слово о зеламх , суламбек гороводжев , хасух , хучбаров .	ADP NUM GEN;INAN;MASC;N;SG NEG;PART INAN;MASC;N;PRT;SG ADP ADJ;DAT;NEUT;SG DAT;INAN;N;NEUT;SG CONJ;NEG NEUT;PASS;PFV;PST;SG;V;V.PTCP NEG;PART GEN;INAN;N;NEUT;SG ADP ANIM;ESS;MASC;PROPN;SG _ ANIM;ESS;MASC;PROPN;SG ANIM;ESS;MASC;PROPN;SG _ ANIM;ESS;MASC;PROPN;SG _ ANIM;ESS;MASC;PROPN;SG _
хозяйке на заметку . #фэшн	хозяйка на заметка . #фэшн	ANIM;DAT;FEM;N;SG ADP ACC;FEM;INAN;N;SG _ _
иллюстратор : bird born	иллюстратор : bird born	ANIM;MASC;N;NOM;SG _ PROPN PROPN
крайнее конечно некрасиво , но отношение в итоге к ер покажет .	крайний конечно некрасивый , но отношение в итог к ер показать .	ADJ;NEUT;NOM;SG ADV ADJ;NEUT;SG _ CONJ INAN;N;NEUT;NOM;SG ADP ESS;INAN;MASC;N;SG ADP FEM;GEN;INAN;PROPN;SG 3;ACT;FIN;FUT;IND;PFV;SG;V _
" политик , публицист , депутат законодательного собрания санкт-петербурга ( фракция " яблоко " ) "	" политик , публицист , депутат законодательный собрание санкт-петербурга ( фракция " яблоко " ) "	_ ANIM;MASC;N;NOM;SG _ ANIM;MASC;N;NOM;SG _ ANIM;MASC;N;NOM;SG ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG GEN;INAN;MASC;PROPN;SG _ FEM;INAN;N;NOM;SG _ INAN;NEUT;NOM;PROPN;SG _ _ _
соль и масло против остехондроза ⚡	соль и масло против остеохондроз ⚡	FEM;INAN;N;NOM;SG CONJ INAN;N;NEUT;NOM;SG ADP GEN;INAN;MASC;N;SG _
а как местечковые власти восхваляют царских офицеров !	а как местечковый власть восхвалять царский офицер !	CONJ CONJ ADJ;NOM;PL FEM;INAN;N;NOM;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;ADJ;ANIM;PL ACC;ANIM;MASC;N;PL _
а она за кем ?	а она за кто ?	CONJ 3;FEM;NOM;PRO;SG ADP ANIM;INS;MASC;PRO;SG _
и это потому что мы работаем и развиваемся - и от калош перейдем к самоходным баржам , военным катерам и гражданским пассажирским судам - и предприятия при этой власти строятся - а не закрываются как при янеке - но от то хорош и тарифов не поднимал - и удрал и крым из за его бегства мы потеряли и на донбассе ато равное войне - можно шельмовать этих - но как сказал яценюк - что его правительство - камикадзе - , и он знал - что горлопаны не простят - и не соврал !	и это потому что мы работать и развиваваться - и от калоша перейти к самоходный баржа , военный катер и гражданский пассажирский суд - и предприятие при этот власть строить - а не закрываться как при янек - но он то хороший и тариф не поднимать - и удрать и крым из за его бегство мы потерять и на донбасс ато равный война - можно шельмовать этот - но как сказать яценюк - что его правительство - камикадзе - , и он знать - что горлопан не простить - и не соврать !	CONJ INAN;NEUT;NOM;PRO;SG ADV CONJ 1;NOM;PL;PRO 1;ACT;FIN;IND;IPFV;PL;PRS;V CONJ 1;FIN;IND;IPFV;MID;PL;PRS;V _ CONJ ADP FEM;GEN;INAN;N;PL 1;ACT;FIN;FUT;IND;PFV;PL;V ADP ADJ;DAT;PL ANIM;DAT;FEM;N;PL _ ADJ;DAT;PL ANIM;DAT;MASC;N;PL CONJ ADJ;DAT;PL ADJ;DAT;PL DAT;INAN;MASC;N;PL _ CONJ INAN;N;NEUT;NOM;SG ADP DET;ESS;FEM;SG ESS;FEM;INAN;N;SG 3;FIN;IND;IPFV;PASS;PL;PRS;V _ CONJ NEG;PART 3;FIN;IND;IPFV;MID;PL;PRS;V CONJ ADP ANIM;ESS;MASC;PROPN;SG _ CONJ NOM;PRO PART ADJ;MASC;SG CONJ GEN;INAN;MASC;N;PL NEG;PART ACT;FIN;IND;IPFV;MASC;PST;SG;V _ CONJ ACT;FIN;IND;IPFV;MASC;PST;SG;V CONJ ACC;INAN;MASC;PROPN;SG ADP ADP DET GEN;INAN;N;NEUT;SG 1;NOM;PL;PRO ACT;FIN;IND;PFV;PL;PST;V CONJ ADP ESS;INAN;MASC;PROPN;SG INAN;NEUT;NOM;PROPN;SG ACC;ADJ;NEUT;SG DAT;FEM;INAN;N;SG _ V ACT;IPFV;NFIN;V ACC;DET;PL _ CONJ CONJ ACT;FIN;IND;MASC;PFV;PST;SG;V ANIM;MASC;NOM;PROPN;SG _ CONJ DET INAN;N;NEUT;NOM;SG _ ANIM;MASC;N;NOM;PL _ _ CONJ 3;MASC;NOM;PRO;SG ACT;FIN;IND;IPFV;MASC;PST;SG;V _ CONJ INAN;MASC;N;NOM;PL NEG;PART 3;ACT;FIN;FUT;IND;PFV;PL;V _ CONJ NEG;PART ACT;FIN;IND;MASC;PFV;PST;SG;V _
— да ну !	— да ну !	_ CONJ PART _
чем помешали бэби-боксы госпоже мизулинойэто настоящий жириновский в юбке , что хотел запретить заниматься сексом , чтоб беречь силы .	что помешать бэби-бокс госпожа мизулина+это настоящий жириновский в юбка , что хотеть запретить заниматься секс , чтоб беречь сила .	INAN;INS;NEUT;PRO;SG ACT;FIN;IND;PFV;PL;PST;V ANIM;MASC;N;NOM;PL ANIM;DAT;FEM;N;SG INAN;NEUT;NOM;PRO;SG ADJ;MASC;NOM;SG ANIM;MASC;NOM;PROPN;SG ADP ESS;FEM;INAN;N;SG _ INAN;NEUT;NOM;PRO;SG ACT;FIN;IND;IPFV;MASC;PST;SG;V ACT;NFIN;PFV;V IPFV;MID;NFIN;V INAN;INS;MASC;N;SG _ COND;CONJ ACT;IPFV;NFIN;V ACC;FEM;INAN;N;PL _
что ж , воздух в городе и в марте несвеж , нечист .	что ж , воздух в город и в март несвежий , нечистый .	INAN;NEUT;NOM;PRO;SG PART _ INAN;MASC;N;NOM;SG ADP ESS;INAN;MASC;N;SG CONJ ADP ESS;INAN;MASC;N;SG ADJ;MASC;SG _ ADJ;MASC;SG _
ну разве , я много прошу	ну разве , я много просить	PART PART _ 1;NOM;PRO;SG ADV 1;ACT;FIN;IND;IPFV;PRS;SG;V
взрослым и детям старше 12 лет – 0,5 мл ( 0,5 мг – 10 капель ) , в тяжелых случаях – 1 мл ( 1 мг – 20 капель )	взрослый и ребенок старший 12 год – 0,5 миллилитр ( 0,5 миллиграмм – 10 капля ) , в тяжелый случай – 1 миллилитр ( 1 миллиграмм – 20 капля )	ANIM;DAT;MASC;N;PL CONJ ANIM;DAT;MASC;N;PL ADJ;CMPR NUM GEN;INAN;MASC;N;PL _ NUM INAN;MASC;N;NOM;SG _ NUM INAN;MASC;N;NOM;SG _ NUM FEM;GEN;INAN;N;PL _ _ ADP ADJ;ESS;PL ESS;INAN;MASC;N;PL _ NUM INAN;MASC;N;NOM;SG _ NUM INAN;MASC;N;NOM;SG _ NUM FEM;GEN;INAN;N;PL _
не , спасибо за заботу , жирик , но такие подарки нам не надь .	не , спасибо за забота , жирик , но такой подарок мы не надь .	NEG;PART _ INAN;N;NEUT;NOM;SG ADP ACC;FEM;INAN;N;SG _ ANIM;MASC;NOM;PROPN;SG _ CONJ ACC;DET;PL ACC;INAN;MASC;N;PL 1;DAT;PL;PRO NEG;PART ADV _
дайте ему больше свободы , и оно перейдет в реальность .	дать он много свобода , и оно перейти в реальность .	2;ACT;FIN;IMP;PFV;PL;V 3;DAT;MASC;PRO;SG CMPR;NUM FEM;GEN;INAN;N;SG _ CONJ 3;NEUT;NOM;PRO;SG 3;ACT;FIN;FUT;IND;PFV;SG;V ADP ACC;FEM;INAN;N;SG _
у него , как и у многих людей в возрасте , всплыли ассоциации с теми коммунистами ...	у он , как и у много человек в возраст , всплывать ассоциация с тот коммунист ...	ADP 3;GEN;MASC;PRO;SG _ CONJ PART ADP GEN;NUM ANIM;GEN;MASC;N;PL ADP ESS;INAN;MASC;N;SG _ ACT;FIN;IND;IPFV;PL;PST;V FEM;INAN;N;NOM;PL ADP DET;INS;PL ANIM;INS;MASC;N;PL _
на 100 грамм : 57 ккал , б - 4 , ж - 1 , у - 7,5	на 100 грамм : 57 ккал , б - 4 , ж - 1 , у - 7,5	ADP NUM GEN;INAN;MASC;N;PL _ NUM FEM;GEN;INAN;N;PL _ _ _ NUM _ PART _ NUM _ ADP _ NUM
зачем нам такой неумеха во власти	зачем мы такой неумеха во власть	ADV 1;DAT;PL;PRO DET;MASC;NOM;SG ANIM;MASC;N;NOM;SG ADP ESS;FEM;INAN;N;SG
тот , кто чудом выжил , всегда в гостях в этом мире — в песках , в снегах , хоть этот мир стоит на его костях , на его руках и ногах !	тот , кто чудом выжить , всегда в гость в этот мир — в песок , в снег , хоть этот мир стоять на он кость , на его рука и нога !	DET;MASC;NOM;SG _ ANIM;MASC;NOM;PRO;SG ADV ACT;FIN;IND;MASC;PFV;PST;SG;V _ ADV ADP ANIM;ESS;MASC;N;PL ADP DET;ESS;MASC;SG ESS;INAN;MASC;N;SG _ ADP ESS;INAN;MASC;N;PL _ ADP ESS;INAN;MASC;N;PL _ CONJ DET;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP 3;GEN;MASC;PRO;SG ESS;FEM;INAN;N;PL _ ADP DET ESS;FEM;INAN;N;PL CONJ ESS;FEM;INAN;N;PL _
мимо проходящим .. , косо смотрящим .	мимо проходить .. , косо смотреть .	ADV ACT;INS;IPFV;NEUT;PRS;SG;V;V.PTCP _ _ ADV ACT;INS;IPFV;MASC;PRS;SG;V;V.PTCP _
вот это я понимаю .	вот это я понимать .	PART ACC;INAN;NEUT;PRO;SG 1;NOM;PRO;SG 1;ACT;FIN;IND;IPFV;PRS;SG;V _
им отказали .	они отказать .	3;DAT;PL;PRO ACT;FIN;IND;PFV;PL;PST;V _
депутаты мс мо чкаловское со дня своего основания ни разу не дали моим детям билета на ёлку или на другие праздники .	депутат мс мо чкаловское со день свой основание ни раз не дать мой ребенок билет на елка или на другой праздник .	ANIM;MASC;N;NOM;PL GEN;INAN;N;NEUT;SG GEN;INAN;N;NEUT;SG INAN;NEUT;NOM;PROPN;SG ADP GEN;INAN;MASC;N;SG DET;GEN;NEUT;SG GEN;INAN;N;NEUT;SG NEG;PART INAN;MASC;N;PRT;SG NEG;PART ACT;FIN;IND;PFV;PL;PST;V DAT;DET;PL ANIM;DAT;MASC;N;PL GEN;INAN;MASC;N;SG ADP ACC;FEM;INAN;N;SG CONJ ADP ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL _
интересно жирика азики позвали или сам к ним пришёл , удивительно , что турки на него не обижаются ...	интересный жирик азик позвать или сам к они прийти , удивительный , что турок на он не обижаться ...	ADJ;NEUT;SG ACC;ANIM;MASC;PROPN;SG ANIM;MASC;N;NOM;PL ACT;FIN;IND;PFV;PL;PST;V CONJ ADJ;MASC;NOM;SG ADP 3;DAT;PL;PRO ACT;FIN;IND;MASC;PFV;PST;SG;V _ ADJ;NEUT;SG _ CONJ INAN;MASC;N;NOM;PL ADP 3;ACC;MASC;PRO;SG NEG;PART 3;FIN;IND;IPFV;MID;PL;PRS;V _
мороженька от жириновского слова словами " любимой прессе " )))	мороженька от жириновский слово слово " любимый пресса " )))	FEM;INAN;N;NOM;SG ADP ANIM;GEN;MASC;PROPN;SG GEN;INAN;N;NEUT;SG INAN;INS;N;NEUT;PL _ ADJ;DAT;FEM;SG DAT;FEM;INAN;N;SG _ _
... наука должна не получать , а зарабатывать .	... наука должен не получать , а зарабатывать .	_ FEM;INAN;N;NOM;SG ADJ;FEM;SG NEG;PART ACT;IPFV;NFIN;V _ CONJ ACT;IPFV;NFIN;V _
фотографии - http://xxxxxx увеличиваем полезное пространство спальни своими руками	фотография - http://xxxxxx увелиичивать полезный пространство спальня свой рука	FEM;GEN;INAN;N;SG _ _ 1;ACT;FIN;IND;IPFV;PL;PRS;V ACC;ADJ;NEUT;SG ACC;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG DET;INS;PL FEM;INAN;INS;N;PL
– посещаем разные места , чтобы посмотреть , как скачут на дохлых лошадях там ;	– посещать разный место , чтобы посмотреть , как скакать на дохлый лошадь там ;	_ 1;ACT;FIN;IND;IPFV;PL;PRS;V ACC;ADJ;INAN;PL ACC;INAN;N;NEUT;PL _ COND;CONJ ACT;NFIN;PFV;V _ ADV 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP ADJ;ESS;PL ANIM;ESS;MASC;N;PL ADV _
как помочь ребенку заговорить ?	как помочь ребенок заговорить ?	ADV ACT;NFIN;PFV;V ANIM;DAT;MASC;N;SG ACT;NFIN;PFV;V _
а вы а у вас что ?	а вы а у вы что ?	CONJ 2;NOM;PL;PRO CONJ ADP 2;GEN;PL;PRO INAN;NEUT;NOM;PRO;SG _
как приготовить	как приготовить	ADV ACT;NFIN;PFV;V
всё это орлята путина !	весь это орленок путин !	DET;NEUT;NOM;SG INAN;NEUT;NOM;PRO;SG ANIM;MASC;N;NOM;PL ANIM;GEN;MASC;PROPN;SG _
rt @xxxxxx : в жуковском яблочникам жгут машины .	rt @xxxxxx : в жуковский яблочник жечь машина .	N _ _ ADP ESS;INAN;MASC;PROPN;SG ANIM;DAT;MASC;N;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ACC;FEM;INAN;N;PL _
потрясающее настроение .	потрясающий настроение .	ADJ;NEUT;NOM;SG INAN;N;NEUT;NOM;SG _
но это ислам , понятно , что для других религий это несвойственно .	но это ислам , понятный , что для другой религия это несвойственный .	CONJ INAN;NEUT;NOM;PRO;SG INAN;MASC;N;NOM;SG _ ADJ;NEUT;SG _ CONJ ADP ADJ;GEN;PL FEM;GEN;INAN;N;PL INAN;NEUT;NOM;PRO;SG ADJ;NEUT;SG _
ну серёжааа ...	ну сережа ...	PART ANIM;MASC;NOM;PROPN;SG _
подробности и запись : http://xxxxxx .	подробность и запись : http://xxxxxx .	FEM;INAN;N;NOM;PL CONJ FEM;INAN;N;NOM;SG _ _ _
на таймыр например .	на таймыр например .	ADP ACC;INAN;MASC;PROPN;SG ADV _
то чувство когда тебе осталось учится один год , а тебе лдпр подарили 4 дневника и чаек .	тот чувство когда ты остаться учиться один год , а ты лдпр подарить 4 дневник и чаек .	DET;NEUT;NOM;SG INAN;N;NEUT;NOM;SG CONJ 2;DAT;PRO;SG FIN;IND;MID;NEUT;PFV;PST;SG;V 3;FIN;IND;IPFV;MID;PRS;SG;V MASC;NOM;NUM INAN;MASC;N;NOM;SG _ CONJ 2;DAT;PRO;SG FEM;INAN;NOM;PROPN;SG ACT;FIN;IND;PFV;PL;PST;V NUM GEN;INAN;MASC;N;SG CONJ ACC;INAN;MASC;N;SG _
5 . profit !	5 . profit !	NUM _ PART _
уроки весеннего маникюра 2015 😍💕	урок весенний маникюр 2015 😍💕	INAN;MASC;N;NOM;PL ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG NUM _
- 2 стакана муки .	- 2 стакан мука .	_ NUM GEN;INAN;MASC;N;SG FEM;GEN;INAN;N;SG _
снесу погибель дубов и груш и прочей чудной фигни ...	снести погибель дуб и груша и прочий чудной фигня …	1;ACT;FIN;FUT;IND;PFV;SG;V ACC;FEM;INAN;N;SG GEN;INAN;MASC;N;PL CONJ FEM;GEN;INAN;N;PL CONJ ADJ;FEM;GEN;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
- показать как котенок облизывается ( делаем круговые движения язычком по внутренней поверхности губ ) ;	- показать как котенок облизываться ( делать круговой движение язычок по внутренний поверхность губа ) ;	_ ACT;NFIN;PFV;V CONJ ANIM;MASC;N;NOM;SG 3;FIN;IND;IPFV;MID;PRS;SG;V _ 1;ACT;FIN;IND;IPFV;PL;PRS;V ACC;ADJ;INAN;PL ACC;INAN;N;NEUT;PL INAN;INS;MASC;N;SG ADP ADJ;DAT;FEM;SG DAT;FEM;INAN;N;SG FEM;GEN;INAN;N;PL _ _
какая там кпсс ...	какой там кпсс ...	DET;FEM;NOM;SG ADV FEM;INAN;NOM;PROPN;SG _
только мы дружно ставим рекорды и молотим , и сеем , и жнем , и берем на гитарах аккорды , и про путина песни поем .	только мы дружно ставить рекорд и молотить , и сеять , и жать , и брать на гитара аккорд , и про путин песня петь .	PART 1;NOM;PL;PRO ADV 1;ACT;FIN;IND;IPFV;PL;PRS;V ACC;INAN;MASC;N;PL CONJ 1;ACT;FIN;IND;IPFV;PL;PRS;V _ CONJ 1;ACT;FIN;IND;IPFV;PL;PRS;V _ CONJ 1;ACT;FIN;IND;IPFV;PL;PRS;V _ CONJ 1;ACT;FIN;IND;IPFV;PL;PRS;V ADP ESS;FEM;INAN;N;PL ACC;INAN;MASC;N;PL _ CONJ ADP ANIM;GEN;MASC;PROPN;SG ACC;FEM;INAN;N;PL 1;ACT;FIN;IND;IPFV;PL;PRS;V _
их индивидуальности не смешиваются , они усиливаются .	их индивидуальность не смешиваться , они усиливаться .	DET FEM;INAN;N;NOM;PL NEG;PART 3;FIN;IND;IPFV;MID;PL;PRS;V _ 3;NOM;PL;PRO 3;FIN;IND;IPFV;MID;PL;PRS;V _
вредные советы от скрепки )	вредный совет от скрепка )	ADJ;NOM;PL INAN;MASC;N;NOM;PL ADP FEM;GEN;INAN;N;SG _
я с улицы не ушел .	я с улица не уйти .	1;NOM;PRO;SG ADP FEM;GEN;INAN;N;SG NEG;PART ACT;FIN;IND;MASC;PFV;PST;SG;V _
продаю volkswagen touareg i 2004 г. за 570_000 руб. на авто.ру	продать volkswagen+ touareg i 2004 год за 570_000 рубль на авто.ру	1;ACT;FIN;IND;IPFV;PRS;SG;V PROPN PROPN NUM ADJ GEN;INAN;MASC;N;SG ADP NUM N ADP ANIM;ESS;NEUT;PROPN;SG
тебе показать что о тебе думает жириновский и путин	ты показать что о ты думать жириновский и путин	2;DAT;PRO;SG ACT;NFIN;PFV;V ACC;INAN;NEUT;PRO;SG ADP 2;ESS;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ANIM;MASC;NOM;PROPN;SG CONJ ANIM;MASC;NOM;PROPN;SG
а то у нас для жителей дальнего зарубежья другая цена .	а то у мы для житель дальний зарубежье другой цена .	CONJ CONJ ADP 1;GEN;PL;PRO ADP ANIM;GEN;MASC;N;PL ADJ;GEN;NEUT;SG GEN;INAN;N;NEUT;SG ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _
- высунуть широкий язык и придать ему форму " чашечки " ( т. е. слегка приподнять кончик языка )	- высунуть широкий язык и придать он форма " чашечка " ( то быть слегка приподнять кончик язык )	_ ACT;NFIN;PFV;V ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG CONJ ACT;NFIN;PFV;V 3;DAT;MASC;PRO;SG ACC;FEM;INAN;N;SG _ FEM;GEN;INAN;N;SG _ _ PRO V ADV ACT;NFIN;PFV;V ACC;INAN;MASC;N;SG GEN;INAN;MASC;N;SG _
этой стране не хватает жириновского и разрешение на аборты .	этот страна не хватать жириновский и разрешение на аборт .	DAT;DET;FEM;SG DAT;FEM;INAN;N;SG NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V ANIM;GEN;MASC;PROPN;SG CONJ INAN;N;NEUT;NOM;SG ADP ACC;INAN;MASC;N;PL _
там продаются чебуреки и виноград .	там продаваться чебурек и виноград .	ADV 3;FIN;IND;IPFV;MID;PL;PRS;V FEM;INAN;N;NOM;PL CONJ INAN;MASC;N;NOM;SG _
жириновский считает , что слишко часто россияне занимаются сексом видео : кафе бар " вовремя " .	жириновский считать , что слишко часто россиянин заниматься секс видео : кафе бар " вовремя " .	ANIM;MASC;NOM;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _ CONJ ADV ADV ANIM;MASC;N;NOM;PL 3;FIN;IND;IPFV;MID;PL;PRS;V INAN;INS;MASC;N;SG INAN;N;NEUT;NOM;SG _ INAN;N;NEUT;NOM;SG INAN;MASC;N;NOM;SG _ ADV _ _
через 15 — 20 минут кофе процеживают и чистый кофейный настой вливают вместе с коньяком в сахарный сироп , который тщательно размешивают и охлаждают .	через 15 — 20 минута кофе процеживать и чистый кофейный настой вливать вместе с коньяк в сахарный сироп , который тщательно размешивать и охлаждать .	ADP NUM _ NUM FEM;GEN;INAN;N;PL ACC;INAN;MASC;N;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V PART ACC;ADJ;INAN;MASC;SG ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V ADV ADP INAN;INS;MASC;N;SG ADP ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _ ACC;PRO ADV 3;ACT;FIN;IND;IPFV;PL;PRS;V CONJ 3;ACT;FIN;IND;IPFV;PL;PRS;V _
rt @axxxxxx : власть боится парнас .	rt @axxxxxx : власть бояться парнас .	N _ _ FEM;INAN;N;NOM;SG 3;FIN;IND;IPFV;MID;PRS;SG;V ACC;INAN;MASC;PROPN;SG _
а при совдепии сколько было проектов по повороту рек !	а при совдепия сколько быть проект по поворот река !	CONJ ADP ESS;FEM;INAN;PROPN;SG NOM;NUM ACT;FIN;IND;IPFV;NEUT;PST;SG;V GEN;INAN;MASC;N;PL ADP DAT;INAN;MASC;N;SG FEM;GEN;INAN;N;PL _
но не беда !	но не беда !	CONJ NEG;PART FEM;INAN;N;NOM;SG _
3 ) страница подписана настоящими именем и фамилией , а не вымышленными никнеймами .	3 ) страница подписать настоящий имя и фамилия , а не вымышленный никнейм .	NUM _ FEM;INAN;N;NOM;SG FEM;PASS;PFV;PST;SG;V;V.PTCP ADJ;INS;PL INAN;INS;N;NEUT;SG CONJ FEM;INAN;INS;N;SG _ CONJ NEG;PART ADJ;INS;PL FEM;INAN;INS;N;PL _
рекомендованную дозу непосредственно перед применением разводят физраствором до объема 3 – 4 мл .	рекомендованный доза непосредственно перед применение разводить физраствор до объем 3 – 4 миллилитр .	ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG ADV ADP INAN;INS;N;NEUT;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V INAN;INS;MASC;N;SG ADP GEN;INAN;MASC;N;SG NUM _ NUM ACC;INAN;MASC;N;SG _
— а что это ?	— а что это ?	_ CONJ INAN;NEUT;NOM;PRO;SG INAN;NEUT;NOM;PRO;SG _
испечь 2 коржа , остудить и разрезать острым ножом на 2 .	испечь 2 корж , остудить и разрезать острый нож на 2 .	ACT;NFIN;PFV;V NUM GEN;INAN;MASC;N;SG _ ACT;NFIN;PFV;V CONJ ACT;NFIN;PFV;V ADJ;INS;MASC;SG INAN;INS;MASC;N;SG ADP NUM _
... выйти на улицу ... а там ... лето	... выйти на улица ... а там ... лето	_ ACT;NFIN;PFV;V ADP ACC;FEM;INAN;N;SG _ CONJ ADV _ INAN;N;NEUT;NOM;SG
неужели лдпр так испугалась касьянова !	неужели лдпр так испугаться касьянов !	PART FEM;INAN;NOM;PROPN;SG ADV FEM;FIN;IND;MID;PFV;PST;SG;V ACC;ANIM;MASC;PROPN;SG _
вы вообще в курсе какой сегодня день ?	вы вообще в курс какой сегодня день ?	2;NOM;PL;PRO ADV ADP ESS;INAN;MASC;N;SG DET;MASC;NOM;SG ADV INAN;MASC;N;NOM;SG _
разве это есть честная журналистика	разве это быть честный журналистика	PART INAN;NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG
читай здесь как это сделать : http://xxxxxx ( это анонимно )	читать здесь как это сделать : http://xxxxxx ( это анонимный )	2;ACT;FIN;IMP;IPFV;SG;V ADV ADV ACC;INAN;NEUT;PRO;SG ACT;NFIN;PFV;V _ _ _ INAN;NEUT;NOM;PRO;SG ADJ;NEUT;NOM;SG _
