« 11 » , omkadering van de belgische voetbalcompetitie voor belgacom tv ( 2005- ? )	« 11 » , omkadering van de belgisch voetbalcompetitie voor belgacom tv ( 2005- ? )	_ NUM _ _ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG MASC+FEM;N;SG _ _ _ _
leopold i van belgië	leopold i van belgië	PROPN PROPN ADP NEUT;PROPN;SG
de correcte schrijfwijze is spirit » .	de correct schrijfwijze zijn spirit » .	DEF;DET ADJ MASC+FEM;N;SG FIN;PRS;SG;V MASC+FEM;PROPN;SG _ _
sport	sport	MASC+FEM;N;SG
agalev trekt daarom met het thema « propere handen » naar de kiezer , maar die laatste geeft zijn stem liever aan de underdog , de gekwetste sp .	agalev trekken daarom met het thema « proper hand » naar de kiezer , maar die laat geven zijn stem liever aan de underdog , de gekwetst sp .	NEUT;PROPN;SG FIN;PRS;SG;V ADV ADP DEF;DET N;NEUT;SG _ ADJ N;PL _ ADP DEF;DET MASC+FEM;N;SG _ CONJ DET ADJ;RL FIN;PRS;SG;V 3;PRO MASC+FEM;N;SG ADV ADP DEF;DET MASC+FEM;N;SG _ DEF;DET ADJ MASC+FEM;PROPN;SG _
aswoensdag	aswoensdag	MASC+FEM;PROPN;SG
in het zaalvoetbal zijn er twee antwerpse ploegen in de hoogste afdeling : zvc borgerhout en forcom antwerpen .	in het zaalvoetbal zijn er twee antwerps ploeg in de hoog afdeling : zvc borgerhout en forcom antwerpen .	ADP DEF;DET N;NEUT;SG FIN;PL;PRS;V ADV NUM ADJ N;PL ADP DEF;DET ADJ;RL MASC+FEM;N;SG _ PROPN PROPN CONJ PROPN PROPN _
hij is fractievoorzitter van het vlaams belang in de federale kamer .	hij zijn fractievoorzitter van het vlaams belang in de federaal kamer .	3;NOM;PRO FIN;PRS;SG;V MASC+FEM;N;SG ADP DEF;DET PROPN PROPN ADP DEF;DET ADJ MASC+FEM;N;SG _
in de jaren tussen de beide wereldoorlogen werd ook de sociale wetgeving aangepakt en dat resulteerde o.a. in stakingsrecht ( 1921 ) , een achturige werkdag ( 1921 ) en minimumloon ( 1936 ) .	in de jaar tussen de beide wereldoorlog worden ook de sociaal wetgeving aanpakken en dat resulteren o.a. in stakingsrecht ( 1921 ) , een achturig werkdag ( 1921 ) en minimumloon ( 1936 ) .	ADP DEF;DET N;PL ADP DEF;DET DET N;PL FIN;PST;SG;V ADV DEF;DET ADJ MASC+FEM;N;SG V;V.PTCP CONJ 3;PRO FIN;PST;SG;V _ ADP N;NEUT;SG _ NUM _ _ DET;INDF ADJ MASC+FEM;N;SG _ NUM _ CONJ N;NEUT;SG _ NUM _ _
onder steve stevaert populariseerde de sp en betrachtte ze ze een brug te openen naar gelovigen door priester staf nimmegeers op te nemen in de partij .	onder steve stevaert populariseren de sp en betrachten ze ze een brug te openen naar gelovig door priester staf nimmegeers op te nemen in de partij .	ADP PROPN PROPN FIN;PST;SG;V DEF;DET MASC+FEM;PROPN;SG CONJ FIN;PST;SG;V 3;PRO 3;PRO DET;INDF MASC+FEM;N;SG ADP NFIN;V ADP ADJ ADP MASC+FEM;N;SG PROPN PROPN ADP ADP NFIN;V ADP DEF;DET MASC+FEM;N;SG _
groene vingers	groen vinger	ADJ N;PL
gewesten en gemeenschappen kunnen decreten of ( in het brussels hoofdstedelijk gewest ) ordonnanties uitvaardigen die kracht van wet hebben in het eigen gewest of de eigen gemeenschap .	gewest en gemeenschap kunnen decreet of ( in het brussels hoofdstedelijk gewest ) ordonnantie uitvaardigen die kracht van wet hebben in het eigen gewest of de eigen gemeenschap .	N;PL CONJ N;PL FIN;PL;PRS;V N;PL CONJ _ ADP DEF;DET ADJ ADJ N;NEUT;SG _ N;PL NFIN;V PRO MASC+FEM;N;SG ADP MASC+FEM;N;SG FIN;PL;PRS;V ADP DEF;DET ADJ N;NEUT;SG CONJ DEF;DET ADJ MASC+FEM;N;SG _
chiro	chiro	MASC+FEM;N;SG
baron leo delwaide ( vld )	baron leo delwaide ( vld )	MASC+FEM;N;SG PROPN PROPN _ MASC+FEM;PROPN;SG _
sanoma uitgevers	sanoma uitgever	NEUT;PROPN;SG N;PL
een compleet verhaal dat over meerdere pagina's wordt afgebeeld	een compleet verhaal dat over meerdere pagina worden afbeelden	DET;INDF ADJ N;NEUT;SG 3;PRO ADP DET N;PL FIN;PRS;SG;V V;V.PTCP
just the two of us	just the two of us	PROPN PROPN PROPN PROPN PROPN
door de slechte economische toestand en de franse julirevolutie kwam het op 25 augustus 1830 tot relletjes in brussel .	door de slecht economisch toestand en de frans julirevolutie komen het op 25 augustus 1830 tot rel in brussel .	ADP DEF;DET ADJ ADJ MASC+FEM;N;SG CONJ DEF;DET ADJ MASC+FEM;PROPN;SG FIN;PST;SG;V 3;PRO ADP NUM MASC+FEM;PROPN;SG NUM ADP N;PL ADP NEUT;PROPN;SG _
het omvatte de huidige provincies noord-brabant , antwerpen , vlaams-brabant , waals-brabant en het hoofdstedelijk gewest brussel .	het omvatten de huidig provincie noord-brabant , antwerpen , vlaams-brabant , waals-brabant en het hoofdstedelijk gewest brussel .	3;PRO FIN;PST;SG;V DEF;DET ADJ N;PL NEUT;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG _ NEUT;PROPN;SG CONJ DEF;DET ADJ N;NEUT;SG NEUT;PROPN;SG _
lambik : ronald van rillaer	lambik : ronald van rillaer	MASC+FEM;PROPN;SG _ PROPN PROPN PROPN
dirk frimout	dirk frimout	PROPN PROPN
« euro 2000 » ( 2000 )	« euro 2000 » ( 2000 )	_ PROPN PROPN _ _ NUM _
het college wordt gevormd door de partijen sp.a , vld , groen ! en cd&v en bestaat uit de volgende schepenen :	het college worden vormen door de partij sp.a , vld , groen ! en cd&v en bestaan uit de volgen schepen :	DEF;DET N;NEUT;SG FIN;PRS;SG;V V;V.PTCP ADP DEF;DET N;PL MASC+FEM;PROPN;SG _ MASC+FEM;PROPN;SG _ PROPN PROPN CONJ MASC+FEM;PROPN;SG CONJ FIN;PRS;SG;V ADP DEF;DET V;V.PTCP N;PL _
2004 - sylvain chavanel	2004 - sylvain chavanel	NUM _ PROPN PROPN
chinees ( versie vasteland ) : bo bu & bo be te	chinees ( versie vasteland ) : bo bu & bo be te	MASC+FEM;PROPN;SG _ MASC+FEM;N;SG N;NEUT;SG _ _ PROPN PROPN PROPN PROPN PROPN ADP
vanaf 1948 speelde van der elst een aanzienlijke rol in de herleving van de vlaamse beweging en het vlaams-nationalisme , waarvan hij als publicist , redenaar en als partijvoorzitter van de volksunie de inhoud mede bepaalde .	vanaf 1948 spelen van der elst een aanzienlijk rol in de herleving van de vlaams beweging en het vlaams-nationalisme , waarvan hij als publicist , redenaar en als partijvoorzitter van de volksunie de inhoud mede bepalen .	ADP NUM FIN;PST;SG;V PROPN PROPN PROPN DET;INDF ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG CONJ DEF;DET N;NEUT;SG _ ADV 3;NOM;PRO ADP MASC+FEM;N;SG _ MASC+FEM;N;SG CONJ ADP MASC+FEM;N;SG ADP DEF;DET MASC+FEM;PROPN;SG DEF;DET MASC+FEM;N;SG ADV FIN;PST;SG;V _
vlaams belang ( vb ) : 6 zetels	vlaams belang ( vb ) : 6 zetel	PROPN PROPN _ NEUT;PROPN;SG _ _ NUM N;PL
naast die velden heb je dan hier en daar een bos die vooral in de kempen ( ten oosten van antwerpen en limburg ) , talrijker aanwezig zijn .	naast die veld hebben je dan hier en daar een bos die vooral in de kempen ( te oosten van antwerpen en limburg ) , talrijk aanwezig zijn .	ADP DET N;PL FIN;PRS;SG;V 2;NOM;PRO ADV ADV CONJ ADV DET;INDF N;NEUT;SG PRO ADV ADP DEF;DET PL;PROPN _ ADP N;NEUT;SG ADP NEUT;PROPN;SG CONJ NEUT;PROPN;SG _ _ ADJ;CMPR ADJ FIN;PL;PRS;V _
genootschap van vlaamse misdaadauteurs	genootschap van vlaams misdaadauteur	N;NEUT;SG ADP ADJ N;PL
externe link	extern link	ADJ MASC+FEM;N;SG
in de finale treft ze haar landgenote clijsters .	in de finale treffen ze haar landgenote clijsters .	ADP DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V 3;PRO 3;PRO MASC+FEM;N;SG MASC+FEM;PROPN;SG _
« de blauwe lotus » is een keerpunt in de ontwikkeling van kuifje .	« de blauwe lotus » zijn een keerpunt in de ontwikkeling van kuifje .	_ PROPN PROPN PROPN _ FIN;PRS;SG;V DET;INDF N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG _
tot de 14e eeuw werd bier enkel gebrouwen met spontane gisting , na de 14e eeuw wordt oud bier en later gist toegevoegd tijdens het brouwen .	tot de 14 eeuw worden bier enkel brouwen met spontaan gisting , na de 14 eeuw worden oud bier en laat gist toevoegen tijdens het brouwen .	ADP DEF;DET ADJ MASC+FEM;N;SG FIN;PST;SG;V N;NEUT;SG ADV V;V.PTCP ADP ADJ MASC+FEM;N;SG _ ADP DEF;DET ADJ MASC+FEM;N;SG FIN;PRS;SG;V ADJ N;NEUT;SG CONJ ADJ;CMPR MASC+FEM;N;SG V;V.PTCP ADP DEF;DET NFIN;V _
op 24 februari werd surlet de chokier , de voorzitter van het nationaal congres , tot regent aangesteld .	op 24 februari worden surlet de chokier , de voorzitter van het nationaal congres , tot regent aanstellen .	ADP NUM MASC+FEM;PROPN;SG FIN;PST;SG;V PROPN PROPN PROPN _ DEF;DET MASC+FEM;N;SG ADP DEF;DET PROPN PROPN _ ADP MASC+FEM;N;SG V;V.PTCP _
door de controverse met betrekking tot taalgebonden onderwerpen ontstaan ook vaak tegenstellingen tussen de twee partijen op andere terreinen .	door de controverse met betrekking tot taalgebonden onderwerp ontstaan ook vaak tegenstelling tussen de twee partij op ander terrein .	ADP DEF;DET MASC+FEM;N;SG ADP MASC+FEM;N;SG ADP ADJ N;PL FIN;PL;PRS;V ADV ADJ N;PL ADP DEF;DET NUM N;PL ADP ADJ N;PL _
m'banza-kongo ; een stad in noordwest angola	m'banza-kongo ; een stad in noordwest angola	NEUT;PROPN;SG _ DET;INDF MASC+FEM;N;SG ADP ADJ NEUT;PROPN;SG
in het uiterste oosten , tegen de duitse grens , bevinden zich de duitstalige oostkantons , die samen de duitstalige gemeenschap vormen .	in het uiterst oosten , tegen de duits grens , bevinden zich de duitstalig oostkantons , die samen de duitstalige gemeenschap vormen .	ADP DEF;DET ADJ N;NEUT;SG _ ADP DEF;DET ADJ MASC+FEM;N;SG _ FIN;PL;PRS;V 3;ACC;PRO;REFL DEF;DET ADJ PL;PROPN _ PRO ADV DEF;DET PROPN PROPN FIN;PL;PRS;V _
intussen was zijn zoon uit het gevangenkamp teruggekeerd en vindt permeke zijn werkkracht terug in vernieuwde levensvreugde .	intussen zijn zijn zoon uit het gevangenkamp terugkeren en vinden permeke zijn werkkracht terug in vernieuwen levensvreugde .	ADV FIN;PST;SG;V 3;PRO MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG V;V.PTCP CONJ FIN;PRS;SG;V MASC+FEM;PROPN;SG 3;PRO MASC+FEM;N;SG ADV ADP V;V.PTCP MASC+FEM;N;SG _
gazet van antwerpen verscheen voor het eerst op 3 november 1891 en was een initiatief van jan baptist napolitaan van os , meteen ook de eerste hoofdredacteur .	gazet van antwerpen verschijnen voor het één op 3 november 1891 en zijn een initiatief van jan baptist napolitaan van os , meteen ook de één hoofdredacteur .	PROPN PROPN PROPN FIN;PST;SG;V ADP DEF;DET ADJ ADP NUM MASC+FEM;PROPN;SG NUM CONJ FIN;PST;SG;V DET;INDF N;NEUT;SG ADP PROPN PROPN PROPN PROPN PROPN _ ADV ADV DEF;DET ADJ MASC+FEM;N;SG _
de verhalen werden door casterman in het frans vertaald .	de verhaal worden door casterman in het frans vertalen .	DEF;DET N;PL FIN;PL;PST;V ADP MASC+FEM;PROPN;SG ADP DEF;DET NEUT;PROPN;SG V;V.PTCP _
in het museum wordt het volledige klokkengietproces voorgesteld aan de hand van een diamontage , een modellenreeks en een video .	in het museum worden het volledig klokkengietproces voorstellen aan de hand van een diamontage , een modellenreeks en een video .	ADP DEF;DET N;NEUT;SG FIN;PRS;SG;V DEF;DET ADJ N;NEUT;SG V;V.PTCP ADP DEF;DET MASC+FEM;N;SG ADP DET;INDF MASC+FEM;N;SG _ DET;INDF MASC+FEM;N;SG CONJ DET;INDF MASC+FEM;N;SG _
hij haalde vier internationale cross-country titels ( 1962 , 1967 , 1969 en 1972 ) .	hij halen vier internationaal cross-country titel ( 1962 , 1967 , 1969 en 1972 ) .	3;NOM;PRO FIN;PST;SG;V NUM ADJ _ N;PL _ NUM _ NUM _ NUM CONJ NUM _ _
het is een ` robe à la française ' uit het midden van de achttiende eeuw , de periode waarin de fantasievolle rococostijl hoogtij vierde .	het zijn een ` robe à la française ' uit het midden van de achttien eeuw , de periode waarin de fantasievol rococostijl hoogtij vieren .	3;PRO FIN;PRS;SG;V DET;INDF _ _ _ _ _ _ ADP DEF;DET N;NEUT;SG ADP DEF;DET ADJ MASC+FEM;N;SG _ DEF;DET MASC+FEM;N;SG ADV DEF;DET ADJ MASC+FEM;N;SG N;NEUT;SG FIN;PST;SG;V _
de provincie grenst in het noorden aan de belgisch en nederlandse provincies limburg provincies , grenst in het oosten aan de duitse deelstaten noord-rijnland-westfalen en rijnland-palts , grenst in het zuiden aan het groothertogdom luxemburg en de belgische provincie luxemburg , en grenst in het westen aan de eveneens belgische provincies namen , waals-brabant en vlaams-brabant .	de provincie grenzen in het noorden aan de belgisch en nederlands provincie limburg provincie , grenzen in het oosten aan de duits deelstaat noord-rijnland-westfalen en rijnland-palts , grenzen in het zuiden aan het groothertogdom luxemburg en de belgisch provincie luxemburg , en grenzen in het westen aan de eveneens belgisch provincie namen , waals-brabant en vlaams-brabant .	DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V ADP DEF;DET N;NEUT;SG ADP DEF;DET ADJ CONJ ADJ N;PL NEUT;PROPN;SG N;PL _ FIN;PRS;SG;V ADP DEF;DET N;NEUT;SG ADP DEF;DET ADJ N;PL NEUT;PROPN;SG CONJ NEUT;PROPN;SG _ FIN;PRS;SG;V ADP DEF;DET N;NEUT;SG ADP DEF;DET PROPN PROPN CONJ DEF;DET ADJ MASC+FEM;N;SG NEUT;PROPN;SG _ CONJ FIN;PRS;SG;V ADP DEF;DET N;NEUT;SG ADP DEF;DET ADV ADJ N;PL NEUT;PROPN;SG _ NEUT;PROPN;SG CONJ NEUT;PROPN;SG _
de provincie is verder vooral bekend om de natuurschoon en de toeristische aantrekkingskracht van de ardennen .	de provincie zijn ver vooral bekend om de natuurschoon en de toeristisch aantrekkingskracht van de ardennen .	DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V ADJ;CMPR ADV ADJ ADP DEF;DET N;NEUT;SG CONJ DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET PL;PROPN _
parking veemarkt	parking veemarkt	MASC+FEM;N;SG MASC+FEM;PROPN;SG
federale regering	federaal regering	ADJ MASC+FEM;N;SG
kuifje	kuifje	MASC+FEM;PROPN;SG
drs. s.h. ( sophie ) in 't veld	drs. s.h. ( sophie ) in 't veld	PROPN PROPN _ PROPN _ PROPN PROPN PROPN
zie ook :	zien ook :	FIN;PRS;SG;V ADV _
jos huypens ( 1991 - 1996 )	jos huypens ( 1991 - 1996 )	PROPN PROPN _ NUM _ NUM _
belgië -	belgië -	NEUT;PROPN;SG _
in de vlaamse versie eindigde hij op nr. 24 , in versie de waalse op nr. 8 eindigde .	in de vlaams versie eindigen hij op nummer 24 , in versie de waals op nummer 8 eindigen .	ADP DEF;DET ADJ MASC+FEM;N;SG FIN;PST;SG;V 3;NOM;PRO ADP N;NEUT;SG NUM _ ADP MASC+FEM;N;SG DEF;DET ADJ ADP N;NEUT;SG NUM FIN;PST;SG;V _
ook kaas werd verfilmd , in 1999 , door orlow seunke .	ook kaas worden verfilmen , in 1999 , door orlow seunke .	ADV MASC+FEM;N;SG FIN;PST;SG;V V;V.PTCP _ ADP NUM _ ADP PROPN PROPN _
bovendien ontstond er een onderscheid tussen krijgers en de gewone bevolking , waarschijnlijk onder invloed van binnenvallende kelten .	bovendien ontstaan er een onderscheid tussen krijger en de gewoon bevolking , waarschijnlijk onder invloed van binnenvallen kelt .	ADV FIN;PST;SG;V ADV DET;INDF N;NEUT;SG ADP N;PL CONJ DEF;DET ADJ MASC+FEM;N;SG _ ADJ ADP MASC+FEM;N;SG ADP V;V.PTCP PL;PROPN _
bieren die als lokaal oudenaards worden beschouwd zijn ename , felix , liefmans en roman .	bier die als lokaal oudenaards worden beschouwen zijn ename , felix , liefmans en roman .	N;PL PRO ADP ADJ ADJ FIN;PL;PRS;V V;V.PTCP FIN;PL;PRS;V NEUT;PROPN;SG _ MASC+FEM;PROPN;SG _ MASC+FEM;PROPN;SG CONJ MASC+FEM;PROPN;SG _
met haar winst in new york was clijsters in één klap 2,2 miljoen dollar rijker .	met haar winst in new york zijn clijsters in één klap 2,2 miljoen dollar rijk .	ADP 3;PRO MASC+FEM;N;SG ADP PROPN PROPN FIN;PST;SG;V MASC+FEM;PROPN;SG ADP NUM MASC+FEM;N;SG NUM N;NEUT;SG MASC+FEM;N;SG ADJ;CMPR _
museobanus.be - fan-site over urbanus	museobanus.be - fan-site over urbanus	_ _ MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG
na de onafhankelijkheid kende het een sterke inwijking van fransen ( gevluchte revolutionairen en anderen ) , en van waalse ambtenaren die het jonge belgische bewind aantrok uit de waalse provincies om er haar nationale administratie mee te bemannen .	na de onafhankelijkheid kennen het een sterk inwijking van franse ( vluchten revolutionair en ander ) , en van waals ambtenaar die het jong belgisch bewind aantrekken uit de waals provincie om er haar nationaal administratie mee te bemannen .	ADP DEF;DET MASC+FEM;N;SG FIN;PST;SG;V 3;PRO DET;INDF ADJ MASC+FEM;N;SG ADP PL;PROPN _ V;V.PTCP N;PL CONJ ADJ _ _ CONJ ADP ADJ N;PL PRO DEF;DET ADJ ADJ N;NEUT;SG FIN;PST;SG;V ADP DEF;DET ADJ N;PL ADP ADV 3;PRO ADJ MASC+FEM;N;SG ADP ADP NFIN;V _
voorts borrelen voortdurend ook nieuwe - meer theoretische - ideeën op uit de groene bron : ecotaksen , een basisinkomen voor allen , referenda rond democratisering van de europese instellingen en allochtonenstemrecht .	voorts borrelen voortdurend ook nieuw - veel theoretisch - idee op uit de groen bron : ecotaks , een basisinkomen voor al , referendum rond democratisering van de europees instelling en allochtonenstemrecht .	ADV FIN;PL;PRS;V ADJ ADV ADJ _ PRO ADJ _ N;PL ADP ADP DEF;DET ADJ MASC+FEM;N;SG _ N;PL _ DET;INDF N;NEUT;SG ADP PRO _ N;PL ADP MASC+FEM;N;SG ADP DEF;DET ADJ N;PL CONJ N;NEUT;SG _
reportage over kuifjes vijfenzeventigste verjaardag bij actualiteitenrubriek netwerk	reportage over kuifje vijfenzeventig verjaardag bij actualiteitenrubriek netwerk	MASC+FEM;N;SG ADP PROPN;SG ADJ MASC+FEM;N;SG ADP MASC+FEM;N;SG NEUT;PROPN;SG
deze bieren van koude gisting zijn zeer economisch te produceren en namen gedurende de tweede helft van de 20e eeuw de belangrijkste plaats in de bierverkoop in .	deze bier van koud gisting zijn zeer economisch te produceren en nemen gedurende de twee helft van de 20 eeuw de belangrijk plaats in de bierverkoop in .	DET N;PL ADP ADJ MASC+FEM;N;SG FIN;PL;PRS;V ADV ADJ ADP NFIN;V CONJ FIN;PL;PST;V ADP DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG DEF;DET ADJ;RL MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP _
hou van ons	houden van ons	FIN;PRS;SG;V ADP 1;ACC;PRO
vvkm/s kriko ( sint-niklaas )	vvkm/s kriko ( sint-niklaas )	PROPN PROPN _ NEUT;PROPN;SG _
1886 was een keerpunt in de artistieke evolutie van ensors " licht " .	1886 zijn een keerpunt in de artistiek evolutie van ensor " licht " .	NUM FIN;PST;SG;V DET;INDF N;NEUT;SG ADP DEF;DET ADJ MASC+FEM;N;SG ADP PROPN;SG _ N;NEUT;SG _ _
burgemeester waren :	burgemeester zijn :	MASC+FEM;N;SG FIN;PL;PST;V _
in de buurt zijn veel tweede-huisjes ( « chalets » ) van zowel belgen als nederlanders .	in de buurt zijn veel tweede-huis ( « chalet » ) van zowel belg als nederlander .	ADP DEF;DET MASC+FEM;N;SG FIN;PL;PRS;V DET N;PL _ _ N;PL _ _ ADP ADV PL;PROPN CONJ PL;PROPN _
de voornaamste zijrivier van de mezen is de vasjka .	de voornaam zijrivier van de mezen zijn de vasjka .	DEF;DET ADJ;RL MASC+FEM;N;SG ADP DEF;DET MASC+FEM;PROPN;SG FIN;PRS;SG;V DEF;DET MASC+FEM;PROPN;SG _
externe links	extern link	ADJ N;PL
brabo	brabo	MASC+FEM;PROPN;SG
in december 1999 kondigde de regering verhofstadt aan om opnieuw een actief buitenlands beleid te voeren , met name in centraal-afrika waar o.a. de oude kolonie van belgië , congo , ligt .	in december 1999 kondigen de regering verhofstadt aan om opnieuw een actief buitenlands beleid te voeren , met naam in centraal-afrika waar o.a. de oud kolonie van belgië , congo , liggen .	ADP MASC+FEM;PROPN;SG NUM FIN;PST;SG;V DEF;DET MASC+FEM;N;SG MASC+FEM;PROPN;SG ADP ADP ADV DET;INDF ADJ ADJ N;NEUT;SG ADP NFIN;V _ ADP N;SG ADP NEUT;PROPN;SG ADV _ DEF;DET ADJ MASC+FEM;N;SG ADP NEUT;PROPN;SG _ NEUT;PROPN;SG _ FIN;PRS;SG;V _
belgië werd in oude tijden bevolkt door verschillende keltische stammen , waarvan de menapii de belangrijkste zijn .	belgië worden in oud tijd bevolken door verschillend keltisch stam , waarvan de menapi de belangrijk zijn .	NEUT;PROPN;SG FIN;PST;SG;V ADP ADJ N;PL V;V.PTCP ADP ADJ ADJ N;PL _ ADV DEF;DET N;PL DEF;DET ADJ;RL FIN;PL;PRS;V _
vlaamse tweekleurenreeks ( 1959-1964 )	vlaams tweekleurenreeks ( 1959-1964 )	ADJ MASC+FEM;N;SG _ _ _
head to head	head to head	_ _ _
1908 - lucien petit-breton	1908 - lucien petit-breton	NUM _ PROPN PROPN
de wijk wordt beheerst door het imposante justitiepaleis	de wijk worden beheersen door het imposant justitiepaleis	DEF;DET MASC+FEM;N;SG FIN;PRS;SG;V V;V.PTCP ADP DEF;DET ADJ NEUT;PROPN;SG
in diezelfde editie gebruikte george hincapie een trek-prototype frame met een 2 mm dikke vering aan de zitting , die - volgens de producenten - haast alle schokken zou opvangen .	in diezelfde editie gebruiken george hincapie een trek-prototype frame met een 2 mm dik vering aan de zitting , die - volgens de producent - haast al schok zullen opvangen .	ADP ADJ MASC+FEM;N;SG FIN;PST;SG;V PROPN PROPN DET;INDF N;NEUT;SG N;NEUT;SG ADP DET;INDF NUM _ ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG _ PRO _ ADP DEF;DET N;PL _ ADV PRO N;PL FIN;PST;SG;V NFIN;V _
oudenaarde wordt ook wel de parel van de vlaamse ardennen genoemd .	oudenaarde worden ook wel de parel van de vlaams ardennen noemen .	NEUT;PROPN;SG FIN;PRS;SG;V ADV ADV DEF;DET MASC+FEM;N;SG ADP DEF;DET ADJ PL;PROPN V;V.PTCP _
sommige kasseienstroken zijn alleen toegankelijk voor publiek op de wedstrijddag .	sommig kasseienstrook zijn alleen toegankelijk voor publiek op de wedstrijddag .	DET N;PL FIN;PL;PRS;V ADV ADJ ADP N;NEUT;SG ADP DEF;DET MASC+FEM;N;SG _
sos piet	sos piet	PROPN PROPN
in de omgeving van de partij werd een links-liberaal tijdschrift in het leven geroepen : link .	in de omgeving van de partij worden een links-liberaal tijdschrift in het leven roepen : link .	ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG FIN;PST;SG;V DET;INDF ADJ N;NEUT;SG ADP DEF;DET N;NEUT;SG V;V.PTCP _ MASC+FEM;PROPN;SG _
bovendien is ze de eerste speelster uit de geschiedenis van het vrouwentennis die met zo'n lage ranking een tier i-toernooi kan winnen .	bovendien zijn ze de één speelster uit de geschiedenis van het vrouwentennis die met zo'n laag ranking een tier i-toernooi kunnen winnen .	ADV FIN;PRS;SG;V 3;PRO DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET MASC+FEM;N;SG ADP DEF;DET N;NEUT;SG PRO ADP DET ADJ MASC+FEM;N;SG DET;INDF PROPN N;NEUT;SG FIN;PRS;SG;V NFIN;V _
koninklijke manufactuur van wandtapijten de wit : een internationaal vermaarde instelling die oude wandtapijten restaureert .	koninklijk manufactuur van wandtapijt de wit : een internationaal vermaard instelling die oud wandtapijt restaureren .	ADJ MASC+FEM;N;SG ADP N;PL PROPN PROPN _ DET;INDF ADJ ADJ MASC+FEM;N;SG PRO ADJ N;PL FIN;PRS;SG;V _
in 1892 schreef demolder : " ...	in 1892 schrijven demolder : " ...	ADP NUM FIN;PST;SG;V MASC+FEM;PROPN;SG _ _ _
website van heemkring hemiksem	website van heemkring hemiksem	MASC+FEM;N;SG ADP MASC+FEM;N;SG NEUT;PROPN;SG
de gemeenschapsraden bestaan daarbij uit de verkozenen van de eigen gemeenschap in de brusselse hoofdstedelijke raad ( bhr ) .	de gemeenschapsraad bestaan daarbij uit de verkiezen van de eigen gemeenschap in de brussels hoofdstedelijk raad ( bhr ) .	DEF;DET N;PL FIN;PL;PRS;V ADV ADP DEF;DET V;V.PTCP ADP DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET ADJ ADJ MASC+FEM;N;SG _ MASC+FEM;PROPN;SG _ _
dit verwijst naar de geboorte van christus .	dit verwijzen naar de geboorte van christus .	3;PRO FIN;PRS;SG;V ADP DEF;DET MASC+FEM;N;SG ADP MASC+FEM;PROPN;SG _
onder leiding van geert bourgeois ging de partij in 2003 voor de eerste maal naar de verkiezingen , maar ze slaagden er enkel in west-vlaanderen in om de gloednieuwe kiesdrempel van 5% te halen .	onder leiding van geert bourgeois gaan de partij in 2003 voor de één maal naar de verkiezing , maar ze slagen er enkel in west-vlaanderen in om de gloednieuw kiesdrempel van 5% te halen .	ADP MASC+FEM;N;SG ADP PROPN PROPN FIN;PST;SG;V DEF;DET MASC+FEM;N;SG ADP NUM ADP DEF;DET ADJ MASC+FEM;N;SG ADP DEF;DET N;PL _ CONJ 3;PRO FIN;PL;PST;V ADV ADV ADP NEUT;PROPN;SG ADP ADP DEF;DET ADJ MASC+FEM;N;SG ADP _ ADP NFIN;V _
« hij dacht : ik sla haar dood en steek het huis in brand .	« hij denken : ik slaan haar dood en steken het huis in brand .	_ 3;NOM;PRO FIN;PST;SG;V _ 1;NOM;PRO FIN;PRS;SG;V 3;ACC;PRO MASC+FEM;N;SG CONJ FIN;PRS;SG;V DEF;DET N;NEUT;SG ADP MASC+FEM;N;SG _
de federale politie heeft geen hiërarchische maar een functionele band met de lokale politie band .	de federaal politie hebben geen hiërarchisch maar een functioneel band met de lokaal politie band .	DEF;DET ADJ MASC+FEM;N;SG FIN;PRS;SG;V DET ADJ CONJ DET;INDF ADJ MASC+FEM;N;SG ADP DEF;DET ADJ MASC+FEM;N;SG MASC+FEM;N;SG _
