oighe chuimealta a bhíos aige leis an obair is fíneálta a dhéanamh .	oighe chuimealta a bí ag le an obair is fíneálta a déanamh .	MASC;PROPN;SG ADJ;V.PTCP PART IMP;PST;V 3;ADP;MASC;SG ADP DEF;DET;SG DEF;FEM;N;SG PART ADJ;{CMPR/RL} PART N;NFIN _
laistigh de thréimhse cúig bliana tar éis do chonradh amstardam teacht i bhfeidhm , glacfaidh an chomhairle na bearta seo a leanas , ag gníomhú di i gcomhréir leis an nós imeachta dá dtagraítear in airteagal 67 : (1) bearta d' fhonn a áirithiú , i gcomhlíonadh airteagal 14 , nach mbeidh aon rialú ar dhaoine , bíodh siad ina saoránaigh den aontas nó ina náisiúnaigh de thríú tíortha , ar thrasnú teorainneacha inmheánacha dóibh ; (2) bearta maidir le teorainneacha seachtracha na mballstát a thrasnú a bhunóidh : (a) caighdeáin agus nósanna imeachta a leanfaidh na ballstáit agus seiceálacha á ndéanamh acu ar dhaoine ag teorainneacha den sórt sin ; (b) rialacha maidir le víosaí le haghaidh fanachta bheartaithe nach mó ná trí mhí , lena n-áirítear : (i) liosta na dtríú tíortha a mbeidh ar a náisiúnaigh víosaí a bheith ina seilbh acu ar thrasnú teorainneacha seachtracha dóibh agus liosta na dtríú tíortha a mbeidh a náisiúnaigh saor ón gceanglas sin ; (ii) na nósanna imeachta agus na coinníollacha maidir le ballstáit d' eisiúint víosaí ; (iii) formáid chomhionann do víosaí ; (iv) rialacha maidir le víosa chomhionanu ; (3) bearta ag leagan amach na gcoinníollacha faoina mbeidh saoirse taistil ag náisiúnaigh tríú tíortha ar chríoch na mballstát le linn tréimhse nach mó ná trí mhí .	laistigh de tréimhse cúig bliain tar éis do conradh amstardam teacht i feidhm , glac an comhairle na beart seo a lean , ag gníomhú do i comhréir le an nós imeacht dá tagair i airteagal 67 : (1) beart de fonn a áirithiú , i comhlíonadh airteagal 14 , nach bí aon rialú ar duine , bí siad i saoránach de aontas nó i náisiúnach de trí tír , ar trasnú teorainn inmheánach do ; (2) beart maidir le teorainn seachtrach na stát a trasnú a bunaigh : (a) caighdeán agus nós imeacht a lean na stát agus seiceál do déanamh ag ar duine ag teorainn de sórt sin ; (b) riail maidir le víosa le aghaidh fanacht beartaithe is mó ná trí mí , le áirigh : (i) liosta na trí tír a bí ar a náisiúnach víosa a bheith i seilbh ag ar trasnú teorainn seachtrach do agus liosta na trí tír a bí a náisiúnach saor ó ceanglas sin ; (ii) na nós imeacht agus na coinníoll maidir le stát de eisiúint víosa ; (iii) formáid ionann do víosa ; (iv) riail maidir le víosa chomhionanu ; (3) beart ag leagan amach na coinníoll faoi bí saoirse taisteal ag náisiúnach tríú tíortha ar críoch na stát le linn tréimhse is mó ná trí mí .	ADV ADP FEM;N;SG NUM FEM;GEN;N;SG ADP ADP ADP MASC;N;SG GEN;MASC;PROPN;SG MASC;N;SG ADP FEM;N;SG _ FUT;IND;V DEF;DET;SG DEF;FEM;N;SG DEF;DET;PL GEN;MASC;N;SG DET PART 1;IND;PST;SG;V _ ADP N;V.MSDR 3;ADP;FEM;SG ADP FEM;N;SG ADP DEF;DET;SG DEF;MASC;N;SG GEN;MASC;N;SG CONJ IND;PRS;V ADP MASC;N;SG NUM _ _ MASC;N;PL ADP MASC;N;SG PART N;NFIN _ ADP N;NFIN MASC;N;SG NUM _ NEG;PART FUT;IND;V DET N;NFIN ADP MASC;N;PL _ 3;IMP;SG;V 3;PL;PRO ADP MASC;N;PL ADP;SG MASC;N;SG CONJ ADP MASC;N;PL ADP NUM FEM;N;PL _ ADP N;NFIN FEM;GEN;N;PL ADJ;GEN;PL 3;ADP;PL _ _ MASC;N;PL ADP ADP FEM;N;PL ADJ;PL DEF;DET;PL MASC;N;SG PART N;NFIN PART FUT;IND;V _ _ MASC;N;PL CONJ MASC;N;PL GEN;MASC;N;SG PART FUT;IND;V DEF;DET;PL DEF;MASC;N;PL CONJ MASC;N;PL 3;ADP;PL N;NFIN 3;ADP;PL ADP MASC;N;PL ADP FEM;N;PL ADP;SG DEF;MASC;N;SG DET _ _ FEM;N;PL ADP ADP FEM;N;PL ADP FEM;N;SG GEN;MASC;N;SG ADJ;V.PTCP NEG;PRS;V ADJ CONJ NUM FEM;N;SG _ PART IND;PRS;V _ _ MASC;N;SG DEF;DET;PL NUM FEM;N;PL PART FUT;IND;V ADP 3;DET;MASC;SG MASC;N;PL FEM;N;PL PART N;NFIN 3;ADP;PL FEM;N;SG 3;ADP;PL ADP N;NFIN FEM;N;PL ADJ;PL 3;ADP;PL CONJ MASC;N;SG DEF;DET;PL NUM FEM;N;PL PART FUT;IND;V 3;DET;MASC;SG MASC;N;PL ADJ;GEN;PL ADP;SG MASC;N;SG DET _ _ DEF;DET;PL DEF;MASC;N;PL GEN;MASC;N;SG CONJ DEF;DET;PL DEF;MASC;N;PL ADP ADP MASC;N;PL ADP N;NFIN FEM;N;PL _ _ FEM;N;SG ADJ ADP FEM;N;PL _ _ FEM;N;PL ADP ADP FEM;N;SG MASC;N;SG _ _ MASC;N;PL ADP N;V.MSDR ADV DEF;DET;PL MASC;N;PL PART FUT;IND;V FEM;N;SG GEN;MASC;N;SG ADP MASC;N;PL NUM FEM;N;PL ADP FEM;N;SG DEF;DET;PL DEF;GEN;MASC;N;PL ADP ADP FEM;GEN;N;SG NEG;PRS;V ADJ CONJ NUM FEM;N;SG _
bíodh nó ná bíodh .	bí nó ná bí .	3;IMP;SG;V CONJ IMP;NEG;PART 3;IMP;NEG;SG;V _
gan aon dua , d' fhéadfaimis smaoineamh ar fiche bealach a bhféadfaí úsáid níos fearr a bhaint as a leithéid d' airgead .	gan aon dua , do féad smaoineamh ar fiche bealach a féad úsáid níos maith a baint as a leithéid de airgead .	ADP DET MASC;N;SG _ PART 1;COND;PL;V N;NFIN ADP NUM MASC;N;SG PART COND;V FEM;N;SG N;SG ADJ;{CMPR/RL} PART N;NFIN ADP 3;DET;MASC;SG FEM;N;SG ADP MASC;N;SG _
láimhseáltar an ghné seo den scéal idir an bheirt acu le teannas tuisceanach áirithe ionas gur tuigthe go maith dúinn nach aon bhábóg cheannéadrom ná ráistéir ainnire gan fios a haigne í eibhlín agus nach aon ridire ar a chapall bán é murt .	láimhseál an gné seo de scéal idir an beirt ag le teannas tuisceanach áirithe ionas is tuigthe go maith do is aon bábóg cheannéadrom ná ráistéir ainnir gan fios a aigne í eibhlín agus is aon ridire ar a capall bán é murt .	IND;PRS;V DEF;DET;SG DEF;FEM;N;SG DET ADP;SG DEF;MASC;N;SG ADP DEF;DET;SG DEF;FEM;N;SG 3;ADP;PL ADP MASC;N;SG ADJ;MASC;SG ADJ;MASC;SG N;SG PRS;V ADJ;V.PTCP PART ADJ 1;ADP;PL NEG;PRS;V DET FEM;N;SG ADJ;FEM;SG CONJ MASC;N;SG FEM;GEN;N;SG ADP MASC;N;SG 3;DET;FEM;SG FEM;GEN;N;SG 3;FEM;PRO;SG FEM;PROPN;SG CONJ NEG;PRS;V DET MASC;N;SG ADP 3;DET;MASC;SG MASC;N;SG ADJ;MASC;SG 3;MASC;PRO;SG MASC;PROPN;SG _
bean uasal : cén dul as a bhí agam ?	bean uasal : cé dul as a bí ag ?	FEM;N;SG ADJ;FEM;SG _ DET;SG DEF;MASC;N;SG 3;ADP;MASC;SG PART IND;PST;V 1;ADP;SG _
(c) ní raibh na seandálaithe féin cinnte cén tréimhse a bhí i gceist nó gur tháinig siad ar phingin airgid .	(c) ní bí na seandálaí féin cinnte cé tréimhse a bí i ceist nó gur tar siad ar pingin airgead .	_ NEG;PART IND;NEG;PST;V DEF;DET;PL DEF;MASC;N;PL PRO;REFL ADJ PRO;SG FEM;N;SG PART IND;PST;V ADP FEM;N;SG CONJ PART;PST IND;PST;V 3;PL;PRO ADP DEF;FEM;N;SG DEF;GEN;MASC;N;SG _
tor nó crann beag ilchraobhach ; duillí urchomhaireacha lansacha ; na bláthanna glasbhuí ina mbraislí beaga in ascaillí na nduillí .	tor nó crann beag craobhach ; duille urchomhaireach lansach ; na bláth glasbhuí i mbraisl beag i ascaill na duille .	MASC;N;SG CONJ MASC;N;SG ADJ;MASC;SG ADJ;MASC;SG _ MASC;N;PL ADJ;PL ADJ;PL _ DEF;DET;PL DEF;MASC;N;PL ADJ 3;ADP;PL FEM;N;PL ADJ;PL ADP FEM;N;PL DEF;DET;FEM;GEN;SG DEF;GEN;MASC;N;PL _
chuala sé torann na gclár ag pléascadh ina aigne agus mhothaigh sé drithlíní scéine ag spochadh chnámh a dhroma ag smaoineamh ar an arm ag réabadh dhoras a dtí agus ag streachailt a athar as ascaill a mháthar i gceartlár na hoíche .	clois sé torann na clár ag pléascadh i aigne agus mothaigh sé drithlín scéin ag spochadh cnámh a droim ag smaoineamh ar an arm ag réabadh doras a teach agus ag streachailt a athair as ascaill a máthair i ceartlár na oíche .	IND;PST;V 3;MASC;PRO;SG MASC;N;SG DEF;DET;FEM;GEN;SG GEN;MASC;N;PL ADP N;V.MSDR 3;ADP;MASC;SG FEM;N;SG CONJ IND;PST;V 3;MASC;PRO;SG MASC;N;PL FEM;GEN;N;SG ADP N;V.MSDR FEM;N;SG 3;DET;MASC;SG GEN;MASC;N;SG ADP N;V.MSDR ADP DEF;DET;SG MASC;N;SG ADP N;V.MSDR MASC;N;SG 3;DET;PL GEN;MASC;N;SG CONJ ADP N;V.MSDR 3;DET;MASC;SG GEN;MASC;N;SG ADP FEM;N;SG 3;DET;MASC;SG FEM;GEN;N;SG ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG _
' ní dhéanfadh .	' ní déan .	_ NEG;PART COND;NEG;V _
ar bhus a seacht a bhí sí le theacht .	ar bus a seacht a bí sí le teacht .	ADP MASC;N;SG PART NUM PART IND;PST;V 3;FEM;PRO;SG ADP N;NFIN _
dúirt sé nár múinteoir é .	abair sé is múinteoir é .	IND;PST;V 3;MASC;PRO;SG NEG;PST;V MASC;N;SG 3;MASC;PRO;SG _
bhí rí ann fadó .	bí rí i fadó .	IND;PST;V MASC;N;SG 3;ADP;MASC;SG ADV _
anne-marie nic dhonncha bean phósta agus máthair anne-marie a chasann pubcheol rithimiúil chonamara go gairmiúil .	anne-marie nic donncha bean pósta agus máthair anne-marie a cas ceol rithimiúil conamara go gairmiúil .	FEM;PROPN;SG PART MASC;PROPN;SG MASC;PROPN;SG ADJ CONJ FEM;N;SG FEM;PROPN;SG PART IND;PRS;V MASC;N;SG ADJ;MASC;SG GEN;MASC;PROPN;SG PART ADJ _
is leis na scáileanna a chaitheann réada faoi sholas na gréine is mó a bheimid ag plé anseo , ach baineann na prionsabail chéanna leis an solas saorga .	is le na scáil a caith réad faoi solas na grian is mór a bí ag plé anseo , ach bain na prionsabal céanna le an solas saorga .	PRS;V ADP DEF;DET;PL FEM;N;PL PART IND;PRS;V MASC;N;PL ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG PART ADJ;{CMPR/RL} PART 1;FUT;IND;PL;V ADP N;V.MSDR ADV _ CONJ IND;PRS;V DEF;DET;PL DEF;MASC;N;PL ADJ ADP DEF;DET;SG DEF;MASC;N;SG ADJ _
grainc a thagas ann , i.e. ina éadan nuair a ghortaítear é nó nuair a bhíos pian air .	grainc a tagas i , i.e. i éadan nuair a gortaigh é nó nuair a bí pian ar .	FEM;N;SG PART IND;PRS;V 3;ADP;MASC;SG _ _ 3;ADP;MASC;SG MASC;N;SG CONJ PART IND;PRS;V 3;MASC;PRO;SG CONJ CONJ PART 1;IND;PST;SG;V FEM;N;SG 3;ADP;MASC;SG _
ach meastar gur ar chroí-lár thaca ian paisley - an baile meánach - a bhronnfar an gradam , rud a chiallóidh nach mbeidh ar chomhairleoirí sinn féin a gcultacha domhnaigh a chur orthu féin le dhul os comhair mhaithe is mhór-uaisle na ríochta le glacadh leis an duais .	ach meas is ar lár taca ian paisley - an baile meánach - a bronn an gradam , rud a ciallaigh nach bí ar comhairleoir sinn féin a culaith domhnach a cur ar féin le dul os comhair maithe agus uasal na ríocht le glacadh le an duais .	CONJ IND;PRS;V PRS;V ADP MASC;N;SG GEN;MASC;N;SG MASC;PROPN;SG MASC;PROPN;SG _ DEF;DET;SG MASC;PROPN;SG ADJ;MASC;SG _ PART FUT;IND;V DEF;DET;SG DEF;MASC;N;SG _ MASC;N;SG PART FUT;IND;V NEG;PART FUT;IND;NEG;V ADP MASC;N;PL MASC;PROPN;SG PROPN 3;DET;PL FEM;N;PL GEN;MASC;N;SG PART N;NFIN 3;ADP;PL PRO;REFL ADP N;NFIN ADP ADP FEM;N;SG CONJ MASC;N;PL DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG ADP N;NFIN ADP DEF;DET;SG FEM;N;SG _
bhí an t-airgead ag seán .	bí an airgead ag seán .	IND;PST;V DEF;DET;SG DEF;MASC;N;SG ADP MASC;PROPN;SG _
ná habair liom gurb é an gearradh céanna é ag noonan an chéad lá eile .	ná abair le is é an gearradh céanna é ag noonan an céad lá eile .	IMP;NEG;PART 2;IMP;SG;V 1;ADP;SG PRS;V 3;MASC;PRO;SG DEF;DET;SG N;NFIN ADJ 3;MASC;PRO;SG ADP MASC;PROPN;SG DEF;DET;SG NUM MASC;N;SG DET _
( fiú teaghlaigh nach bhfuil chomh maith sin as , bíonn cabhair ar fáil dóibh ón stát sna tíortha forbartha , agus dá bhrí sin ní mar fhoinse saibhris a fhéachtar ar pháistí ) .	( fiú teaghlach nach bí chomh maith sin as , bí cabhair ar fáil do ó stát i tír forbartha , agus de brí sin is mar foinse saibhreas a féach ar páiste ) .	_ N;SG MASC;N;PL NEG;PART IND;PRS;V ADV ADJ PRO 3;ADP;MASC;SG _ V FEM;N;SG ADP N;NFIN 3;ADP;PL ADP;SG MASC;N;SG ADP;PL DEF;FEM;N;PL ADJ;V.PTCP _ CONJ 3;ADP;MASC;SG FEM;N;SG PRO NEG;PRS;V ADP FEM;N;SG GEN;MASC;N;SG PART IND;PRS;V ADP MASC;N;PL _ _
dúirt an ridire pádraig gur cheart an ghaeilge a mhúineadh dóibh siúd a raibh an ghaeilge mar mháthairtheanga acu .	abair an ridire pádraig is ceart an gaeilge a múineadh do siúd a bí an gaeilge mar teanga ag .	IND;PST;V DEF;DET;SG MASC;PROPN;SG MASC;PROPN;SG PST;V ADJ DEF;DET;SG DEF;FEM;PROPN;SG PART N;NFIN 3;ADP;PL PRO PART IND;PST;V DEF;DET;SG DEF;FEM;PROPN;SG ADP FEM;N;SG 3;ADP;PL _
níor chuir sin aon imní orm .	níor cuir sin aon imní ar .	NEG;PART;PST IND;NEG;PST;V PRO DET FEM;N;SG 1;ADP;SG _
coincleach rinneadh na taifeadtaí ar shorcóirí céire atá i mbaol a scriosta ag coincleach a fhásann ar an gcéir , ach deir an fisiceoir mike redfern , go bhféadfaí na taifeadtaí a shábháil le léasair agus ríomhairí , a chuirfeadh iad ar fáil i bhfoirm inéiste ar cd-rom .	coincleach déan na taifead ar sorcóir ciar bí i baol a scriosadh ag coincleach a fás ar an céir , ach abair an fisiceoir mike redfern , go féad na taifead a sábháil le léasair agus ríomhaire , a cuir iad ar fáil i foirm éiste ar cd-rom .	FEM;N;SG IND;PST;V DEF;DET;PL MASC;N;PL ADP MASC;N;PL ADJ;MASC;PL IND;PRS;V ADP MASC;N;SG 3;DET;PL GEN;N;NFIN ADP FEM;N;SG PART IND;PRS;V ADP DEF;DET;SG FEM;N;SG _ CONJ IND;PRS;V DEF;DET;SG DEF;MASC;N;SG MASC;PROPN;SG MASC;PROPN;SG _ PART COND;V DEF;DET;PL MASC;N;PL PART N;NFIN ADP FEM;N;SG CONJ MASC;N;PL _ PART COND;V 3;PL;PRO ADP N;NFIN ADP FEM;N;SG ADJ;V.PTCP ADP _ _
tá an áit seo chomh lom , chomh sceirdiúil !	bí an áit seo chomh lom , chomh sceirdiúil !	IND;PRS;V DEF;DET;SG DEF;FEM;N;SG DET ADV ADJ _ ADV ADJ _
tionóladh ceardlann aisteoireachta agus drámaíochta sa chrannóg i ngaoth dobhair dé sathairn agus dé domhnaigh seo caite agus d' éirigh go hiontach leis .	tionóil ceardlann aisteoireacht agus drámaíocht i crannóg i gaoth dobhar dé satharn agus dé domhnach seo caite agus do éirigh go iontach le .	IND;PST;V FEM;N;SG FEM;GEN;N;SG CONJ FEM;GEN;N;SG ADP;SG FEM;N;SG ADP FEM;N;SG GEN;MASC;N;SG N;SG GEN;MASC;N;SG CONJ N;SG GEN;MASC;N;SG DET ADJ;V.PTCP CONJ PART IND;PST;V PART ADJ 3;ADP;MASC;SG _
de réir a chéile , éirionn an teannas idir na saighdiúirí agus bunadh na háite agus téann an cur i gcoinne i ndéine ... de réir cosúlacht níl a dhath le déanamh agatsa ach bheith i do shuí ansin ag leathnú do thóin agus ag cuimhniú ar phleanannaí .	de réir a céile , éirionn an teannas idir na saighdiúir agus bunadh na áit agus téigh an cur i gcoinne i déine ... de réir cosúlacht bí a dath le déanamh ag ach bheith i do suí ansin ag leathnú do tóin agus ag cuimhniú ar phleanannaí .	ADP FEM;N;SG 3;DET;MASC;SG MASC;N;SG _ MASC;N;SG DEF;DET;SG DEF;MASC;N;SG ADP DEF;DET;PL MASC;N;PL CONJ MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG CONJ IND;PRS;V DEF;DET;SG DEF;MASC;N;SG ADP ADP ADP FEM;N;SG _ ADP FEM;N;SG FEM;N;SG IND;NEG;PRS;V 3;DET;MASC;SG MASC;N;SG ADP N;NFIN 2;ADP;SG CONJ N;NFIN ADP 2;DET;SG MASC;N;SG ADV ADP N;V.MSDR 2;DET;SG FEM;N;SG CONJ ADP N;V.MSDR ADP MASC;N;SG _
tá an eaglais ar cheann de na comharthaí seó i ndún na ngall , é suite ar bhruch loch dhún lúiche faoin earagal .	bí an eaglais ar ceann de na comhartha seó i dún na ngall , é suite ar bhruch loch dún lúiche faoi earagal .	IND;PRS;V DEF;DET;SG DEF;FEM;N;SG ADP MASC;N;SG ADP DEF;DET;PL DEF;MASC;N;PL GEN;MASC;N;SG ADP MASC;PROPN;SG PROPN PROPN _ 3;MASC;PRO;SG ADJ;V.PTCP ADP MASC;N;SG MASC;N;SG MASC;N;SG MASC;PROPN;SG ADP;SG MASC;PROPN;SG _
i measc na ndaoine fásta sna tithe bothántaíochta a chloiseadh an t-aos óg scéalta uaireanta .	i measc na duine fásta i teach bothántaíocht a clois an aos óg scéal uaireanta .	ADP MASC;N;SG DEF;DET;PL DEF;GEN;MASC;N;PL ADJ;V.PTCP ADP;PL MASC;N;PL FEM;GEN;N;SG PART IMP;PST;V DEF;DET;SG DEF;MASC;N;SG ADJ;FEM;SG MASC;N;PL ADV _
beidh michael mullen sa bhunscoil i lecanvey .	bí michael mullen i bunscoil i lecanvey .	FUT;IND;V MASC;PROPN;SG GEN;MASC;PL;PROPN ADP;SG DEF;FEM;N;SG ADP MASC;PROPN;SG _
cuirtear scéal agus stair an raidió in éirinn le 75 bliain anuas os ár gcomhair sa taispeántas , ó bunaíodh 2rn i 1926 go dtí na forbairtí is deireanaí ar an idirlíon .	cuir scéal agus stair an raidió i éire le 75 bliain anuas os ár comhair i taispeántas , ó bunaigh 2rn i 1926 go dtí na forbairt is deireanach ar an idirlíon .	IND;PRS;V MASC;N;SG CONJ FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG ADP DAT;FEM;PROPN;SG ADP NUM FEM;N;SG ADV ADP 1;DET;PL N;SG ADP;SG DEF;MASC;N;SG _ ADP IND;PST;V _ ADP NUM ADP ADP DEF;DET;PL DEF;FEM;N;PL PART ADJ;{CMPR/RL} ADP DEF;DET;SG DEF;MASC;N;SG _
mura mbeadh a fhios agat go raibh sé féin agus an riadach ann , is beag fianaise eile atá le fáil sa reilig chéanna go bhfuil beirt de mhór-cheannródaithe i litríocht agus i gcultúr na héireann curtha ann .	mura bí a fios ag go bí sé féin agus an riada i , is beag fianaise eile bí le fáil i reilig céanna go bí beirt de ceannródaí i litríocht agus i cultúr na éire curtha i .	CONJ COND;V 3;DET;MASC;SG MASC;N;SG 2;ADP;SG PART IND;PST;V 3;MASC;PRO;SG PRO;REFL CONJ DEF;DET;SG DEF;MASC;PROPN;SG 3;ADP;MASC;SG _ PRS;V ADJ FEM;N;SG DET IND;PRS;V ADP N;NFIN ADP;SG FEM;N;SG ADJ;FEM;SG PART IND;PRS;V FEM;N;SG ADP MASC;N;PL ADP FEM;N;SG CONJ ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;PROPN;SG ADJ;V.PTCP 3;ADP;MASC;SG _
conas atá sé ag rith ?	conas bí sé ag rith ?	ADV IND;PRS;V 3;MASC;PRO;SG ADP N;V.MSDR _
' file cumasach eile ab ea dónall ó muláin , údar an amhráin úd ' an poc ar buile ' , amhrán go raibh báidh an phobail leis , agus amhrán a chan gaeilgeoirí le fuinneamh , le scléip agus le gliondar ní hamháin ar fuaid na héireann , ach go deimhin ar fuaid an domhain .	' file cumasach eile is ea dónall ó muláin , údar an amhrán úd ' an poc ar buile ' , amhrán go bí báidh an pobal le , agus amhrán a can gaeilgeoir le fuinneamh , le scléip agus le gliondar is amháin ar fuaid na éire , ach go deimhin ar fuaid an domhan .	_ MASC;PROPN;SG ADJ;MASC;SG DET PST;V 3;PRO;SG MASC;PROPN;SG PART MASC;PROPN;SG _ MASC;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG DET _ DEF;DET;SG DEF;MASC;N;SG ADP FEM;N;SG _ _ MASC;N;SG PART IND;PST;V FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG 3;ADP;MASC;SG _ CONJ MASC;N;SG PART IND;PST;V MASC;N;PL ADP MASC;N;SG _ ADP FEM;N;SG CONJ ADP MASC;N;SG NEG;PRS;V ADJ ADP FEM;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;PROPN;SG _ CONJ PART ADJ ADP FEM;N;SG DEF;DET;SG DEF;GEN;MASC;N;SG _
an rud a bhí ar intinn agam a dhéanamh ná post a fháil agus freastal ar an ollscoil san oíche .	an rud a bí ar intinn ag a déanamh ná post a fáil agus freastal ar an ollscoil i oíche .	DEF;DET;SG DEF;MASC;N;SG PART IND;PST;V ADP FEM;N;SG 1;ADP;SG PART N;NFIN CONJ MASC;N;SG PART N;NFIN CONJ N;NFIN ADP DEF;DET;SG DEF;FEM;N;SG ADP;SG FEM;N;SG _
sa deireadh , bhí cúis eile ann a mhíníonn an spéis ar leith a léirigh údaráis na fraince in éirinn : fonn díoltais .	i deireadh , bí cúis eile i a mínigh an spéis ar leith a léirigh údarás na frainc i éire : fonn díoltas .	ADP;SG DEF;MASC;N;SG _ IND;PST;V FEM;N;SG DET 3;ADP;MASC;SG PART IND;PRS;V DEF;DET;SG DEF;FEM;N;SG ADP FEM;N;SG PART IND;PST;V MASC;N;PL DEF;DET;FEM;GEN;SG FEM;GEN;PROPN ADP DAT;FEM;PROPN;SG _ MASC;N;SG GEN;MASC;N;SG _
níl an iomarca fola ann , níl an iomarca foréigin ( ach dóthain le geit a bhaint asat !	bí an iomarca fuil i , bí an iomarca foréigean ( ach dóthain le geit a baint as !	IND;NEG;PRS;V DEF;DET;SG DEF;FEM;N;SG FEM;GEN;N;SG 3;ADP;MASC;SG _ IND;NEG;PRS;V DEF;DET;SG DEF;FEM;N;SG GEN;MASC;N;SG _ CONJ FEM;N;SG ADP FEM;N;SG PART N;NFIN 2;ADP;SG _
' chaith mé díom mála na bhfód , agus sháigh an bior i gceann acu agus thug tine dó .	' caith mé de mála na fód , agus sáigh an bior i gceann ag agus tabhair tine do .	_ IND;PST;V 1;PRO;SG 1;ADP;SG MASC;N;SG DEF;DET;PL DEF;GEN;MASC;N;PL _ CONJ IND;PST;V DEF;DET;SG DEF;MASC;N;SG ADP ADP 3;ADP;PL CONJ IND;PST;V FEM;N;SG 3;ADP;MASC;SG _
tháinig sé ar ais an oíche sin agus scéala leis go mbeadh an téirí amach ann domhnach cásca ar a seacht a chlog tráthnóna .	tar sé ar ais an oíche sin agus scéala le go bí an éirí amach i domhnach cáisc ar a seacht an clog tráthnóna .	IND;PST;V 3;MASC;PRO;SG ADV ADV DEF;DET;SG DEF;FEM;N;SG DET CONJ MASC;N;SG 3;ADP;MASC;SG PART COND;V DEF;DET;SG DEF;MASC;N;SG ADV 3;ADP;MASC;SG MASC;N;SG FEM;GEN;N;SG ADP PART NUM DET;SG MASC;N;SG MASC;N;SG _
ar an drochuair , ní mór an staidéar seo a chur ar athló cheal acmhainní .	ar an drochuair , is mór an staidéar seo a cur ar lá ceal acmhainn .	ADP DEF;DET;SG FEM;N;SG _ NEG;PRS;V ADJ DEF;DET;SG DEF;MASC;N;SG DET PART N;NFIN ADP MASC;N;SG MASC;N;SG FEM;GEN;N;PL _
aithníonn sé go mbeidh ollfhadhbanna ag institiúidí na heorpa nuair a chuirtear le líon na mballstát .	aithin sé go bí fadhb ag institiúid na eoraip nuair a cuir le líon na stát .	IND;PRS;V 3;MASC;PRO;SG PART FUT;IND;V FEM;N;PL ADP FEM;N;PL DEF;DET;FEM;GEN;SG DEF;FEM;GEN;PROPN;SG CONJ PART IND;PRS;V ADP MASC;N;SG DEF;DET;FEM;GEN;SG DEF;GEN;MASC;N;PL _
tá cyrano cróga , stuama agus féith na filíochta ann , ach go háirithe i gcúrsaí grá .	bí cyrano cróga , stuama agus féith na filíocht i , ach go áirithe i cúrsa grá .	IND;PRS;V _ ADJ _ ADJ CONJ FEM;N;SG DEF;DET;FEM;GEN;SG DEF;FEM;GEN;N;SG 3;ADP;MASC;SG _ CONJ PART ADJ ADP MASC;N;PL GEN;MASC;N;SG _
is mian linn ár mbuíochas a chur in iúl go háirithe do sheán ó gallchóir , stiúrthóir ginearálta an fhorais riaracháin , a thug lántacaíocht ó thús don ghnó .	is mian le ár buíochas a cur i iúl go áirithe do seán ó gallchóir , stiúrthóir ginearálta an foras riarachán , a tabhair tacaíocht ó tús do gnó .	PRS;V FEM;N;SG 1;ADP;PL 1;DET;PL MASC;N;SG PART N;NFIN ADP MASC;N;SG PART ADJ ADP MASC;PROPN;SG PART MASC;PROPN;SG _ MASC;N;SG ADJ;MASC;SG DEF;DET;SG DEF;GEN;MASC;N;SG GEN;MASC;N;SG _ PART IND;PST;V FEM;N;SG ADP MASC;N;SG ADP;SG DEF;GEN;MASC;N;SG _
agus níor laghdaigh sé ar an eagla sin nuair a léigh siad ar an pháipéar nuaíochta gur fágadh ina luaith an baile a raibh córa ar scoil ann .	agus níor laghdaigh sé ar an eagla sin nuair a léigh siad ar an páipéar nuachta gur fág i luaith an baile a bí córa ar scoil i .	CONJ NEG;PART;PST IND;PST;V 3;MASC;PRO;SG ADP DEF;DET;SG FEM;N;SG DET CONJ PART IND;PST;V 3;PL;PRO ADP DEF;DET;SG MASC;N;SG FEM;GEN;N;SG PART;PST IND;PST;V ADP FEM;N;SG DEF;DET;SG DEF;MASC;N;SG PART IND;PST;V FEM;PROPN;SG ADP FEM;N;SG 3;ADP;MASC;SG _
tá an liosta ábhar sin bunaithe ar na tuairiscí difriúla a chur le chéile - ní luann aon tuairisc indibhidiúil an liosta sin ina iomláine .	bí an liosta ábhar sin bunaithe ar na tuairisc difriúil a cur le céile - ní luaigh aon tuairisc indibhidiúil an liosta sin i iomláine .	IND;PRS;V DEF;DET;SG DEF;MASC;N;SG GEN;MASC;N;PL DET ADJ;V.PTCP ADP DEF;DET;PL DEF;FEM;N;PL ADJ;PL PART N;NFIN ADP MASC;N;SG _ NEG;PART IND;NEG;PRS;V DET FEM;N;SG FEM;N;SG DEF;DET;SG DEF;MASC;N;SG DET 3;ADP;MASC;SG FEM;N;SG _
