eilañ perzhioù an teuliad	eilañ perzh an teuliad	NFIN;V MASC;N;PL DET MASC;N;SG
n' ouzer ket mat eus pelec'h e teue nevenoe .	ne gouzout ket mat eus pelec’h e dont nevenoe .	ADV;NEG FIN;IND;PRS;V ADV ADJ ADP ADV PART 3;FIN;IND;PST;SG;V MASC;PROPN;SG _
kinnig a raio kelc’hioù keltiek gwellañ breizh o frogramm 2002 .	kinnig a ober kelc’h keltiek gwell breizh o programm 2002 .	NFIN;V PART 3;FIN;FUT;IND;SG;V MASC;N;PL ADJ ADJ;RL PROPN;SG DET MASC;N;SG NUM;PL _
war dachenn ar sevenadur e vo broudet an div rannvro da zizoleiñ holl dachennoù krouidigezh sevenadurel an eil hag eben .	war tachenn an sevenadur e bezañ broudañ an daou rannvro da dizoleiñ holl tachenn krouidigezh sevenadurel an eil ha egile .	ADP FEM;N;SG DET MASC;N;SG PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP DET FEM;NUM;PL FEM;N;SG ADP NFIN;V DET FEM;N;PL FEM;N;SG ADJ DET ADJ CONJ FEM;PRO;SG _
chaseal a raent kirvi , yourc'hed ha lern .	chaseal a ober karv , yourc’h ha louarn .	NFIN;V PART 3;FIN;IND;PL;PST;V MASC;N;PL _ MASC;N;PL CONJ MASC;N;PL _
gwelout endeus yann e vignonez .	gwelout kaout yann e mignon .	NFIN;V 3;FIN;IND;MASC;PRS;SG;V MASC;PROPN;SG DET;PSS FEM;N;SG _
servijit diouzhtu .	servijañ diouzhtu .	2;PL;V ADV _
fur eo va breur .	fur bezañ ma breur .	ADJ 3;FIN;IND;PRS;SG;V DET MASC;N;SG _
pouezit war f1 evit kaout skoazell war ar voest kendiviz	pouezañ war f1 evit kaout skoazell war an boest kendiviz	2;PL;V ADP MASC;N;SG ADP NFIN;V FEM;N;SG ADP DET FEM;N;SG MASC;N;SG
a-benn talañ ouzh an diouer a gelennerien stummet war an deskadurezh vrezhoneg ezeus bet krouet yalc'hadoù gant ar rannvroioù hag ar c'huzul bro .	a-benn talañ ouzh an diouer a kelenner stummañ war an deskadurezh brezhoneg bezañ bezañ krouiñ yalc’had gant an rannvro ha an kuzul bro .	ADP NFIN;V ADP DET MASC;N;SG ADP MASC;N;PL PST;V;V.PTCP ADP DET FEM;N;SG MASC;N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP FEM;N;PL ADP DET FEM;N;PL CONJ DET MASC;N;SG FEM;N;SG _
lakait holen ha pebr .	lakaat holen ha pebr .	2;FIN;IND;PL;PRS;V MASC;N;SG CONJ MASC;N;SG _
krouet eo bet ar rannvro velestradurel nevez -se hep derc’hel kont eus an istor .	krouiñ bezañ bezañ an rannvro melestradurel nevez se hep derc’hel kont eus an istor .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET FEM;N;SG ADJ ADJ ADV ADP NFIN;V FEM;N;SG ADP DET MASC;N;SG _
un destenn erlec'hiañ a vez implijet ivez evit an dud nammet .	un testenn erlec’hiañ a bezañ implijout ivez evit an den nammet .	DET FEM;N;SG NFIN;V PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP ADV ADP DET MASC;N;PL ADJ _
savet eo ar spi da vevañ eus 35,5 bloaz e 1950 da 67 e 2000 .	sevel bezañ an spi da bevañ eus 35,5 bloaz e 1950 da 67 e 2000 .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADP NFIN;V ADP NUM;PL MASC;N;SG ADP NUM;PL ADP NUM;PL ADP NUM;PL _
en em gannet out c'hoazh ?	en em kannañ bezañ c’hoazh ?	_ PART;REFL PST;V;V.PTCP 2;FIN;IND;PRS;SG;V ADV _
da gemper e oan o vont .	da kemper e bezañ o mont .	ADP PROPN;SG PART 1;FIN;IND;PST;SG;V PART NFIN;V _
techet e oa al livour da skeudenniñ buhez pemdez ar 17vet kantved en e gorn-bro .	techet e bezañ an livour da skeudenniñ buhez pemdez an 17vet kantved e e korn-bro .	ADJ PART 3;FIN;IND;PST;SG;V DET MASC;N;SG ADP NFIN;V FEM;N;SG ADJ DET NUM;PL MASC;N;SG ADP DET;PSS MASC;N;SG _
brudet eo bet ar ganaouenn gant ur film bruderezh evit citroën .	brudañ bezañ bezañ an kanaouenn gant un film bruderezh evit citroën .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET FEM;N;SG ADP DET MASC;N;SG MASC;N;SG ADP PROPN;SG _
treuzit an holl wiadoù , tennit ho nadoz er-maez en ur zilec’hiañ anezhi , hag all .	treuziñ an holl gwiad , tennañ ho nadoz er-maez en ur dilec’hiañ direct , hag all .	2;PL;V DET DET MASC;N;PL _ 2;PL;V DET FEM;N;SG ADV _ PART NFIN;V 3;ACC;FEM;PRO;SG _ _ ADV _
petra endeus prenet yann ?	petra kaout prenañ yann ?	PRO 3;FIN;IND;MASC;PRS;SG;V PST;V;V.PTCP MASC;PROPN;SG _
kousket on .	kousket bezañ .	PST;V;V.PTCP 1;FIN;IND;PRS;SG;V _
kevreet eo ar spas gant an arzoù plastik , hag an amzer gant ar muzik hag al lennegezh .	kevreañ bezañ an spas gant an arz plastik , ha an amzer gant an muzik ha an lennegezh .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADP DET MASC;N;PL MASC;N;SG _ CONJ DET FEM;N;SG ADP DET MASC;N;SG CONJ DET FEM;N;SG _
en _ ti emañ ma breur .	e an ti bezañ ma breur .	ADP DET MASC;N;SG 3;FIN;IND;PRS;SG;V DET MASC;N;SG _
kalz re hir eo ar film .	kalz re hir bezañ an film .	_ ADV ADJ 3;FIN;IND;PRS;SG;V DET MASC;N;SG _
gouestlet eo ar werenn -mañ d ar binvioù merdeiñ .	gouestlañ bezañ an gwerenn mañ da an benveg merdeiñ .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V DET FEM;N;SG ADV ADP DET MASC;N;PL NFIN;V _
ha bremañ e ra jañ - mari war-dro an deñved eno .	ha bremañ e ober jañ - mari war-dro an dañvad eno .	CONJ ADV PART 3;FIN;IND;PRS;SG;V MASC;PROPN;SG _ FEM;PROPN;SG ADV DET MASC;N;PL ADV _
tachennoù an arc'hant hag ar familh a vo gwarezet .	tachenn an arc’hant ha an familh a bezañ gwareziñ .	FEM;N;PL DET MASC;N;SG CONJ DET FEM;N;SG PART 3;FIN;FUT;IND;SG;V PST;V;V.PTCP _
ne daolimp ket ar bili war ar geot .	ne teuler ket an bili war an geot .	ADV;NEG 1;FIN;FUT;IND;PL;V ADV DET FEM;N;PL ADP DET FEM;N;PL _
krog on da gompren .	krog bezañ da kompren .	ADJ 1;FIN;IND;PRS;SG;V ADP NFIN;V _
disul , goude an oferenn , ez eo aet ar beleg c'hoari c'hartoù .	disul , goude an oferenn , e bezañ mont an beleg c’hoari kartenn .	ADV _ ADP DET FEM;N;SG _ PART 3;FIN;IND;PRS;SG;V PST;V;V.PTCP DET MASC;N;SG NFIN;V FEM;N;PL _
kavout a reer kembraeg war ar genrouedad ivez .	kavout a ober kembraeg war an kenrouedad ivez .	NFIN;V PART FIN;IND;PRS;V MASC;N;SG ADP DET FEM;N;SG ADV _
hiziv , d al lun 8 a viz meurzh , e vez lidet devezh etrebroadel ar maouezed .	hiziv , da an lun 8 a miz meurzh , e bezañ lidañ devezh etrebroadel an maouez .	ADV _ ADP DET MASC;N NUM;PL ADP _ MASC;N _ PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP MASC;N;SG ADJ DET FEM;N;PL _
evel-se e tiwaller na vefe paouezet ho roll gant embanner un deiziadur kenrouedad .	evel-se e diwall na bezañ paouez ho roll gant embanner un deiziadur kenrouedad .	ADV PART FIN;IND;PRS;V NEG;PART 3;COND;SG;V PST;V;V.PTCP DET MASC;N;SG ADP MASC;N;SG DET MASC;N;SG FEM;N;SG _
digeriñ a ra an diviz war ar perzh a vez roet hiriv d an arzourien .	digeriñ a ober an diviz war an perzh a bezañ reiñ hiziv da an arzour .	NFIN;V PART 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADP DET MASC;N;SG PART 3;FIN;HAB;PRS;SG;V PST;V;V.PTCP ADV ADP DET MASC;N;PL _
redek a ra en ur c'hoarzhin .	redek a ober en ur c’hoarzhin .	NFIN;V PART 3;FIN;IND;PRS;SG;V _ PART NFIN;V _
brudet eo an arvor dre ar bed tro-dro .	brudañ bezañ an arvor dre an bed tro-dro .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V _ PROPN;SG ADP DET MASC;N;SG ADV _
setu an den na gontas ket an istor dimp _ .	setu an den na kontañ ket an istor da indirect .	ADV DET MASC;N;SG NEG;PART 3;FIN;PST;SG;V ADV DET MASC;N;SG ADP 1;ACC;PL;PRO _
un nebeud mizioù a chom deoc h neuze evit dont a-benn da vont e-barzh unan eus oberennoù pennañ istor ar rock .	un nebeud miz a chom da indirect neuze evit dont a-benn da mont e-barzh unan eus oberenn pennañ istor an rock .	DET MASC;N;SG MASC;N;PL PART 3;FIN;IND;PRS;SG;V ADP 2;ACC;PL;PRO ADV ADP NFIN;V ADV ADP NFIN;V ADP NUM;SG ADP FEM;N;PL ADJ MASC;N;SG DET MASC;N;SG _
emaint o sellout ouzh an dud o labourat er r parkeier .	bezañ o sellout ouzh an den o labourat e an park .	3;FIN;IND;PL;PRS;V PART NFIN;V ADP DET MASC;N;PL PART NFIN;V ADP DET MASC;N;PL _
un emzalc'h doujus ha spis a zereo kalz gwelloc'h .	un emzalc’h doujus ha spis a dereout kalz gwell .	DET MASC;N;SG ADJ CONJ ADJ PART 3;FIN;FUT;IND;SG;V ADV ADJ;CMPR _
merañ ar rolloù ...	merañ an roll ...	NFIN;V DET MASC;N;PL _
ganet eo bet e 1958 e naoned ha marv e pariz e 1993 .	genel bezañ bezañ e 1958 e naoned ha marv e pariz e 1993 .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP NUM;PL ADP PROPN;SG CONJ ADJ ADP PROPN;SG ADP NUM;PL _
peurliesañ hopo c'hoant da virout ar reolennoù war ar servijer .	peurliesañ kaout c’hoant da mirout an reolenn war an servijer .	ADV 2;FIN;FUT;IND;PL;V MASC;N;SG ADP NFIN;V DET FEM;N;PL ADP DET MASC;N;SG _
n' hedeus klasket zoken gwalc'hiñ he belo .	ne kaout klask zoken gwalc’hiñ he belo .	ADV;NEG 3;FEM;FIN;IND;PRS;SG;V PST;V;V.PTCP ADV NFIN;V DET;PSS FEM;N;SG _
kinniget e vo gant mirdi ar faoued ouzhpenn 130 luc'hskeudenn ha skeudenn , bet graet e-kerzh an 19vet kantved , e breizh .	kinnig e bezañ gant mirdi ar faoued ouzhpenn 130 luc’hskeudenn ha skeudenn , bezañ ober e-kerzh an 19vet kantved , e breizh .	PST;V;V.PTCP PART 3;FIN;FUT;IND;SG;V ADP MASC;N;SG _ PROPN;SG ADP NUM;PL FEM;N;SG CONJ FEM;N;SG _ PST;V;V.PTCP PST;V;V.PTCP ADP DET NUM;PL MASC;N;SG _ ADP PROPN;SG _
klaskit gwelet hag-eñ eo reizh hoc'h anv implijer hag ho ker-tremen .	klask gwelout hag-eñ bezañ reizh ho anv implijer ha ho ger-tremen .	2;PL;V NFIN;V PRO 3;FIN;IND;PRS;SG;V ADJ DET MASC;N;SG MASC;N;SG CONJ DET MASC;N;SG _
un ugent den bennak zo bet lazhet ha meur a gant den gloazet zo .	un ugent den bennak bezañ bezañ lazhañ ha meur a kant den gloazañ bezañ .	DET NUM;PL MASC;N;SG ADJ 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP CONJ _ DET;PL NUM;PL MASC;N;SG PST;V;V.PTCP 3;FIN;IND;PRS;SG;V _
an teuliad peder fajennad zo gouestlet en n niverenn -mañ d an dud nammet .	an teuliad pevar pajennad bezañ gouestlañ e an niverenn mañ da an den nammet .	DET MASC;N;SG FEM;NUM;PL FEM;N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP ADP DET FEM;N;SG ADV ADP DET MASC;N;PL ADJ _
da-heul e voe trec’h rouantelezh bro-c’hall , ur rouantelezh c’halloudus anezhi _ , war an dugelezh da vare emgannoù 1488 ha 1491 .	da-heul e bezañ trec’h rouantelezh bro-c’hall , un rouantelezh galloudus eus indirect , war an dugelezh da mare emgann 1488 ha 1491 .	ADV PART 3;FIN;PST;SG;V ADJ FEM;N;SG PROPN;SG _ DET FEM;N;SG ADJ ADP 3;ACC;FEM;PRO;SG _ ADP DET FEM;N;SG ADP MASC;N;SG MASC;N;PL NUM;PL CONJ NUM;PL _
klask a ra yann ul levr .	klask a ober yann un levr .	NFIN;V PART 3;FIN;IND;PRS;SG;V MASC;PROPN;SG DET MASC;N;SG _
hervez al lec'h e vo marteze graet an dibab ?	hervez an lec’h e bezañ marteze ober an dibab ?	ADP DET MASC;N;SG PART 3;FIN;FUT;IND;SG;V ADV PST;V;V.PTCP DET MASC;N;SG _
un taol-chañs eo ar c'hresk poblañs -se .	un taol-chañs bezañ an kresk poblañs se .	DET FEM;N;SG 3;FIN;IND;PRS;SG;V DET MASC;N;SG FEM;N;SG ADV _
ne gloto tamm ebet ar rannvroioù -se gant ar rannvroioù armerzhel .	ne klotañ tamm ebet an rannvro se gant an rannvro armerzhel .	ADV;NEG 3;FIN;FUT;IND;SG;V _ ADV DET FEM;N;PL ADV ADP DET FEM;N;PL ADJ _
lenn a reas lenaig al levr .	lenn a ober lenaig an levr .	NFIN;V PART 3;FIN;PST;SG;V FEM;PROPN;SG DET MASC;N;SG _
kontadennoù niverus endoa gellet dastum diwar komzoù stéphanie guillaume , eus gavr .	kontadenn niverus kaout gellout dastum diwar komz stéphanie guillaume , eus gavr .	FEM;N;PL ADJ 3;FIN;IND;MASC;PST;SG;V PST;V;V.PTCP NFIN;V ADP FEM;N;PL FEM;PROPN;SG MASC;PROPN;SG _ ADP PROPN;SG _
an abadenn nemeti i er r c'hwec'hkorn e vo .	an abadenn nemet indirect e an c’hwec’hkorn e bezañ .	DET FEM;N;SG ADP 3;ACC;FEM;PRO;SG ADP DET MASC;N;SG PART 3;FIN;FUT;IND;SG;V _
ne vezit dilezet gwezh ebet gantañ añ .	ne bezañ dilezel gwezh ebet gant indirect .	ADV;NEG 2;FIN;HAB;PL;PRS;V PST;V;V.PTCP _ ADV ADP 3;ACC;MASC;PRO;SG _
n' eo ket bet lazhet .	ne bezañ ket bezañ lazhañ .	ADV;NEG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP PST;V;V.PTCP _
a-benn tizhout e balioù endoa disklêriet an emstriver sokialour e oa « a-du » evit krouiñ ministrerezh ar mor .	a-benn tizhout e pal kaout disklêriañ an emstriver sokialour e bezañ « a-du » evit krouiñ ministrerezh an mor .	ADP NFIN;V DET;PSS MASC;N;PL 3;FIN;IND;MASC;PST;SG;V PST;V;V.PTCP DET MASC;N;SG MASC;N;SG PART 3;FIN;IND;PST;SG;V _ ADV _ ADP NFIN;V MASC;N;SG DET MASC;N;SG _
dilennidi , teknikourien ar gumun ha frammoù dave ( ofis ar brezhoneg enozouez _ ) a ya d’ ober ar bodadoù trakêr -se .	dilennad , teknikour an kumun ha framm dave ( ofis ar brezhoneg e-touez indirect ) a mont da ober an bodad trakêr se .	MASC;N;PL _ MASC;N;PL DET FEM;N;SG CONJ MASC;N;PL MASC;N;SG _ _ _ PROPN;SG ADP 3;ACC;PL;PRO _ PART 3;FIN;IND;PRS;SG;V ADP NFIN;V DET MASC;N;PL ADJ ADV _
yaouank eo da c'hoar ?	yaouank bezañ da c’hoar ?	ADJ 3;FIN;IND;PRS;SG;V DET FEM;N;SG _
e-pad an hañv e kinnigo kamp etrekeltiek ar vrezhonegerion e 60vet staj .	e-pad an hañv e kinnig kamp etrekeltiek an brezhoneger e 60vet staj .	ADP DET MASC;N;SG PART 3;FIN;FUT;IND;SG;V MASC;N;SG ADJ DET MASC;N;PL ADP NUM;PL MASC;N;SG _
teir relijion a gaver e tibet : ar voudaegezh , ar bon hag an islam .	tri relijion a kavout e tibet : an boudaegezh , an bon ha an islam .	FEM;NUM;PL FEM;N;SG PART FIN;IND;PRS;V ADP PROPN;SG _ DET FEM;N;SG _ DET MASC;N;SG CONJ DET MASC;N;SG _
ouzhpenn 20 beaj zo bet graet gantañ añ en n india abaoe e 25 bloaz .	ouzhpenn 20 beaj bezañ bezañ ober gant indirect e an india abaoe e 25 bloaz .	ADV NUM;PL FEM;N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP ADP 3;ACC;MASC;PRO;SG ADP DET PROPN;SG ADP ADP NUM;PL MASC;N;SG _
dimerc'her e c'hoario skipailh roazhon a-enep lyon .	dimerc’her e c’hoari skipailh roazhon a-enep lyon .	ADV PART 3;FIN;FUT;IND;SG;V MASC;N;SG PROPN;SG ADP PROPN;SG _
ar vugale n' en em vagont ket .	an bugel ne en em magañ ket .	DET MASC;N;PL ADV;NEG _ PART;REFL 3;FIN;IND;PL;PRS;V ADV _
gounidegezh an annezidi , live an tailhoù , kresk ar boblañs ha kresk niver an implijoù .	gounidegezh an annezad , live an tailh , kresk an poblañs ha kresk niver an implij .	FEM;N;SG DET MASC;N;PL _ MASC;N;SG DET FEM;N;PL _ MASC;N;SG DET FEM;N;SG CONJ MASC;N;SG MASC;N;SG DET MASC;N;PL _
mirout ar c'hemmoù enrollet dija	mirout an kemm enrollañ dija	NFIN;V DET MASC;N;PL PST;V;V.PTCP ADV
met nevez eo ar c’hinnig -se .	met nevez bezañ an kinnig se .	CONJ ADJ 3;FIN;IND;PRS;SG;V DET MASC;N;SG ADV _
n' eo ket implijet ar perzh -mañ gant ahel an talvoudoù .	ne bezañ ket implijout an perzh mañ gant ahel an talvoud .	ADV;NEG 3;FIN;IND;PRS;SG;V ADV PST;V;V.PTCP DET MASC;N;SG ADV ADP MASC;N;SG DET MASC;N;PL _
gant lan eo bet kollet ar voutailh .	gant lan bezañ bezañ koll an boutailh .	ADP MASC;PROPN;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP DET FEM;N;SG _
ne lennan -me ket al lizher .	ne lenn prpers ket an lizher .	ADV;NEG 1;FIN;IND;PRS;SG;V 1;NOM;PRO;SG ADV DET MASC;N;SG _
er _ bloavezh 2057 , emañ heol hon c'hoskoriad o vervel .	e an bloavezh 2057 , bezañ heol hon koskoriad o mervel .	ADP DET MASC;N;SG NUM;PL _ 3;FIN;IND;PRS;SG;V MASC;N;SG DET FEM;N;SG PART NFIN;V _
ar merc'hed hepken a zeuy d ar c'hendalc'h .	an merc’h hepken a dont da an kendalc’h .	DET FEM;N;PL ADV PART 3;FIN;FUT;IND;SG;V ADP DET MASC;N;SG _
ho fent avat a chom unan eus ho perzhioù gwellañ .	ho fent avat a chom unan eus ho perzh gwell .	DET MASC;N;SG ADV PART 3;FIN;IND;PRS;SG;V NUM;SG ADP DET MASC;N;PL ADJ;RL _
me a vefe o kanañ .	prpers a bezañ o kanañ .	1;NOM;PRO;SG PART 3;COND;SG;V PART NFIN;V _
ne c'heller ket mui komz a hiniennoù pe a strolladoù bihan lezet d' ober ar pezh a garont .	ne gellout ket mui komz a hinienn pe a strollad bihan lezel da ober ar pezh a karout .	ADV;NEG FIN;IND;PRS;V _ ADV NFIN;V ADP FEM;N;PL CONJ ADP MASC;N;PL ADJ PST;V;V.PTCP ADP NFIN;V _ _ PRO;SG 3;FIN;IND;PL;PRS;V _
ar sae a brenan .	an sae a prenañ .	DET FEM;N;SG PART 1;FIN;IND;PRS;SG;V _
implijidi an ospital , kenwerzherien kreiz-breizh , dilennidi ha tud ar vro , o labourat pe war o leve , a oa bodet holl evit goulenn e virfe ospital karaez holl e servijoù .	implijad an ospital , kenwerzher kreiz-breizh , dilennad ha den an bro , o labourat pe war o leve , a bezañ bodañ holl evit goulenn e mirout ospital karaez holl e servij .	MASC;N;PL DET FEM;N;SG _ MASC;N;PL MASC;PROPN;SG _ MASC;N;PL CONJ MASC;N;PL DET FEM;N;SG _ PART NFIN;V CONJ ADP DET MASC;N;SG _ PART 3;FIN;IND;PST;SG;V PST;V;V.PTCP PL;PRO ADP NFIN;V PART 3;COND;SG;V FEM;N;SG PROPN;SG DET DET;PSS MASC;N;PL _
kargoù ar maer	karg an maer	FEM;N;PL DET MASC;N;SG
hervez kont eo bet kresket ar c'heitad -mañ a 50% en n daou vloaz diwezhañ , ar pezh a gas betek tost ur c'hard eus ar marc'had .	hervez kont bezañ bezañ kreskiñ an keitad mañ a 50 e an daou bloaz diwezhañ , ar pezh a kas betek tost un kard eus an marc’had .	ADP FEM;N;SG 3;FIN;IND;PRS;SG;V PST;V;V.PTCP PST;V;V.PTCP DET MASC;N;SG ADV ADP NUM;PL ADP DET MASC;NUM;PL MASC;N;SG ADJ _ _ _ PRO;SG 3;FIN;IND;PRS;SG;V ADP ADV DET MASC;N;SG ADP DET MASC;N;SG _
erc’h a ra .	erc’h a ober .	MASC;N;SG PART 3;FIN;IND;PRS;SG;V _
ne oar ket va zud .	ne gouzout ket ma den .	ADV;NEG 3;FIN;IND;PRS;SG;V ADV DET MASC;N;PL _
degouezhet eo da eil .	degouezhout bezañ da eil .	PST;V;V.PTCP 3;FIN;IND;PRS;SG;V ADP ADJ _
prezidant kuzul-rannvro breizh ( ps )	prezidant kuzul-rannvro breizh ( ps )	MASC;N;SG _ PROPN;SG _ MASC;N;SG _
lennet hedevoa ur gontadenn d he bugel .	lenn kaout un kontadenn da he bugel .	PST;V;V.PTCP 3;FEM;FIN;IND;PST;SG;V DET FEM;N;SG ADP DET;PSS MASC;N;SG _
evit ar wech kentañ en he istor e kaso frañs daou skipailh e kardgourfennoù kib kampioned europa .	evit an gwech kentañ e he istor e kas frañs daou skipailh e kardgourfenn kib kampion europa .	ADP DET FEM;N;SG ADJ ADP DET;PSS MASC;N;SG PART 3;FIN;FUT;IND;SG;V PROPN;SG MASC;NUM;PL MASC;N;SG ADP MASC;N;PL FEM;N;SG MASC;N;PL PROPN;SG _
hennezh a oa un den mat a zifenne ar vro .	hennezh a bezañ un den mat a difenn an bro .	MASC;PRO;SG PART 3;FIN;IND;PST;SG;V DET MASC;N;SG ADJ PART 3;FIN;IND;PST;SG;V DET FEM;N;SG _
mall a zo ganin _ .	mall a bezañ gant indirect .	ADJ PART 3;FIN;IND;PRS;SG;V ADP 1;ACC;PRO;SG _
trec'h e voe nevenoe war karl voal , mab da loeiz an deol en n emgann ballon e-kichen baen-ballon e 845 .	trec’h e bezañ nevenoe war karl moal , mab da loeiz an teol e an emgann ballon e-kichen baen-ballon e 845 .	ADJ PART 3;FIN;PST;SG;V MASC;PROPN;SG ADP MASC;PROPN;SG PROPN;SG _ MASC;N;SG ADP MASC;PROPN;SG DET FEM;N;PL ADP DET MASC;N;SG PROPN;SG ADP PROPN;SG ADP NUM;PL _
kenderc’hel a reer da zivizout er mare -mañ evit adstagañ al liger-atlantel ouzh rannvro breizh .	kenderc’hel a ober da divizout e mare mañ evit adstagañ an liger-atlantel ouzh rannvro breizh .	NFIN;V PART FIN;IND;PRS;V ADP NFIN;V ADP MASC;N;SG ADV ADP NFIN;V DET PROPN;SG ADP FEM;N;SG PROPN;SG _
en em walc'het on er r sal dour .	en em gwalc’hañ bezañ e an sal dour .	_ PART;REFL PST;V;V.PTCP 1;FIN;IND;PRS;SG;V ADP DET FEM;N;SG MASC;N;SG _
an dilennadegoù kanton odeus lakaet 4 departamant breton diwar 5 da vezañ renet gant an tu kleiz .	an dilennadeg kanton kaout lakaat 4 departamant breton diwar 5 da bezañ ren gant an tu kleiz .	DET FEM;N;PL MASC;N;SG 3;FIN;IND;PL;PRS;V PST;V;V.PTCP NUM;PL MASC;N;SG ADJ ADP NUM;PL ADP NFIN;V PST;V;V.PTCP ADP DET MASC;N;SG ADJ _
ha c'hoant hoc'heus da gefluniañ ur gont postel ?	ha c’hoant kaout da kefluniañ un kont postel ?	CONJ MASC;N;SG 2;FIN;IND;PL;PRS;V ADP NFIN;V DET FEM;N;SG MASC;N;SG _
dre an daolenn dindan e c'haller gwelet arpezh zo heñvel etre brezhoneg ( hini gwened ha klt ) ha kerneveureg , gallaoueg ha galleg .	dre an taolenn dindan e gallout gwelet ar pezh a bezañ heñvel etre brezhoneg ( hini gwened ha klt ) ha kerneveureg , gallaoueg ha galleg .	ADP DET FEM;N;SG ADV PART FIN;IND;PRS;V NFIN;V PRO;SG 3;FIN;IND;PRS;SG;V ADJ ADP MASC;N;SG _ ADV PROPN;SG CONJ MASC;N;SG _ CONJ MASC;N;SG _ MASC;N;SG CONJ MASC;N;SG _
gwelout e vignonez endeus graet yann .	gwelout e mignon kaout ober yann .	NFIN;V DET;PSS FEM;N;SG 3;FIN;IND;MASC;PRS;SG;V PST;V;V.PTCP MASC;PROPN;SG _
start e vo ober an dibab !	start e bezañ ober an dibab !	ADJ PART 3;FIN;FUT;IND;SG;V NFIN;V DET MASC;N;SG _
kefluniet brav eo ho kont postel evit implijout	kefluniañ brav bezañ ho kont postel evit implijout	PST;V;V.PTCP ADJ 3;FIN;IND;PRS;SG;V DET FEM;N;SG MASC;N;SG ADP NFIN;V
ne ra ket glav .	ne ober ket glav .	ADV;NEG 3;FIN;IND;PRS;SG;V ADV MASC;N;SG _
gwelet ivez .	gwelet ivez .	NFIN;V ADV _
emaint o sellout ouzh an dud en ur labourat er r parkeier .	bezañ o sellout ouzh an den en ur labourat e an park .	3;FIN;IND;PL;PRS;V PART NFIN;V ADP DET MASC;N;PL _ PART NFIN;V ADP DET MASC;N;PL _
da gemper e vefen o vont .	da kemper e bezañ o mont .	ADP PROPN;SG PART 1;COND;SG;V PART NFIN;V _
kalz a drouz evit netra a lavarfen -me .	kalz a trouz evit netra a lavarout prpers .	_ ADP MASC;N;SG ADP PRO;SG PART 1;COND;SG;V 1;NOM;PRO;SG _
ur sindikad zo kevredigezh ur c’houch tud ha prevez , dizalc’h e-keñver ar stad met anavezet ganti i , ha renet gant un teskad lezennoù .	un sindikad bezañ kevredigezh un kouch den ha prevez , dizalc’h e-keñver an stad met anavezout gant indirect , ha ren gant un teskad lezenn .	DET MASC;N;SG 3;FIN;IND;PRS;SG;V FEM;N;SG DET FEM;N;SG MASC;N;PL CONJ ADJ _ ADJ ADP DET FEM;N;SG CONJ PST;V;V.PTCP ADP 3;ACC;FEM;PRO;SG _ CONJ PST;V;V.PTCP ADP DET MASC;N;SG FEM;N;PL _
tomm eo an amzer met glav a vo .	tomm bezañ an amzer met glav a bezañ .	ADJ 3;FIN;IND;PRS;SG;V DET FEM;N;SG CONJ MASC;N;SG PART 3;FIN;FUT;IND;SG;V _
er _ vag emaint .	e an bag bezañ .	ADP DET FEM;N;SG 3;FIN;IND;PL;PRS;V _
disklêriet endeus ar pastor 81 bloaz e oa iwerzhon an hanternoz o voulc'hañ ur maread a beoc'h .	disklêriañ kaout an pastor 81 bloaz e bezañ iwerzhon an hanternoz o boulc’hañ un maread a peoc’h .	PST;V;V.PTCP 3;FIN;IND;MASC;PRS;SG;V DET MASC;N;SG NUM;PL MASC;N;SG PART 3;FIN;IND;PST;SG;V PROPN;SG DET MASC;N;SG PART NFIN;V DET MASC;N;SG ADP MASC;N;SG _
ne oar ket .	ne gouzout ket .	ADV;NEG 3;FIN;IND;PRS;SG;V ADV _
'vit ar c'hentañ ploñjadenn , netra gwelet e oa .	evit an kentañ ploñjadenn , netra gwelout e bezañ .	ADP DET NUM FEM;N;SG _ ACC;PRO;SG PST;V;V.PTCP PART 3;FIN;IND;PST;SG;V _
bras eo ar paotr .	bras bezañ an paotr .	ADJ 3;FIN;IND;PRS;SG;V DET MASC;N;SG _
