това застрашава живота на военните ни разведки зад граница , реагираха специалисти .	този застрашавам живот на военен наш разведка зад граница , реагирам специалист .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG ADP ADJ;DEF;PL 1;PRO FEM;INDF;N;PL ADP FEM;INDF;N;SG _ 3;ACT;FIN;IND;PFV;PL;PST;V INDF;MASC;N;PL _
някога , много отдавна , преди повече от сто години , прадядото на дядо манол беше построил тази тепавица .	някога , много отдавна , преди повече от сто година , прадядо на дядо манол съм построя-(се) този тепавица .	ADV _ ADV;INDF;PL ADV _ ADP ADV;INDF;PL ADP INDF;NUM;PL FEM;INDF;N;PL _ DEF;MASC;N;SG ADP INDF;MASC;N;SG FEM;INDF;PROPN;SG 3;ACT;FIN;IND;IPFV;PST;SG;V ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP DET;FEM;NOM;SG FEM;INDF;N;SG _
в същото време стана ясно , че политическият елит на българия вече е с резервирани билети за днешната среща между " левски " и " бешикташ " .	в същ време стане ясно , че политически елит на българия вече съм с резервирам билет за днешен среща между " левски " и " бешикташ " .	ADP ADJ;DEF;NEUT;SG INDF;N;NEUT;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADV _ CONJ ADJ;DEF;MASC;SG INDF;MASC;N;SG ADP FEM;INDF;PROPN;SG ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;INDF;PASS;PFV;PL;V.PTCP INDF;MASC;N;PL ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG ADP _ INDF;MASC;PROPN;SG _ CONJ _ INDF;MASC;PROPN;SG _ _
ти не си ли чул какво се говори за нас из града ?	аз не съм ли чуя какъв се говоря за аз из град ?	2;NOM;PRO;SG NEG;PART 2;ACT;FIN;IND;IPFV;PRS;SG;V PART ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP DET;NEUT;SG ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP 1;ACC;PL;PRO ADP DEF;MASC;N;SG _
просветления относно властта отбелязва и бившият консултант на държавния департамент и белия дом никлъс лафам :	просветление относно власт отбелязвам и бивш консултант на държавен департамент и бял дом никлъс лафам :	INDF;N;NEUT;PL ADP DEF;FEM;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V CONJ ADJ;DEF;MASC;SG INDF;MASC;N;SG ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG CONJ ADJ;DEF;MASC;SG INDF;MASC;N;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
истински десант на турски фенове бе забелязан в софия вчера .	истински десант на турски фен съм забележа-(се) в софия вчера .	ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP ADJ;INDF;PL INDF;MASC;N;PL 3;ACT;FIN;IND;IPFV;PST;SG;V INDF;MASC;PASS;PFV;SG;V;V.PTCP ADP FEM;INDF;PROPN;SG ADV _
да не спираме да го правим .	да не спирам-(се) да аз правя-(се) .	V NEG;PART 1;ACT;FIN;IND;IPFV;PL;PRS;V V 3;ACC;NEUT;PRO;SG 1;ACT;FIN;IND;IPFV;PL;PRS;V _
мирослав блажевич и бранко иванкович ще станат новите треньори на иран на 10 януари .	мирослав блажевич и бранко иванкович ще стана нов треньор на иран на 10 януари .	INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG CONJ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG V 3;ACT;FIN;IND;PFV;PL;PRS;V ADJ;DEF;PL INDF;MASC;N;PL ADP INDF;MASC;PROPN;SG ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG _
смеем да твърдим , че това е единственият професионалист в паспортна служба .	смея-се да твърдя , че този съм единствен професионалист в паспортен служба .	1;ACT;FIN;IND;IPFV;PL;PRS;V V 1;ACT;FIN;IND;IPFV;PL;PRS;V _ CONJ NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;DEF;MASC;SG INDF;MASC;N;SG ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG _
харесвам такива инициативи .	харесвам-(се) такъв инициатива .	1;ACT;FIN;IND;IPFV;PRS;SG;V DET;PL FEM;INDF;N;PL _
илиеску е кандидат за президент на изборите есента и подозира , че разкритията целят да провалят кампанията му .	илиеску съм кандидат за президент на избор есен и подозирам , че разкритие целя-(се) да проваля-(се) кампания мой .	INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;N;SG ADP INDF;MASC;N;SG ADP DEF;MASC;N;PL DEF;FEM;N;SG CONJ 3;ACT;FIN;IND;IPFV;PRS;SG;V _ CONJ DEF;N;NEUT;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V V 3;ACT;FIN;IND;PFV;PL;PRS;V DEF;FEM;N;SG 3;PRO _
пред полицаите задържаните заявили , че не изповядват нацистки идеи , а са привърженици на неформалното младежко революционно движение " че гевара " .	пред полицай задържа-(се) заявя , че не изповядвам-(се) нацистки идея , а съм привърженик на неформален младежки революционен движение " че гевара " .	ADP DEF;MASC;N;PL ADJ;DEF;PASS;PFV;PL;V.PTCP ACT;INDF;PFV;PL;PST;V;V.PTCP _ CONJ NEG;PART 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;INDF;PL FEM;INDF;N;PL _ CONJ 3;ACT;FIN;IND;IPFV;PL;PRS;V INDF;MASC;N;PL ADP ADJ;DEF;NEUT;SG ADJ;INDF;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _ INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ _
в този случай те следва да прехвърлят собствеността си .	в този случай аз следва да прехвърля-(се) собственост свой .	ADP DET;MASC;SG INDF;MASC;N;SG 3;NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACT;FIN;IND;PFV;PL;PRS;V DEF;FEM;N;SG NOM;PRO;REFL _
дали ще разберем през новия век очевидната истина , че единственото ни богатство , което интересува другите народи , е това , което тече в кръвта ни ?	дали ще разбера-(се) през нов век очевиден истина , че единствен наш богатство , който интересувам-(се) друг народ , съм този , който тека в кръв наш ?	PART V 1;ACT;FIN;IND;PFV;PL;PRS;V ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG ADJ;DEF;FEM;SG FEM;INDF;N;SG _ CONJ ADJ;DEF;NEUT;SG 1;PRO INDF;N;NEUT;SG _ NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;DEF;PL INDF;MASC;N;PL _ 3;ACT;FIN;IND;IPFV;PRS;SG;V DET;NEUT;NOM;SG _ NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP DEF;FEM;N;SG 1;PRO _
днес правителството одобри информацията за постигнатия от република българия напредък при изпълнението на критериите за членство в европейския съюз , която ще бъде представена на европейската комисия .	днес правителство одобря информация за постигна от република българия напредък при изпълнение на критерий за членство в европейски съюз , който ще бъда представя-(се) на европейски комисия .	ADV DEF;N;NEUT;SG 3;ACT;FIN;IND;PFV;PST;SG;V DEF;FEM;N;SG ADP ADJ;DEF;MASC;PASS;PFV;SG;V.PTCP ADP FEM;INDF;N;SG FEM;INDF;PROPN;SG INDF;MASC;N;SG ADP DEF;N;NEUT;SG ADP DEF;MASC;N;PL ADP INDF;N;NEUT;SG ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG _ FEM;NOM;PRO;SG V 3;ACT;FIN;IND;PFV;PRS;SG;V FEM;INDF;PASS;PFV;SG;V;V.PTCP ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG _
българия няма да има представител в тениса на летните игри .	българия нямам да имам представител в тенис на летен игра .	FEM;INDF;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;N;SG ADP DEF;MASC;N;SG ADP ADJ;DEF;PL FEM;INDF;N;PL _
косово и българия са религиозните полюси на балканите	косово и българия съм религиозен полюс на балкан	INDF;NEUT;PROPN;SG CONJ FEM;INDF;PROPN;SG 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;DEF;PL INDF;MASC;N;PL ADP DEF;MASC;PL;PROPN
по принцип пренасочването на една икономика е дълъг процес .	по принцип пренасочване на един икономика съм дълъг процес .	ADP INDF;MASC;N;SG DEF;N;NEUT;SG ADP DET;FEM;INDF;SG FEM;INDF;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;MASC;SG INDF;MASC;N;SG _
и аз вярвам , че в залата на народното събрание винаги ще има достатъчно воля , за да се движим напред .	и аз вярвам , че в зала на народен събрание винаги ще има достатъчно воля , за да се движа-(се) напред .	CONJ 1;NOM;PRO;SG 1;ACT;FIN;IND;IPFV;PRS;SG;V _ CONJ ADP DEF;FEM;N;SG ADP ADJ;DEF;NEUT;SG INDF;N;NEUT;SG ADV V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV FEM;INDF;N;SG _ ADP V ACC;PRO;REFL 1;ACT;FIN;IND;IPFV;PL;PRS;V ADV _
ръководството на сдс обсъдило кандидатурата на пламен марков като нов шеф на комисията по национална сигурност на мястото на христо бисеров .	ръководство на сдс обсъдя кандидатура на пламен марков като нов шеф на комисия по национален сигурност на място на христо бисеров .	DEF;N;NEUT;SG ADP DEF;MASC;PROPN;SG ACT;INDF;NEUT;PFV;PST;SG;V;V.PTCP DEF;FEM;N;SG ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP DEF;FEM;N;SG ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP DEF;N;NEUT;SG ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _
нина филипова ( 18 г. ) , волейболистка , софия :	нина филипова ( 18 година ) , волейболистка , софия :	FEM;INDF;PROPN;SG FEM;INDF;PROPN;SG _ INDF;NUM;PL FEM;INDF;N;PL _ _ FEM;INDF;N;SG _ FEM;INDF;PROPN;SG _
но колкото беше висок полетът на тази банкова троица , толкова стремително беше и падението .	но колкото съм висок полет на този банков троица , толкова стремителен съм и падение .	CONJ ADV 3;ACT;FIN;IND;IPFV;PST;SG;V ADJ;INDF;MASC;SG DEF;MASC;N;SG ADP DET;FEM;NOM;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG _ ADV ADJ;INDF;NEUT;SG 3;ACT;FIN;IND;IPFV;PST;SG;V CONJ DEF;N;NEUT;SG _
компанията се интересувала от комбинираното производство на топлина и ток .	компания се интересувам-(се) от комбинирам производство на топлина и ток .	DEF;FEM;N;SG ACC;PRO;REFL ACT;FEM;INDF;IPFV;SG;V;V.PTCP ADP ADJ;DEF;NEUT;PASS;PFV;SG;V.PTCP INDF;N;NEUT;SG ADP FEM;INDF;N;SG CONJ INDF;MASC;N;SG _
цигарата , паднала на пода , димеше .	цигара , падна-(се) на под , димя .	DEF;FEM;N;SG _ ACT;ADJ;FEM;INDF;PFV;PST;SG;V.PTCP ADP DEF;MASC;N;SG _ 3;ACT;FIN;IND;IPFV;SG;V _
най-добрият френски скиор след жан клод кили участва вече две години в " париж - дакар " .	добър френски скиор след жан клод кили участвам вече два година в " париж - дакар " .	ADJ;DEF;MASC;RL;SG ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV FEM;INDF;NUM;PL FEM;INDF;N;PL ADP _ INDF;MASC;PROPN;SG _ INDF;MASC;PROPN;SG _ _
в бдж работят 37 000 железничари .	в бдж работя 37 000 железничар .	ADP FEM;INDF;PL;PROPN 3;ACT;FIN;IND;IPFV;PL;PRS;V INDF;NUM;PL INDF;NUM;PL INDF;MASC;N;PL _
кирил георгиев , също с черните фигури , и румънецът ливиу-дитер нисипяну бяха по-бързи , като направиха едва 17 хода , за да фиксират ремито в първата партия от минимача помежду им .	кирил георгиев , също с чер фигура , и румънец ливиу-дитер нисипяну съм бърз , като направя-(се) едва 17 ход , за да фиксирам реми в пръв партия от минимач помежду аз .	INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG _ ADV ADP ADJ;DEF;PL FEM;INDF;N;PL _ CONJ DEF;MASC;N;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PL;PST;V ADJ;CMPR;INDF;PL _ CONJ 3;ACT;FIN;IND;PFV;PL;PST;V ADV INDF;NUM;PL MASC;N _ ADP V 3;ACT;FIN;IND;PFV;PL;PRS;V DEF;N;NEUT;SG ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG ADP DEF;MASC;N;SG ADP 3;DAT;PL;PRO _
възраждат библиотеката в александрия	възраждам-(се) библиотека в александрия	3;ACT;FIN;IND;IPFV;PL;PRS;V DEF;FEM;N;SG ADP FEM;INDF;PROPN;SG
аз нямам право повече да мълча .	аз нямам право повече да мълча .	1;NOM;PRO;SG 1;ACT;FIN;IND;IPFV;PRS;SG;V INDF;N;NEUT;SG ADV;INDF;PL V 1;ACT;FIN;IND;IPFV;PRS;SG;V _
колумбиецът сякаш бе потънал вдън земя .	колумбиец сякаш съм потъна вдън земя .	DEF;MASC;N;SG ADV 3;ACT;FIN;IND;IPFV;PST;SG;V ACT;INDF;MASC;PFV;PST;SG;V;V.PTCP ADP FEM;INDF;N;SG _
преднината на кандидат-президента на сащ от републиканската партия джордж буш спадна под 500 гласа , след като в окръг брауард , щата флорида , приключи ръчното броене .	преднина на кандидат-президент на сащ от републикански партия джордж буш спадна под петстотин глас , след като в окръг брауард , щат флорида , приключа ръчен броене .	DEF;FEM;N;SG ADP DEF;MASC;N;SG ADP INDF;MASC;PL;PROPN ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG INDF;MASC;PROPN;SG INDF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADP INDF;NUM;PL MASC;N _ ADP ADP ADP INDF;MASC;N;SG INDF;MASC;PROPN;SG _ DEF;MASC;N;SG FEM;INDF;PROPN;SG _ 3;ACT;FIN;IND;PFV;PST;SG;V ADJ;DEF;NEUT;SG INDF;N;NEUT;SG _
водата е тъй бистра , че камъчетата се броят по дъното .	вода съм така бистър , че камъче се броя-(се) по дъно .	DEF;FEM;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ADJ;FEM;INDF;SG _ CONJ DEF;N;NEUT;PL ACC;PRO;REFL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP DEF;N;NEUT;SG _
демонстрантите предизвикаха задръствания и си навлякоха гнева на шофьорите .	демонстрант предизвикам задръстване и се навлека-(се) гняв на шофьор .	DEF;MASC;N;PL 3;ACT;FIN;IND;PFV;PL;PST;V INDF;N;NEUT;PL CONJ DAT;PRO;REFL 3;ACT;FIN;IND;PFV;PL;PST;V DEF;MASC;N;SG ADP DEF;MASC;N;PL _
имена : лидия , лазар , лия , лъчезар , лина , любен , люба , любомир , леда , ленко , лея .	име : лидия , лазар , лия , лъчезар , лина , любен , люба , любомир , леда , ленко , лея .	INDF;N;NEUT;PL _ FEM;INDF;PROPN;SG _ INDF;MASC;PROPN;SG _ FEM;INDF;PROPN;SG _ INDF;MASC;PROPN;SG _ FEM;INDF;PROPN;SG _ INDF;MASC;PROPN;SG _ FEM;INDF;PROPN;SG _ INDF;MASC;PROPN;SG _ FEM;INDF;PROPN;SG _ INDF;MASC;PROPN;SG _ FEM;INDF;PROPN;SG _
на тоя свят никой нищо не ти признава .	на този свят никой никой не аз признавам-(се) .	ADP DET;MASC;SG INDF;MASC;N;SG MASC;NOM;PRO;SG INDF;NEUT;NOM;PRO;SG NEG;PART 2;DAT;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V _
за това се договориха италианската асоциация " световни маршрути " и нашата компания " туристическа информация и регистрация " , съобщи адн-кронос .	за този се договоря-(се) италиански асоциация " световен маршрут " и наш компания " туристически информация и регистрация " , съобщя адн-кронос .	ADP NEUT;NOM;PRO;SG ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PL;PST;V ADJ;DEF;FEM;SG FEM;INDF;N;SG _ ADJ;INDF;PL INDF;MASC;N;PL _ CONJ 1;DEF;DET;FEM;SG FEM;INDF;N;SG _ ADJ;FEM;INDF;SG FEM;INDF;N;SG CONJ FEM;INDF;N;SG _ _ 3;ACT;FIN;IND;PFV;PST;SG;V INDF;MASC;PROPN;SG _
затова ние предлагаме 10 % от бюджетния излишък да се даде за образование .	затова аз предлагам 10 процент от бюджетен излишък да се дам-(се) за образование .	ADV 1;NOM;PL;PRO 1;ACT;FIN;IND;IPFV;PL;PRS;V INDF;NUM;PL MASC;N ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG V ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PRS;SG;V ADP INDF;N;NEUT;SG _
в същото време плътността на заселване по региони и държави в европа е доста неравномерна .	в същ време плътност на заселване по регион и държава в европа съм доста неравномерен .	ADP ADJ;DEF;NEUT;SG INDF;N;NEUT;SG DEF;FEM;N;SG ADP INDF;N;NEUT;SG ADP INDF;MASC;N;PL CONJ FEM;INDF;N;PL ADP FEM;INDF;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ADV ADJ;FEM;INDF;SG _
това е станало след инспекция в ракетната бригада в ямбол на 5 декември м.г.	този съм стана след инспекция в ракетен бригада в ямбол на 5 декември м.г.	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V ACT;INDF;NEUT;PFV;PST;SG;V;V.PTCP ADP FEM;INDF;N;SG ADP ADJ;DEF;FEM;SG FEM;INDF;N;SG ADP INDF;MASC;PROPN;SG ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG FEM;INDF;N;SG
- тук съм .	- там съм .	_ ADV 1;ACT;FIN;IND;IPFV;PRS;SG;V _
, коментира " известия " .	, коментирам " известия " .	_ 3;ACT;FIN;IND;IPFV;PST;SG;V _ INDF;MASC;PROPN;SG _ _
при все че съм болен , ще отида на работа .	при все че съм болен , ще отида-(си) на работа .	ADP ADV CONJ 1;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;MASC;SG _ V 1;ACT;FIN;IND;PFV;PRS;SG;V ADP FEM;INDF;N;SG _
кои са военните училища у нас и какъв ще е приемът тази година ?	кой съм военен училище у аз и какъв ще съм прием този година ?	NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V ADJ;DEF;PL INDF;N;NEUT;PL ADP 1;ACC;PL;PRO CONJ DET;MASC;SG V 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;MASC;N;SG DET;FEM;NOM;SG FEM;INDF;N;SG _
по подобен начин стои и въпросът със земята .	по подобен начин стоя и въпрос със земя .	ADP ADJ;INDF;MASC;SG INDF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V CONJ DEF;MASC;N;SG ADP DEF;FEM;N;SG _
днес е втората партия между двамата , като топалов ще играе с белите фигури .	днес съм втори партия между двама , като топалов ще играя с бял фигура .	ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;DEF;FEM;SG FEM;INDF;N;SG ADP DEF;NUM;PL _ CONJ INDF;MASC;PROPN;SG V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;DEF;PL FEM;INDF;N;PL _
великото народно събрание приема решение по внесените проекти с мнозинство две трети от всички народни представители на три гласувания в различни дни .	велик народен събрание приемам решение по внеса проект с мнозинство два трети от всеки народен представител на три гласуване в различен ден .	ADJ;DEF;NEUT;SG ADJ;INDF;NEUT;SG INDF;N;NEUT;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;N;NEUT;SG ADP ADJ;DEF;PASS;PFV;PL;V.PTCP INDF;MASC;N;PL ADP INDF;N;NEUT;SG INDF;NUM;PL ADJ;INDF;PL ADP DET;NOM;PL ADJ;INDF;PL INDF;MASC;N;PL ADP INDF;NUM;PL INDF;N;NEUT;PL ADP ADJ;INDF;PL INDF;MASC;N;PL _
министерски съвет	министерски съвет	ADJ;INDF;MASC;SG INDF;MASC;N;SG
сърбите не взеха участие в изборите и " в местните органи на властта няма да има техни представители " .	сърбин не взема участие в избор и " в местен орган на власт нямам да има наш представител " .	DEF;MASC;N;PL NEG;PART 3;ACT;FIN;IND;PFV;PL;PST;V INDF;N;NEUT;SG ADP DEF;MASC;N;PL CONJ _ ADP ADJ;DEF;PL INDF;MASC;N;PL ADP DEF;FEM;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACT;FIN;IND;IPFV;PRS;SG;V 3;DET;INDF;PL INDF;MASC;N;PL _ _
според вестника на лекарите се плащало , за да извършват опитите върху хора .	според вестник на лекар се плащам , за да извършвам опит върху хора .	ADP DEF;MASC;N;SG ADP DEF;MASC;N;PL ACC;PRO;REFL ACT;INDF;IPFV;NEUT;SG;V;V.PTCP _ ADP V 3;ACT;FIN;IND;IPFV;PL;PRS;V DEF;MASC;N;PL ADP INDF;N _
този път циана не посмя да излъже .	този път циана не посмея-(се) да излъжа-(се) .	DET;MASC;SG INDF;MASC;N;SG FEM;INDF;PROPN;SG NEG;PART 3;ACT;FIN;IND;PFV;PST;SG;V V 3;ACT;FIN;IND;PFV;PRS;SG;V _
това може да бъде изненада само за съвършено некомпетентни хора .	този може да бъда изненада само за съвършено некомпетентен хора .	NEUT;NOM;PRO;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACT;FIN;IND;PFV;PRS;SG;V FEM;INDF;N;SG ADV ADP ADV ADJ;INDF;PL INDF;N _
часове след намирането на трупа в четвърто рпу - варна постъпило анонимно обаждане , че илиев е забелязан в града .	час след намиране на труп в четвърти рпу - варна постъпя анонимен обаждане , че илиев съм забележа-(се) в град .	INDF;MASC;N;PL ADP DEF;N;NEUT;SG ADP DEF;MASC;N;SG ADP ADJ;INDF;NEUT;SG INDF;NEUT;PROPN;SG _ FEM;INDF;PROPN;SG ACT;INDF;NEUT;PFV;PST;SG;V;V.PTCP ADJ;INDF;NEUT;SG INDF;N;NEUT;SG _ CONJ INDF;MASC;PROPN;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;PASS;PFV;SG;V;V.PTCP ADP DEF;MASC;N;SG _
тя спести имената на хората , които са я принуждавали да раздава парите на вложителите .	аз спестя име на хора , който съм аз принуждавам-(се) да раздавам-(се) пара на вложител .	3;FEM;NOM;PRO;SG 3;ACT;FIN;IND;PFV;PST;SG;V DEF;N;NEUT;PL ADP DEF;N _ NOM;PL;PRO 3;ACT;FIN;IND;IPFV;PL;PRS;V 3;ACC;FEM;PRO;SG ACT;INDF;IPFV;PL;PST;V;V.PTCP V 3;ACT;FIN;IND;IPFV;PRS;SG;V DEF;FEM;N;PL ADP DEF;MASC;N;PL _
гдето стъпи , трева не никне ...	където стъпя , трева не никна ...	ADV 3;ACT;FIN;IND;PFV;PRS;SG;V _ FEM;INDF;N;SG NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V _
в душата й се появи омраза срещу мен .	в душа неин се появя-се омраза срещу аз .	ADP DEF;FEM;N;SG 3;PRO ACC;PRO;REFL 3;ACT;FIN;IND;PFV;PST;SG;V FEM;INDF;N;SG ADP 1;ACC;PRO;SG _
мс отпусна за програмата 2,661 млн. лв.	мс отпусна-(се) за програма 2,661 милион лев	DEF;MASC;PROPN;SG 3;ACT;FIN;IND;PFV;PST;SG;V ADP DEF;FEM;N;SG INDF;NUM;PL MASC;N MASC;N
на тая скромна обществена длъжност марко не щадеше ни труд , ни време .	на този скромен обществен длъжност марко не щадя ни труд , ни време .	ADP DET;FEM;NOM;SG ADJ;FEM;INDF;SG ADJ;FEM;INDF;SG FEM;INDF;N;SG INDF;MASC;PROPN;SG NEG;PART 3;ACT;FIN;IND;IPFV;SG;V CONJ INDF;MASC;N;SG _ CONJ INDF;N;NEUT;SG _
българското общество не бива да очаква висок стандарт на базата на висока конкурентоспособност на икономиката ни за 2-3 години .	български общество не бива да очаквам висок стандарт на база на висок конкурентоспособност на икономика наш за 2-3 година .	ADJ;DEF;NEUT;SG INDF;N;NEUT;SG NEG;PART 3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACT;FIN;IND;IPFV;PRS;SG;V ADJ;INDF;MASC;SG INDF;MASC;N;SG ADP DEF;FEM;N;SG ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG ADP DEF;FEM;N;SG 1;PRO ADP INDF;NUM;PL FEM;INDF;N;PL _
20 на сто от учениците остават без дипломи	двадесет на сто от ученик оставам без диплома	INDF;NUM;PL ADP INDF;NUM;PL ADP DEF;MASC;N;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V ADP FEM;INDF;N;PL
да влезем в нато с черешови топчета	да вляза в нато с черешов топче	V 1;ACT;FIN;IND;PFV;PL;PRS;V ADP FEM;INDF;PROPN;SG ADP ADJ;INDF;PL INDF;N;NEUT;PL
тук става въпрос за организирана престъпност , защото местните босове имат закрила от най-високо място .	там става въпрос за организирам престъпност , защото местен бос имам закрила от висок място .	ADV 3;ACT;FIN;IND;IPFV;PRS;SG;V INDF;MASC;N;SG ADP ADJ;FEM;INDF;PASS;PFV;SG;V.PTCP FEM;INDF;N;SG _ ADV ADJ;DEF;PL INDF;MASC;N;PL 3;ACT;FIN;IND;IPFV;PL;PRS;V FEM;INDF;N;SG ADP ADJ;INDF;NEUT;RL;SG INDF;N;NEUT;SG _
това опровергавало версията , че " бръмбарите " са сложени отдавна .	този опровергая версия , че " бръмбар " съм сложа-(се) отдавна .	NEUT;NOM;PRO;SG ACT;INDF;IPFV;NEUT;SG;V;V.PTCP DEF;FEM;N;SG _ CONJ _ DEF;MASC;N;PL _ 3;ACT;FIN;IND;IPFV;PL;PRS;V INDF;PASS;PFV;PL;V;V.PTCP ADV _
да живееш като богат .	да живея като богат .	V 2;ACT;FIN;IND;IPFV;PRS;SG;V ADP ADJ;INDF;MASC;SG _
извращения обаче нямало .	извращение обаче нямам .	INDF;N;NEUT;PL ADV ACT;INDF;IPFV;NEUT;PST;SG;V;V.PTCP _
документът може да бъде изпратен и по пощата с обратна разписка .	документ може да бъда изпратя и по поща с обратен разписка .	DEF;MASC;N;SG 3;ACT;FIN;IND;IPFV;PRS;SG;V V 3;ACT;FIN;IND;PFV;PRS;SG;V INDF;MASC;PASS;PFV;SG;V;V.PTCP CONJ ADP DEF;FEM;N;SG ADP ADJ;FEM;INDF;SG FEM;INDF;N;SG _
резултатите от едномесечния мониторинг на нсрт върху електронните медии у нас ще бъдат изнесени до края на следващата седмица .	резултат от едномесечен мониторинг на нсрт върху електронен медия у аз ще бъда изнеса-(се) до край на следвам седмица .	DEF;MASC;N;PL ADP ADJ;DEF;MASC;SG INDF;MASC;N;SG ADP INDF;MASC;PROPN;SG ADP ADJ;DEF;PL FEM;INDF;N;PL ADP 1;ACC;PL;PRO V 3;ACT;FIN;IND;PFV;PL;PRS;V INDF;PASS;PFV;PL;V;V.PTCP ADP DEF;MASC;N;SG ADP ACT;ADJ;DEF;FEM;IPFV;PRS;SG;V.PTCP FEM;INDF;N;SG _
